Player,Eligible,Status,Fantasy Points,Average Fantasy Points per Game,GP,AB_per_Game,hitter_score,batters_eye_score,barrel_batted_rate,oz_swing_percent,meatball_swing_percent,FPts_7d,FP/G_7d,hitter_score_7d,batters_eye_score_7d,barrel_batted_rate_7d,barrels_7d,oz_swing_percent_7d,meatball_swing_percent_7d,GP_7d,AB_per_Game_7d,Runs_7d,FPts_14d,FP/G_14d,hitter_score_14d,batters_eye_score_14d,barrel_batted_rate_14d,barrels_14d,oz_swing_percent_14d,meatball_swing_percent_14d,GP_14d,AB_per_Game_14d,Runs_14d,FPts_30d,FP/G_30d,hitter_score_30d,batters_eye_score_30d,barrel_batted_rate_30d,barrels_30d,oz_swing_percent_30d,meatball_swing_percent_30d,GP_30d,AB_per_Game_30d,Runs_30d,hitter_score_2025,batters_eye_score_2025,barrel_batted_rate_2025,oz_swing_percent_2025,meatball_swing_percent_2025
Yandy Diaz,DH,ACTIVE,943.5,7.86,120.0,3.948744038155803,-0.58,-0.73,7.0,28.7,62.8,37.5,7.5,-1.06,-1.37,5.56,1.0,33.33,33.33,5.0,4.2,3.0,108.0,9.82,-0.87,-1.12,6.38,3.0,35.85,53.85,11.0,4.55,10.0,196.0,7.84,-0.43,-0.65,7.69,7.0,33.05,62.86,25.0,4.32,18.0,0.5,0.69,8.3,24.0,78.4
Kyle Schwarber,DH,ACTIVE,941.0,7.78,121.0,3.720510095642933,2.1,0.85,17.5,25.3,77.1,45.0,9.0,1.35,0.7,18.75,3.0,24.14,85.71,5.0,4.6,3.0,124.5,10.38,1.43,0.63,18.18,6.0,26.23,84.62,12.0,4.0,7.0,165.5,6.9,0.85,0.7,10.71,6.0,24.41,78.26,24.0,3.62,13.0,2.18,0.47,20.8,21.5,72.6
Jake Bauers,LF,ACTIVE,913.5,8.08,113.0,3.369983579638752,1.75,1.1,14.1,20.3,73.6,70.5,14.1,1.04,0.6,15.38,2.0,20.37,75.0,5.0,3.2,5.0,105.0,9.55,1.67,1.07,17.24,5.0,19.63,85.0,11.0,3.36,6.0,211.0,9.59,1.54,1.12,15.0,9.0,18.09,76.47,22.0,3.32,17.0,1.94,1.66,13.7,20.4,84.8
Bobby Witt Jr.,SS,ACTIVE,912.5,8.45,108.0,3.907835616438356,0.53,-0.2,11.9,33.3,75.0,70.5,14.1,1.09,0.67,15.38,2.0,32.08,100.0,5.0,3.6,7.0,123.0,10.25,-0.01,-0.2,8.57,3.0,36.44,80.0,12.0,3.75,14.0,145.0,10.36,0.05,-0.22,9.52,4.0,35.29,76.92,14.0,3.79,16.0,0.98,0.49,12.5,30.6,84.9
Brandon Lowe,2B,ACTIVE,895.5,7.46,120.0,3.9236850921273034,1.02,0.45,12.2,33.1,82.5,37.0,6.17,0.76,0.58,11.76,2.0,27.27,87.5,6.0,4.33,2.0,71.0,5.92,0.87,0.7,11.11,3.0,29.82,92.86,12.0,3.92,5.0,166.0,6.38,0.82,0.47,12.31,8.0,30.24,83.87,26.0,4.0,13.0,1.07,0.52,13.0,32.0,87.1
Seiya Suzuki,DH,ACTIVE,871.0,7.92,110.0,3.782686567164179,0.84,0.51,10.8,22.8,69.8,49.0,8.17,0.96,0.04,20.0,3.0,21.67,58.33,6.0,4.0,5.0,106.0,9.64,0.64,-0.45,18.18,6.0,27.05,56.52,11.0,4.18,8.0,250.0,10.0,0.52,-0.16,14.29,10.0,23.34,56.1,25.0,4.04,19.0,1.11,-0.2,16.6,20.4,63.4
Daylen Lile,RF,ACTIVE,822.0,6.58,125.0,3.818321167883212,0.18,0.08,8.4,38.9,85.6,17.0,3.4,-0.59,-0.77,6.25,1.0,57.5,100.0,5.0,3.8,2.0,78.5,7.14,0.18,-0.4,12.5,4.0,50.59,100.0,11.0,3.73,5.0,172.5,6.63,-0.04,-0.38,9.86,7.0,43.69,88.89,26.0,3.54,11.0,-0.08,0.5,5.2,26.7,79.8
William Contreras,C,ACTIVE,775.5,6.63,117.0,3.8215473887814313,0.42,0.49,8.1,28.2,76.6,44.5,8.9,1.4,0.15,25.0,4.0,30.91,80.0,5.0,3.8,4.0,62.0,5.64,0.95,0.43,14.29,5.0,25.89,78.57,11.0,3.64,5.0,117.0,4.88,0.9,0.77,10.67,8.0,24.42,80.0,24.0,3.75,12.0,0.17,0.61,6.4,25.3,79.2
Kazuma Okamoto,3B,ACTIVE,767.0,6.29,122.0,3.6821512385919166,1.11,0.55,12.4,28.7,77.9,22.0,4.4,-0.34,-1.22,14.29,2.0,34.29,40.0,5.0,3.8,3.0,45.5,4.55,-0.72,-1.03,7.41,2.0,32.35,50.0,10.0,3.8,7.0,123.5,4.94,-0.26,-0.25,6.25,4.0,36.11,77.78,25.0,3.84,16.0,,,,,
Colson Montgomery,SS,ACTIVE,739.0,6.21,119.0,3.756251691474966,0.88,0.29,12.0,32.4,79.7,26.0,5.2,-0.31,0.24,0.0,0.0,32.26,85.71,5.0,4.4,1.0,65.0,5.91,0.45,0.6,7.14,2.0,31.82,93.75,11.0,4.09,5.0,112.5,4.89,0.42,0.78,5.17,3.0,31.72,93.75,23.0,3.96,9.0,0.94,-0.0,14.5,30.5,79.1
