Player,Position,Status,FPts,FP/G,GP,AB_per_Game,hitter_score,batters_eye_score,barrel_batted_rate,oz_swing_percent,meatball_swing_percent,FPts_7d,FP/G_7d,hitter_score_7d,batters_eye_score_7d,barrel_batted_rate_7d,barrels_7d,oz_swing_percent_7d,meatball_swing_percent_7d,GP_7d,AB_per_Game_7d,Runs_7d,FPts_14d,FP/G_14d,hitter_score_14d,batters_eye_score_14d,barrel_batted_rate_14d,barrels_14d,oz_swing_percent_14d,meatball_swing_percent_14d,GP_14d,AB_per_Game_14d,Runs_14d,FPts_30d,FP/G_30d,hitter_score_30d,batters_eye_score_30d,barrel_batted_rate_30d,barrels_30d,oz_swing_percent_30d,meatball_swing_percent_30d,GP_30d,AB_per_Game_30d,Runs_30d,hitter_score_2025,batters_eye_score_2025,barrel_batted_rate_2025,oz_swing_percent_2025,meatball_swing_percent_2025
Teoscar Hernandez,RF,FA,676.0,6.09,111.00164203612479,3.4774260355029587,0.83,0.48,10.7,29.7,78.4,72.0,14.4,1.28,0.75,22.22,2.0,29.03,100.0,5.0,3.2,4.0,147.0,13.36,2.07,0.77,25.0,7.0,28.28,92.31,11.0,3.55,6.0,182.5,7.6,0.99,-0.09,17.24,10.0,32.2,75.0,24.0,3.67,10.0,0.46,-0.07,11.5,30.1,77.8
Thomas Saggese,2B,FA,195.5,4.44,44.03153153153153,2.5436317135549875,0.04,-0.54,10.0,34.6,73.2,18.5,3.7,-0.82,-0.51,0.0,0.0,32.35,60.0,5.0,4.0,3.0,130.5,11.86,-0.03,-0.37,10.0,3.0,30.0,64.29,11.0,3.55,12.0,129.5,10.79,0.04,-0.39,10.0,3.0,30.0,64.29,12.0,3.33,12.0,-1.09,-1.1,5.6,34.3,71.6
Victor Mesa Jr.,CF,FA,408.0,6.18,66.01941747572816,2.877941176470588,0.91,0.46,11.3,34.9,85.1,81.5,16.3,0.5,0.17,15.38,2.0,29.63,80.0,5.0,3.0,5.0,109.5,10.95,-0.15,-0.16,6.9,2.0,38.3,85.71,10.0,3.3,8.0,117.0,9.0,-0.26,-0.25,6.06,2.0,40.0,85.71,13.0,2.85,8.0,-0.57,-0.64,7.1,32.9,75.0
Jeff McNeil,2B,FA,710.5,5.47,129.89031078610603,3.2796903589021817,-0.21,1.02,1.8,35.4,92.2,24.5,6.12,-0.76,-0.42,0.0,0.0,52.94,100.0,4.0,4.25,2.0,101.5,9.23,-0.42,-0.02,2.7,1.0,43.9,100.0,11.0,4.36,8.0,224.5,8.98,-0.4,-0.21,4.4,4.0,44.74,95.24,25.0,4.16,15.0,0.38,1.21,5.1,26.8,88.1
Salvador Perez,C,FA,766.0,5.55,138.018018018018,3.8400783289817233,-0.38,-1.23,10.3,44.8,78.7,50.5,10.1,-0.59,-1.3,13.33,2.0,37.21,40.0,5.0,4.2,1.0,97.0,8.82,-0.24,-1.15,13.89,5.0,33.71,50.0,11.0,4.0,2.0,186.0,7.44,0.15,-0.84,14.1,11.0,41.31,75.0,25.0,3.92,7.0,-0.15,-1.69,14.8,42.2,75.3
Christian Koss,2B,FA,199.0,3.49,57.02005730659025,2.700804020100503,-1.07,-1.06,5.2,39.7,73.9,38.0,7.6,-0.6,-0.19,0.0,0.0,48.28,100.0,5.0,2.6,3.0,96.0,8.73,-0.69,-0.48,3.23,1.0,35.29,71.43,11.0,3.18,11.0,149.5,5.54,-1.12,-1.29,4.69,3.0,40.32,63.16,27.0,3.15,19.0,-0.9,-0.9,6.0,34.4,74.0
Richie Palacios,LF,FA,614.5,5.49,111.93078324225864,2.7785028478437757,-0.55,-0.11,4.4,32.2,75.0,44.0,11.0,1.63,1.46,20.0,1.0,14.29,100.0,4.0,2.25,2.0,95.5,9.55,1.02,0.6,14.29,3.0,34.88,100.0,10.0,2.5,6.0,149.0,6.77,-0.23,-0.1,5.26,3.0,37.59,84.62,22.0,2.95,12.0,0.81,1.67,5.9,20.2,84.6
Jake Burger,1B,FA,889.0,6.3,141.11111111111111,3.564566929133858,0.25,-0.79,12.4,35.6,71.6,57.0,11.4,3.24,-0.1,66.67,4.0,23.73,60.0,5.0,3.2,7.0,91.5,7.62,1.16,0.09,20.0,5.0,30.51,77.78,12.0,3.33,10.0,189.5,7.58,1.92,0.46,22.64,12.0,31.42,85.71,25.0,3.24,15.0,0.42,-0.64,13.9,39.7,84.0
Tommy Edman,2B,FA,451.5,6.45,70.0,3.442857142857143,-0.84,-0.74,5.3,31.2,66.3,27.5,5.5,-1.3,-1.23,0.0,0.0,35.71,40.0,5.0,3.4,4.0,90.0,8.18,-0.77,-0.55,2.94,1.0,32.58,64.29,11.0,4.09,10.0,174.5,7.27,-0.51,-0.37,4.41,3.0,31.66,67.86,24.0,3.83,18.0,-0.64,-0.18,4.5,28.4,74.3
Jonah Cox,CF,FA,216.0,4.5,48.0,1.9583333333333333,0.16,0.04,8.3,33.3,78.1,28.5,5.7,0.29,1.15,0.0,0.0,20.69,100.0,5.0,3.8,4.0,81.0,7.36,0.64,1.4,3.45,1.0,23.29,100.0,11.0,3.64,10.0,155.0,6.46,0.54,0.52,8.7,4.0,29.86,84.21,24.0,3.0,16.0,,,,,
Mickey Gasper,C,FA,338.5,6.15,55.040650406504064,2.961447562776957,0.82,0.72,9.6,20.5,69.1,19.0,4.75,0.11,0.89,0.0,0.0,3.45,60.0,4.0,2.75,1.0,79.0,7.9,0.82,0.47,13.04,3.0,16.87,62.5,10.0,3.3,7.0,216.5,10.31,1.7,0.72,18.75,9.0,16.15,63.64,21.0,2.81,13.0,-0.67,0.46,1.3,20.4,71.0
Xander Bogaerts,SS,FA,799.0,5.71,139.92994746059546,3.373116395494368,0.5,1.13,5.8,22.8,76.8,25.0,5.0,0.2,1.02,0.0,0.0,4.55,66.67,5.0,3.4,3.0,78.5,7.14,-0.24,0.57,0.0,0.0,22.06,75.0,11.0,3.55,4.0,147.5,5.9,0.52,0.8,6.56,4.0,20.12,72.73,25.0,3.16,8.0,-0.51,-0.51,6.9,23.6,64.1
Michael Conforto,LF,FA,461.0,4.56,101.09649122807018,2.2453796095444685,0.91,0.41,11.5,27.4,74.6,27.0,6.75,-0.54,-0.08,0.0,0.0,27.27,66.67,4.0,2.25,0.0,78.5,7.85,0.21,-0.44,13.33,2.0,27.27,57.14,10.0,2.0,3.0,143.5,6.83,0.2,-0.37,11.43,4.0,28.23,61.54,21.0,2.24,7.0,0.82,0.86,9.7,23.3,79.4
Brett Baty,3B,FA,584.5,4.53,129.02869757174392,2.9838323353293417,0.74,0.44,10.3,29.2,77.3,45.5,11.38,1.37,-0.06,33.33,3.0,17.39,50.0,4.0,2.25,3.0,77.5,9.69,1.29,-0.55,26.67,4.0,25.0,50.0,8.0,2.12,3.0,119.0,6.26,1.72,0.56,20.0,7.0,21.9,70.59,19.0,2.32,6.0,1.14,0.64,12.9,24.8,78.9
Graham Pauley,3B,FA,207.0,3.91,52.94117647058823,2.436666666666667,0.36,0.85,6.1,29.6,82.6,43.5,14.5,-0.33,-0.84,12.5,1.0,33.33,50.0,3.0,3.67,3.0,77.5,11.07,0.36,-0.12,12.5,2.0,35.71,81.82,7.0,3.0,5.0,90.0,9.0,0.59,-0.04,13.04,3.0,36.92,84.62,10.0,2.8,5.0,-0.65,-0.41,5.5,27.8,70.8
Garrett Mitchell,CF,FA,771.5,5.84,132.10616438356163,3.1338431626701233,1.53,1.28,11.7,22.6,78.3,64.0,12.8,0.95,1.08,12.5,1.0,22.22,100.0,5.0,3.6,7.0,74.5,7.45,0.31,0.66,5.56,1.0,25.81,84.62,10.0,3.3,9.0,130.5,6.21,0.74,1.33,5.13,2.0,21.85,87.5,21.0,3.1,16.0,0.51,1.06,6.7,23.8,82.4
Austin Wells,C,FA,377.0,3.37,111.86943620178042,2.7174535809018567,0.15,0.43,6.6,28.2,75.9,13.0,2.6,0.77,1.88,0.0,0.0,5.71,100.0,5.0,2.4,2.0,74.5,6.77,0.58,0.43,10.53,2.0,22.89,72.73,11.0,2.55,6.0,103.5,3.98,-0.2,0.04,4.65,2.0,26.06,66.67,26.0,2.65,8.0,0.62,0.46,10.2,29.2,82.7
Nolan Arenado,3B,FA,877.0,6.36,137.89308176100627,3.4664538198403654,-0.73,-0.83,6.4,31.6,65.8,69.5,13.9,-0.21,-1.01,16.67,2.0,36.84,50.0,5.0,3.4,3.0,71.5,7.15,-0.88,-1.29,7.69,2.0,38.16,54.55,10.0,3.5,3.0,153.5,6.67,-0.79,-0.59,3.12,2.0,36.61,72.0,23.0,3.7,13.0,-1.68,-1.62,4.0,33.9,65.0
