"last_name, first_name",player_id,year,ab,barrel_batted_rate,oz_swing_percent,meatball_swing_percent,last_name,first_name,oz_take,oz_take_std,meatball_swing_std,batters_eye_score,barrel_std,hitter_score,player_name,player_name_standard
"Triolo, Jared",669707,2026,236,2.2,24.4,81.0,Triolo,Jared,75.6,1.0,0.67,1.25,-1.18,0.05,Jared Triolo,jared triolo
"Naylor, Josh",647304,2026,430,4.9,37.2,76.4,Naylor,Josh,62.8,-0.87,0.16,-0.54,-0.59,-0.77,Josh Naylor,josh naylor
"Cortes, Carlos",666126,2026,233,7.2,25.3,72.8,Cortes,Carlos,74.7,0.86,-0.24,0.47,-0.08,0.26,Carlos Cortes,carlos cortes
"Turang, Brice",668930,2026,437,7.9,24.7,69.5,Turang,Brice,75.3,0.95,-0.61,0.26,0.07,0.22,Brice Turang,brice turang
"McCray, Grant",687529,2026,33,8.0,26.9,57.1,McCray,Grant,73.1,0.63,-1.98,-1.01,0.09,-0.63,Grant McCray,grant mccray
"Freeland, Alex",690976,2026,195,5.3,22.6,69.2,Freeland,Alex,77.4,1.26,-0.64,0.46,-0.5,-0.02,Alex Freeland,alex freeland
"Hernández, Heriberto",681715,2026,286,11.9,26.2,82.3,Hernández,Heriberto,73.8,0.73,0.81,1.16,0.94,1.43,Heriberto Hernández,heriberto hernandez
"Delgado, Raynel",669384,2026,33,3.4,32.1,92.3,Delgado,Raynel,67.9,-0.13,1.92,1.34,-0.91,0.29,Raynel Delgado,raynel delgado
"Grisham, Trent",663757,2026,338,10.2,18.8,71.0,Grisham,Trent,81.2,1.81,-0.44,1.03,0.57,1.09,Trent Grisham,trent grisham
"Fry, David",681807,2026,143,6.5,27.1,67.3,Fry,David,72.9,0.6,-0.85,-0.19,-0.24,-0.29,David Fry,david fry
"Antonacci, Sam",803011,2026,333,6.1,22.4,77.3,Antonacci,Sam,77.6,1.29,0.26,1.16,-0.32,0.57,Sam Antonacci,sam antonacci
"Lara, Luis",800325,2026,65,3.9,19.8,57.7,Lara,Luis,80.2,1.67,-1.91,-0.18,-0.81,-0.68,Luis Lara,luis lara
"Jansen, Danny",643376,2026,123,6.0,23.8,59.6,Jansen,Danny,76.2,1.08,-1.7,-0.46,-0.35,-0.55,Danny Jansen,danny jansen
"Caratini, Victor",605170,2026,272,6.5,25.1,56.4,Caratini,Victor,74.9,0.89,-2.06,-0.87,-0.24,-0.76,Victor Caratini,victor caratini
"Bolte, Henry",703607,2026,242,7.8,29.8,84.6,Bolte,Henry,70.2,0.21,1.06,0.95,0.05,0.68,Henry Bolte,henry bolte
"Meyers, Jake",676694,2026,141,6.3,32.6,80.0,Meyers,Jake,67.4,-0.2,0.55,0.27,-0.28,-0.01,Jake Meyers,jake meyers
"Kiner-Falefa, Isiah",643396,2026,119,3.0,34.7,65.8,Kiner-Falefa,Isiah,65.3,-0.51,-1.02,-1.14,-1.0,-1.46,Isiah Kiner-Falefa,isiah kiner falefa
"Outman, James",681546,2026,156,7.0,30.3,88.6,Outman,James,69.7,0.13,1.51,1.23,-0.13,0.75,James Outman,james outman
"Robert Jr., Luis",673357,2026,141,4.8,33.7,82.9,Robert Jr.,Luis,66.3,-0.36,0.88,0.39,-0.61,-0.15,Luis Robert Jr.,luis robert
"Benge, Carson",701807,2026,427,7.7,27.2,75.8,Benge,Carson,72.8,0.59,0.09,0.51,0.02,0.36,Carson Benge,carson benge
"Halpin, Petey",690984,2026,114,6.4,41.4,84.8,Halpin,Petey,58.6,-1.49,1.09,-0.3,-0.26,-0.38,Petey Halpin,petey halpin
"Happ, Ian",664023,2026,421,11.6,24.2,69.4,Happ,Ian,75.8,1.03,-0.62,0.31,0.88,0.81,Ian Happ,ian happ
"Fulford, Braxton",690924,2026,62,8.6,28.6,85.0,Fulford,Braxton,71.4,0.38,1.11,1.12,0.22,0.91,Braxton Fulford,braxton fulford
"Cavanaugh, Drew",701852,2026,58,5.0,26.0,74.1,Cavanaugh,Drew,74.0,0.76,-0.1,0.5,-0.57,-0.05,Drew Cavanaugh,drew cavanaugh
"Ford, Harry",695670,2026,35,12.0,14.3,92.3,Ford,Harry,85.7,2.47,1.92,3.29,0.96,2.9,Harry Ford,harry ford
"Wagaman, Eric",676572,2026,42,6.5,26.5,63.6,Wagaman,Eric,73.5,0.69,-1.26,-0.43,-0.24,-0.45,Eric Wagaman,eric wagaman
"Teel, Kyle",691019,2026,63,11.1,33.1,47.6,Teel,Kyle,66.9,-0.27,-3.03,-2.48,0.77,-1.17,Kyle Teel,kyle teel
