Player,Team,Opponent,Position,Status,FPts,FP/G,p_game,IP_per_Game,p_era,pitching_score,command_score,whiff_percent,bb_percent,meatball_percent,FPts_7d,FP/G_7d,pitching_score_7d,command_score_7d,whiff_percent_7d,bb_percent_7d,meatball_percent_7d,p_game_7d,IP_per_Game_7d,FPts_14d,FP/G_14d,pitching_score_14d,command_score_14d,whiff_percent_14d,bb_percent_14d,meatball_percent_14d,p_game_14d,IP_per_Game_14d,FPts_30d,FP/G_30d,pitching_score_30d,command_score_30d,whiff_percent_30d,bb_percent_30d,meatball_percent_30d,p_game_30d,IP_per_Game_30d,pitching_score_2025,command_score_2025,whiff_percent_2025,bb_percent_2025,meatball_percent_2025
Cesar Perdomo,SF,SD Sat 3:05PM,SP,FA,58.0,29.0,2,5.0,0.9,1.2,0.54,30.7,5.7,7.8,37.0,37.0,0.34,0.49,23.08,4.76,6.02,1.0,6.0,58.0,29.0,0.61,0.21,29.33,5.56,7.8,2.0,5.0,58.0,29.0,0.83,0.28,29.33,5.56,7.8,2,5.0,,,,,
Brady Singer,CIN,@MIL Sat 6:10PM,SP,FA,684.25,24.44,28,5.2,5.03,0.71,1.11,24.4,7.8,6.1,17.5,17.5,-1.22,-1.43,18.18,24.0,9.28,1.0,5.0,33.0,16.5,-0.58,-0.71,21.05,12.77,8.7,2.0,4.67,102.0,20.4,0.07,0.42,19.07,8.53,5.94,5,5.4,0.13,0.47,24.0,8.4,7.3
Andrew Sears,DET,COL Sat 12:10PM,SP,FA,43.25,14.42,3,4.0,4.38,0.67,0.55,26.9,5.9,7.7,,,,,,,,,,25.5,25.5,0.3,-0.01,27.03,8.7,7.45,1.0,5.67,43.25,14.42,0.63,0.29,26.88,5.88,7.62,3,4.11,,,,,
Tanner Gordon,COL,@DET Sat 12:10PM,SP,FA,368.75,17.56,21,4.4,5.4,0.6,1.42,22.1,4.2,7.0,13.75,13.75,0.36,0.67,20.93,4.35,5.0,1.0,4.67,34.75,17.38,0.73,1.27,21.05,4.88,3.57,2.0,4.83,112.75,22.55,0.38,0.94,18.31,3.67,6.13,5,5.2,-0.88,0.23,18.0,5.0,9.2
Randy Dobnak,KC,@BOS Sat 3:10PM,SP,FA,305.0,25.42,12,5.3,2.54,0.35,1.48,20.0,8.6,5.2,40.0,40.0,0.07,0.31,20.0,0.0,9.64,1.0,6.0,59.75,29.88,0.12,0.52,19.51,4.17,7.06,2.0,6.0,146.0,29.2,0.53,0.79,21.33,7.76,4.88,5,5.53,,,,,
Tyler Phillips,MIA,LAD Sat 3:10PM,RP,FA,560.25,16.48,34,3.4,3.51,0.03,-0.15,26.0,9.8,7.3,24.5,24.5,0.17,0.58,18.42,5.0,5.26,1.0,5.0,58.75,29.38,0.13,0.66,18.31,8.11,4.83,2.0,5.0,102.25,25.56,0.59,0.52,24.39,11.94,4.06,4,4.17,0.59,0.47,27.3,7.7,7.6
Andrew Alvarez,WSH,LAA Sat 3:05PM,SP,FA,494.75,22.49,22,4.3,3.6,0.0,-0.05,25.3,10.7,6.8,20.5,20.5,-0.79,-0.38,12.5,10.53,8.97,1.0,4.33,63.25,31.62,-1.37,-0.99,12.68,11.9,10.29,2.0,5.17,132.0,26.4,-0.54,-0.32,18.07,10.48,7.92,5,5.13,-0.32,0.21,22.2,10.2,7.0
Connor Prielipp,MIN,CLE Sat 3:10PM,SP,FA,549.25,26.15,21,5.1,5.25,-0.18,-0.11,24.3,8.6,7.7,21.75,21.75,-0.09,0.0,21.21,0.0,11.76,1.0,4.0,58.75,29.38,0.17,0.16,23.53,2.7,9.22,2.0,4.5,116.5,23.3,0.14,-0.11,24.47,7.21,8.56,5,5.07,,,,,
Sean Newcomb,CHW,@STL Sat 6:15PM,RP,FA,516.0,9.74,53,1.6,2.71,-0.46,-0.23,23.0,8.6,7.9,-3.5,-3.5,-0.78,-0.5,14.29,11.11,9.52,1.0,1.33,7.25,2.42,-0.67,0.08,12.5,7.69,7.48,3.0,1.67,104.75,11.64,-0.32,0.14,16.67,7.89,7.28,9,2.07,-0.47,0.15,21.4,7.9,8.1
Spencer Miles,TOR,BAL Sat 2:07PM,SP,FA,521.0,11.58,45,1.9,2.77,-0.97,-0.04,18.5,6.0,8.6,27.0,27.0,,,18.75,0.0,9.09,1.0,2.0,56.5,14.12,-0.84,-0.53,15.79,5.56,10.96,4.0,1.33,91.75,10.19,-0.24,0.26,16.67,2.7,9.15,9,1.19,,,,,
