team_name,counted_adds,major_leaguer_adds,minor_exempt_adds,minor_leaguer_adds,sp_adds,rp_adds,major_sp_adds,major_rp_adds,minor_sp_adds,minor_rp_adds,total_adds,remaining_of_limit,team_id
Lászlaró Tóth,5,5,0,0,2,2,2,2,0,0,5,5,mldxq5pemj90wrl7
The Hot and Steamy Boys,5,5,0,0,4,0,4,0,0,0,5,5,f3myl5ugmj90wrl7
Ben the Hen,4,4,0,0,4,0,4,0,0,0,4,6,aqfyadu2mj90wrl7
Bobby and the NitWitts,4,4,0,0,4,0,4,0,0,0,4,6,6tnz8jgemj90wrl7
Hand Foot Mouth Disease Guys,4,4,0,0,1,1,1,1,0,0,4,6,k7c57nf4mj90wrl8
Daddy Yankee,2,2,0,0,0,0,0,0,0,0,2,8,jk36oo1hmj90wrl7
Je suis Charlie Morton,2,2,0,0,0,1,0,1,0,0,2,8,qatqhh61mj90wrl7
Cant Park Here,1,1,2,2,2,0,0,0,2,0,3,9,bw696uo5mj90wrl7
Third Degree Burnes,1,1,0,0,1,0,1,0,0,0,1,9,hd9hwe4mmj90wrl7
Skrrt vs The World,0,0,0,0,0,0,0,0,0,0,0,10,o4jvg6q3mj90wrl7
