probable_date,game_time_utc,home_away,probable_team,opponent,mlb_player_id,probable_name,fantrax_id,name,mlb_team,primary_position,eligible_positions,league_status,is_rostered,stats_inc_id,rotowire_id,sport_radar_id,game_pk
2026-09-12,,,CIN,@MIL Sat 6:10PM,,Brady Singer,03pov,"Singer, Brady",CIN,SP,P,FA,False,11323,13874,18f3c854-6490-4e6b-8afe-bc562c5b20b4,
2026-09-12,,,MIA,LAD Sat 3:10PM,,Tyler Phillips,03qt6,"Phillips, Tyler",MIA,RP,P,FA,False,11400,15681,45fc262f-bb5c-4491-b58b-e7eb585f9ec3,
2026-09-12,,,MIN,CLE Sat 3:10PM,,Connor Prielipp,05joq,"Prielipp, Connor",MIN,SP,P,FA,False,,17945,a491696f-9284-46b3-9322-272fe5ac8629,
2026-09-12,,,TOR,BAL Sat 2:07PM,,Spencer Miles,064no,"Miles, Spencer",TOR,SP,P,FA,False,,18133,1dc59382-2a84-4987-8385-69279fd9be92,
2026-09-12,,,WSH,LAA Sat 3:05PM,,Andrew Alvarez,060u3,"Alvarez, Andrew",WSH,SP,P,FA,False,,19439,e6a98e62-8cf1-4b27-bfc7-19f4b094d845,
2026-09-12,,,CHW,@STL Sat 6:15PM,,Sean Newcomb,032lk,"Newcomb, Sean",CHW,RP,P,FA,False,9868,13368,c8034571-7279-4346-8490-15707c3b3c12,
2026-09-12,,,COL,@DET Sat 12:10PM,,Tanner Gordon,05152,"Gordon, Tanner",COL,SP,P,FA,False,,18754,d5862f27-415f-47d9-84c2-9c3d3ee4b0ec,
2026-09-12,,,KC,@BOS Sat 3:10PM,,Randy Dobnak,0506h,"Dobnak, Randy",KC,SP,P,FA,False,11629,16427,fed34a9e-a359-4a0b-92cb-99f301b5434d,
2026-09-12,,,SF,SD Sat 3:05PM,,Cesar Perdomo,06uhk,"Perdomo, Cesar",SF,SP,P,FA,False,,20957,b0d49fd7-f580-42e9-b95d-e54dd6be5afc,
2026-09-12,,,DET,COL Sat 12:10PM,,Andrew Sears,06gip,"Sears, Andrew",DET,SP,P,FA,False,,20469,c2f01d54-e225-47b5-871f-c58427f403c6,
