rank,teamId,teamName,points,gamesBack,winPercentage,totalPointsFor
1,aqfyadu2mj90wrl7,Ben the Hen,16-4-0,0.0,0.8,25454.75
2,f3myl5ugmj90wrl7,The Hot and Steamy Boys,14-6-0,2.0,0.7,23778.25
3,jk36oo1hmj90wrl7,Daddy Yankee,14-6-0,2.0,0.7,23239.0
4,6tnz8jgemj90wrl7,Bobby and the NitWitts,13-7-0,3.0,0.65,23938.75
5,k7c57nf4mj90wrl8,Hand Foot Mouth Disease Guys,11-9-0,5.0,0.55,23827.25
6,mldxq5pemj90wrl7,Lászlaró Tóth,9-11-0,7.0,0.45,22312.0
7,qatqhh61mj90wrl7,Je suis Charlie Morton,8-12-0,8.0,0.4,22972.0
8,o4jvg6q3mj90wrl7,Skrrt vs The World,5-15-0,11.0,0.25,21903.75
9,hd9hwe4mmj90wrl7,Third Degree Burnes,5-15-0,11.0,0.25,21537.25
10,bw696uo5mj90wrl7,Cant Park Here,5-15-0,11.0,0.25,21158.25
