Metric,wRC+ Correlation,N,Median AB,Median Estimated FB
LD%,0.2689566469339197,4766,108.5,26.923076852
GB%,-0.12498800605154908,4766,108.5,26.923076852
FB%,0.019745829384191126,4766,108.5,26.923076852
Balls_in_Air,0.12498800605154906,4766,108.5,26.923076852
HR/FB%,0.38919065427394745,4766,108.5,26.923076852
IFFB%,-0.12232398358316944,4766,108.5,26.923076852
HR_IFFB_ratio,0.361689567988066,4156,125.0,31.416126078999998
LD% Weighted+,0.18827936911448837,4851,106.0,26.923076852
HR/FB% Weighted+,0.23047198001898547,4851,106.0,26.923076852
BB/K Weighted+,0.2429852125426532,4851,106.0,26.923076852
FB Quality+ K=100,0.18068296943529624,4851,106.0,26.923076852
LD + HR/FB Weighted+,0.2866853237444384,4851,106.0,26.923076852
LD + HR/FB + BB/K Weighted+,0.3968845654092239,4851,106.0,26.923076852
