League Name,Level,Players,AB P25,AB P50,AB P75,AB P90,PA P25,PA P50,Median G,Mean AB
California League,A,216,58.5,134.5,246.5,349.5,69.25,152.5,39.5,164.01388888888889
Carolina League,A,353,43.0,101.0,220.0,318.8,49.0,118.0,29.0,140.62889518413598
Florida State League,A,355,24.0,81.0,179.5,304.4000000000001,27.0,97.0,24.0,117.2450704225352
Midwest League,A+,303,58.5,135.0,274.5,357.0,67.5,166.0,40.0,167.83498349834983
Northwest League,A+,147,58.0,130.0,280.5,413.8,69.5,151.0,39.0,177.8095238095238
South Atlantic League,A+,350,44.25,101.5,231.75,338.1,53.25,118.5,31.5,141.99714285714285
Eastern League,AA,324,48.75,130.0,258.25,359.4,56.0,149.0,41.5,162.46296296296296
Southern League,AA,194,60.25,140.0,295.5,395.10000000000025,70.0,161.5,42.5,178.7422680412371
Texas League,AA,261,45.0,146.0,279.0,394.0,49.0,163.0,40.0,174.67049808429118
International League,AAA,639,33.0,113.0,254.0,370.0,37.5,132.0,34.0,152.2926447574335
Pacific Coast League,AAA,319,35.0,120.0,258.5,378.99999999999994,40.0,141.0,36.0,160.40438871473353
Arizona Complex League,CPX,378,18.0,54.0,127.0,166.90000000000003,22.0,63.0,19.0,74.82275132275132
Florida Complex League,CPX,383,14.0,51.0,107.5,145.0,18.5,63.0,19.0,64.69712793733682
Dominican Summer League,R,839,65.5,104.0,137.0,162.20000000000005,84.0,129.0,36.0,100.84147794994041
