Sample,Metric,Count,Min,P50,P75,P90,P95,P99,Max,Max Player,Max Team,Max League,Max AB,Max PA,Max wRC+
All 2025 rows,Age+,5061,56.12276135881286,99.49523900512722,104.5805761987173,110.08481705128136,114.14413330642785,122.22424976200544,140.78210262462846,Anthony Huezo,HOU,Pacific Coast League,1,1,462.1429884406169
All 2025 rows,FG/G+,5061,-60.76061575715645,91.86562496959394,117.97394536711798,142.7461664782785,160.63067621240103,212.923895191821,453.77580685530194,Devin Saltiban,PHI,Florida State League,5,5,386.2622381331295
All 2025 rows,Approach+,5061,0.0,86.6589613700488,118.36986848430642,174.72711315014067,221.20385288874013,376.3931063608667,1285.7450062730852,Trent Farquhar,PHI,Florida State League,29,36,102.38198980124102
All 2025 rows,Speed+,5061,0.0,92.74577703771466,117.99817383128315,139.60972378999386,151.8989457126102,169.7488306807223,206.1000082119099,David Hamilton,BOS,International League,39,45,128.6636513603554
All 2025 rows,LD%+,5061,0.0,98.55463944693298,114.34606559859336,134.6565816177863,155.761561702107,229.28880462441464,538.08539536225,Justin Lugo,MIL,Dominican Summer League,4,4,219.41137443288147
All 2025 rows,HR/FB+,5061,0.0,71.94181483327355,115.78943312945886,180.43196597454084,237.2807543524348,447.3584310619806,3986.1690120520066,Carlos Cauro,HOU,Carolina League,26,32,178.66179242037157
All 2025 rows,wRC+,4851,-100.0,96.0247859007288,120.71087800643801,148.8835450097395,172.26475176468,262.3250733621942,651.667155312399,Myles Emmerson,LAA,Pacific Coast League,1,1,651.667155312399
All 2025 rows,5 Tool+,5061,14.084918474919586,91.55295458044417,106.25425570765036,122.25608384420944,134.29697053661272,194.0730883149753,859.6990927246034,Carlos Cauro,HOU,Carolina League,26,32,178.66179242037157
All 2025 rows,Hitter+,5061,0.0,88.60025271760473,109.99456370302214,136.62988582143132,160.05746037622373,260.11816346496886,1391.0301377460048,Carlos Cauro,HOU,Carolina League,26,32,178.66179242037157
"2025 rows, AB >= 50",Age+,3579,72.92541850132889,100.84117111766882,104.76364265314751,110.08481705128136,114.14413330642785,121.58454317581548,140.78210262462846,Nelson Rada,LAA,Pacific Coast League,161,201,119.0039757291462
"2025 rows, AB >= 50",FG/G+,3579,4.557046181786733,97.66490631875249,119.45332848988053,140.0954560556105,152.27176319977005,181.1391541783541,246.01255429128437,A.J. Ewing,NYM,Florida State League,65,81,204.08878499473656
"2025 rows, AB >= 50",Approach+,3579,3.5628024160467566,87.11093485322962,119.13116198175823,161.59988256217542,196.45716050514565,291.4873310449509,869.0387317308838,Pablo Nunez,CIN,Dominican Summer League,104,157,168.75767368991535
"2025 rows, AB >= 50",Speed+,3579,2.5806625127666054,100.0,123.11205335760738,143.79633424186477,154.82173362842985,171.28326605389256,197.54734711499347,Enrique Bradfield Jr.,BAL,International League,56,62,32.65797028230364
"2025 rows, AB >= 50",LD%+,3579,11.705795969330389,98.9780773324259,112.26842631829962,126.22632324075833,135.35719767632222,156.83161900409334,193.2520146093454,A.J. Ewing,NYM,Florida State League,65,81,204.08878499473656
"2025 rows, AB >= 50",HR/FB+,3579,0.0,72.39052547776254,120.53431958577951,172.41276076150456,206.22738713507448,291.7461722999492,541.2959000888061,Jared Jones,PIT,South Atlantic League,50,58,100.73682620802676
