Player Name,Team,League Name,Source League ID,Age,AB,PA,Estimated BIP,Estimated FB,wRC+,LD% Weighted+,HR/FB% Weighted+,BB/K Weighted+,FB Quality+ K=100,LD + HR/FB Weighted+,LD + HR/FB + BB/K Weighted+
Chase Harlan,LAD,California League,8,18,104,123,69.0,25.628571399,103.224458083134,73.63059225651419,114.63628726565648,101.08547254608423,98.64323329107296,94.13343976108533,96.45078402275163
Ching-Hsien Ko,LAD,California League,8,18,114,138,82.0,26.320987628,88.36651374597396,110.10085507240328,79.1634089297084,111.33310692200345,79.1634089297084,94.63213200105584,100.19912364137171
Emil Morales,LAD,California League,8,18,124,143,87.0,29.325842637,160.01222323758677,120.86116894265604,133.57782007641265,98.18826666397837,112.60376471950327,127.21949450953434,117.54241856101568
Ethan Holliday,COL,California League,8,18,71,84,36.0,12.315789468,108.15341857165387,101.15895653995291,114.14461591569234,89.68153833494725,100.0,107.65178622782263,101.66170359686417
Hayden Alvarez,LAA,California League,8,18,62,76,54.0,13.245282972,156.12593645382117,94.45690514795368,88.30389873697882,119.74793818245854,88.30389873697882,91.38040194246625,100.83624735579701
Ivan Luciano,ARI,California League,8,18,14,14,9.0,1.999999998,76.09015592746803,105.38890364976565,98.03921568819685,95.23809523809524,100.0,101.71405966898125,99.55540485868592
Jhonny Level,SFG,California League,8,18,127,147,95.0,29.30851061,89.2527981289719,84.6868023664023,112.23459461134648,101.28571537131323,102.01893187551315,98.46069848887439,99.40237078302067
Jorge Quintana,SDP,California League,8,18,83,101,50.0,14.000000000000002,69.68525108507838,96.41447665290359,100.77597718072585,93.74688492840838,96.63570040269727,98.59522691681471,96.97911292067927
Marlon Quintero,LAA,California League,8,18,62,70,57.0,18.321428547,50.00783382504848,92.62326822701421,84.51554484087191,94.13260582901401,84.51554484087191,88.56940653394307,90.42380629896672
Max Durrington,OAK,California League,8,18,173,197,139.0,38.275362202,67.02530436550325,94.07840616941336,94.00441589448843,101.9466030928916,102.46563907925821,94.0414110319509,96.67647505226448
Nick Becker,SEA,California League,8,18,24,28,15.0,6.42857142,66.01922157161836,96.1949719899845,93.95973155119138,97.88149671965762,93.95973155119138,95.07735177058794,96.01206675361117
Roldy Brito,COL,California League,8,18,136,156,109.0,21.194444396,155.65735892869822,110.09605797861254,94.90734902878134,98.59927442400586,95.20916949624541,102.50170350369694,101.20089381046658
Truitt Madonna,SDP,California League,8,18,54,60,31.0,6.999999980999999,55.147624936902574,95.25942104271299,93.45794394182899,88.2846821220423,93.45794394182899,94.35868249227099,92.33401570219475
Ty Harvey,SDP,California League,8,18,23,30,11.0,2.2,78.8876977295825,90.09009009009009,97.84735812133073,101.13053662731106,100.0,93.96872410571041,96.35599494624397
Wilder Dalis,COL,California League,8,18,116,137,89.0,32.999999924,100.51150623278652,94.88227137565838,108.76228703705806,103.83450711588097,107.61455891816446,101.82227920635822,102.4930218428658
Carlos Virahonda,ARI,California League,8,19,129,153,93.0,33.638297811,107.56914699997986,102.64480804965065,107.88733736769184,90.46807031327104,89.78154021849235,105.26607270867125,100.33340524353785
Derek Bernard,COL,California League,8,19,252,290,177.0,30.825842631000004,133.32687979321443,101.95459886369164,144.3185473582123,91.87854121279355,153.42148374938347,123.13657311095197,112.71722914489915
Dylan Fien,OAK,California League,8,19,295,337,227.0,75.331858389,75.46369050615087,99.11185954174806,82.61557649525847,85.62450185088503,73.5496745601602,90.86371801850326,89.11731262929719
Eduardo Quintero,LAD,California League,8,19,317,395,221.0,89.38222212400001,158.48549931996513,111.5578856690919,160.88098303429277,121.52234386652478,137.4633661471498,136.21943435169234,131.32040418996982
Edwardo Espinal,LAA,California League,8,19,170,194,114.0,44.785714188,60.5263751250916,91.53437665215368,69.06758761444719,78.36110994139588,69.06758761444719,80.30098213330044,79.65435806933225
