Source League ID,League Name,League Level,Age,Players,Total G,Total PA,Total AB,FGPts_per_game,BB_K_ratio,BB_pct,K_pct,Approach_score,Speed_score,LD%,HR_FB_pct,wRC+,Average Age
2,International League,AAA,20,4.0,134.0,527.0,451.0,7.619402985074627,0.5369472981826922,0.1271347246280835,0.24098671669449714,0.3363852270903606,3.33257139629729,0.19095557898481974,0.22099488343083007,123.8499345910244,20
2,International League,AAA,21,27.0,856.0,3759.0,3224.0,8.179906542056075,0.7034313780120184,0.12210694282841181,0.18608371061503598,0.4866675164653511,5.269014915731033,0.23313403679475514,0.15482181916128127,119.60591407622002,21
2,International League,AAA,22,47.0,2246.0,9639.0,8366.0,7.558771148708816,0.5076953222870674,0.10998959367596256,0.23028227421731004,0.33698483971139703,5.5641587786482765,0.23941527597298987,0.17445154783876354,106.98038403736098,22
2,International League,AAA,23,93.0,3540.0,14784.0,12870.0,7.144573205200678,0.5066605424630477,0.10899090000726606,0.2396509736036932,0.33559033608563066,4.989664885621806,0.24296007017672588,0.1537752980586461,103.50306019844639,23
2,International League,AAA,24,133.0,4899.0,19546.0,16819.0,6.843574255363466,0.5446886182206362,0.11419911588241038,0.23147436834987456,0.36373541473897913,5.029828215500839,0.23534115080496182,0.14245488095337744,102.36805440526686,24
2,International League,AAA,25,134.0,5223.0,20730.0,17942.0,6.611304347826087,0.506744449735775,0.11219274715969824,0.24167914545210373,0.3325655186927618,4.892160952161427,0.2421193119522981,0.1357589852457248,100.17625439312023,25
2,International League,AAA,26,141.0,5854.0,22954.0,19903.0,6.518595041322314,0.5178485477663562,0.11071178071677769,0.24039048157940385,0.34259531674430715,5.020813333379775,0.23690735351384398,0.14070459802244917,99.34898820480473,26
2,International League,AAA,27,126.0,5019.0,18886.0,16336.0,6.516225713104589,0.54236683369585,0.10776570313236153,0.22630017959013876,0.36499223636924816,5.036885391567827,0.2355017677712862,0.13468935688025474,98.60515319559245,27
2,International League,AAA,28,100.0,3311.0,13000.0,11202.0,6.344968268359021,0.49803569066654546,0.11324405866746654,0.2422259848297414,0.3226986814864457,4.874673337515817,0.2382128384672631,0.1362222382316238,96.32339013420142,28
2,International League,AAA,29,86.0,2841.0,10728.0,9258.0,6.267142857142857,0.5539234789311488,0.11313112229898269,0.2269761367306115,0.3712052071837337,4.884794016034249,0.23504282982673777,0.1289432337220998,94.09210783596123,29
