Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,AB/G,Age+,FG/G+,Approach+,Speed+,LD%+,HR/FB+,wRC+,5 Tool+,Hitter+,Est FB,AB,H,HR,R,RBI,SB,CS,BA,OBP,SLP,OPS,BABIP,BB%,K%,LD%,GB%,FB%,IFFB%,HR/FB%
RJ Austin,Available,BAL,Carolina League,A,No,22.0,,3.0,23.5,2.3,92.2,340.1,488.8,158.2,212.3,838.2,420.0,139.6,163.3,0.8,7.0,5.0,1.0,7.0,4.0,3.0,1.0,0.714,0.818,1.429,2.247,0.8,0.273,0.091,0.5,0.333,0.167,0.0,1.0
Douglas Hodo III,Available,BAL,South Atlantic League,A+,No,25.0,,3.0,33.5,4.7,87.9,449.7,479.6,129.4,165.3,381.6,419.0,135.4,163.3,3.9,14.0,9.0,3.0,8.0,7.0,2.0,0.0,0.643,0.688,1.5,2.188,0.6,0.125,0.063,0.385,0.231,0.385,0.4,0.6
Brandon Compton,Available,MIA,International League,AAA,Yes,22.0,,5.0,16.8,4.4,119.0,251.0,94.9,135.3,196.9,469.7,221.0,135.4,141.0,2.6,22.0,9.0,2.0,6.0,3.0,5.0,0.0,0.409,0.5,0.727,1.227,0.538,0.154,0.269,0.467,0.333,0.2,0.0,0.667
Eddie King Jr.,Available,PIT,South Atlantic League,A+,Yes,23.0,,6.0,13.2,3.0,95.5,177.9,419.0,86.8,165.3,318.0,201.0,135.0,163.3,2.0,18.0,6.0,1.0,7.0,5.0,1.0,0.0,0.333,0.613,0.5,1.113,0.385,0.355,0.129,0.385,0.462,0.154,0.5,0.5
John Peck,Available,DET,International League,AAA,Yes,23.0,,6.0,11.9,3.5,113.8,178.0,115.2,121.0,168.6,352.1,236.0,133.5,143.3,2.0,21.0,10.0,1.0,5.0,3.0,3.0,0.0,0.476,0.542,0.714,1.256,0.6,0.125,0.208,0.4,0.467,0.133,0.0,0.5
Waner Luciano,Available,HOU,Florida Complex League,CPX,No,21.0,,6.0,11.1,2.0,92.2,160.0,257.8,105.4,197.0,742.8,176.0,133.1,159.9,0.0,12.0,4.0,1.0,4.0,7.0,2.0,0.0,0.333,0.5,0.583,1.083,0.333,0.25,0.125,0.429,0.571,0.0,0.0,1.0
Ethan Salas,The Hot and Steamy Boys (MINORS),SD,Pacific Coast League,AAA,Yes,20.0,,24.0,10.5,3.7,133.9,138.2,266.8,110.3,102.2,133.3,128.0,130.7,126.1,16.0,89.0,29.0,3.0,13.0,24.0,3.0,2.0,0.326,0.41,0.539,0.949,0.333,0.133,0.095,0.256,0.538,0.205,0.063,0.188
Sam Antonacci,The Hot and Steamy Boys (ACTIVE),CHW,International League,AAA,Yes,23.0,,14.0,10.2,3.4,113.8,152.1,354.6,88.2,137.0,156.3,159.0,130.4,142.8,8.6,48.0,15.0,2.0,6.0,7.0,5.0,0.0,0.312,0.5,0.479,0.979,0.342,0.224,0.119,0.325,0.45,0.225,0.222,0.222
Juan Tomas,Available,CHC,Carolina League,A,Yes,18.0,,3.0,12.2,4.0,112.7,176.1,73.1,113.5,212.3,838.2,227.0,129.5,138.4,0.9,12.0,5.0,1.0,4.0,1.0,1.0,0.0,0.417,0.5,0.75,1.25,0.571,0.143,0.286,0.5,0.375,0.125,0.0,1.0
Starlyn De La Cruz,Available,ATL,Dominican Summer League,R,Yes,17.0,,16.0,11.0,3.1,103.7,147.5,89.6,145.6,171.3,404.9,167.0,129.5,140.3,5.8,50.0,18.0,2.0,19.0,5.0,9.0,1.0,0.36,0.5,0.56,1.06,0.471,0.219,0.219,0.314,0.514,0.171,0.0,0.333
Konnor Griffin,Ben the Hen (ACTIVE),PIT,Eastern League,AA,No,20.0,,2.0,17.8,2.5,117.6,284.2,92.5,99.3,144.7,824.9,424.0,129.1,136.4,0.7,5.0,3.0,1.0,3.0,3.0,0.0,0.0,0.6,0.714,1.6,2.314,1.0,0.143,0.286,0.333,0.333,0.333,0.0,1.0
Carlos Colmenarez,Available,TB,Southern League,AA,No,22.0,,2.0,10.5,2.5,107.6,152.1,232.2,131.0,430.6,100.0,209.0,128.5,138.0,0.0,5.0,2.0,0.0,2.0,1.0,1.0,0.0,0.4,0.625,0.4,1.025,0.5,0.125,0.125,1.0,0.0,0.0,0.0,0.0
Juan Matheus,Available,MIA,International League,AAA,Yes,22.0,,5.0,10.7,3.6,119.0,159.8,359.9,108.7,150.5,0.0,159.0,128.2,132.6,3.2,18.0,6.0,0.0,4.0,2.0,3.0,1.0,0.333,0.5,0.389,0.889,0.4,0.25,0.125,0.357,0.429,0.214,0.333,0.0
Tre Broussard,Available,CLE,Carolina League,A,Yes,20.0,,3.0,23.5,4.0,101.4,340.1,100.7,129.0,254.8,838.2,282.0,128.0,141.6,0.9,12.0,6.0,1.0,4.0,2.0,6.0,0.0,0.5,0.571,0.917,1.488,0.556,0.071,0.143,0.6,0.3,0.1,0.0,1.0
Stephen Hrustich,Available,DET,Eastern League,AA,Yes,24.0,,6.0,9.2,3.3,98.0,146.8,162.0,111.0,155.1,274.7,148.0,127.6,145.8,3.0,20.0,6.0,1.0,4.0,3.0,2.0,0.0,0.3,0.417,0.5,0.917,0.357,0.167,0.208,0.357,0.429,0.214,0.0,0.333
William Bergolla Jr.,Available,CHW,International League,AAA,Yes,21.0,,10.0,10.1,3.5,124.6,150.9,284.6,63.6,149.7,0.0,188.0,126.4,132.0,9.0,35.0,16.0,0.0,5.0,8.0,2.0,2.0,0.457,0.525,0.571,1.096,0.516,0.116,0.093,0.355,0.355,0.29,0.0,0.0
Edgardo Figueroa,Available,WSH,Eastern League,AA,Yes,18.0,,1.0,12.0,1.0,130.7,192.1,100.0,99.3,434.5,100.0,891.0,126.3,122.6,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
