Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,AB/G,Age+,FG/G+,Approach+,Speed+,LD%+,HR/FB+,wRC+,5 Tool+,Hitter+,Est FB,AB,H,HR,R,RBI,SB,CS,BA,OBP,SLP,OPS,BABIP (Adv),BB%,K%,PA (Adv),BB/K,AVG (Adv),OBP (Adv),SLG (Adv),OPS (Adv),ISO,Spd,wSB,wRC,wRAA,wOBA,wRC+ (Adv),PA (Batted),BABIP (Batted),GB/FB,LD%,GB%,FB%,IFFB%,HR/FB%,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches
Shotaro Morii,Bobby and the NitWitts (MINORS),ATH,Arizona Complex League,CPX,No,19.0,,4.0,9.1,3.2,103.2,131.3,62.7,113.0,248.4,0.0,81.0,107.6,108.8,2.0,13.0,4.0,0.0,2.0,3.0,2.0,0.0,0.308,0.357,0.385,0.742,0.4,0.071,0.214,14.0,0.33,0.308,0.357,0.385,0.742,0.077,6.9,0.4,2,-0.3,0.354,81,14.0,0.4,1.5,0.5,0.3,0.2,0.0,0.0,0.5,0.3,0.2,0.13,15.0,31.0,46.0
Jordan Lawlar,Bobby and the NitWitts (MINORS),ARI,Arizona Complex League,CPX,No,23.0,,3.0,6.5,2.7,85.2,93.5,175.3,116.3,0.0,0.0,147.0,75.5,67.2,3.0,8.0,2.0,0.0,2.0,0.0,1.0,0.0,0.25,0.5,0.375,0.875,0.333,0.167,0.167,12.0,1.0,0.25,0.5,0.375,0.875,0.125,7.1,0.2,3,0.9,0.457,147,12.0,0.333,1.0,0.0,0.5,0.5,0.0,0.0,0.833,0.0,0.167,0.061,20.0,29.0,49.0
Kayson Cunningham,Bobby and the NitWitts (MINORS),ARI,California League,A,No,20.0,,43.0,10.9,4.1,105.0,141.1,158.8,132.5,164.5,30.6,156.0,118.5,122.9,24.9,176.0,67.0,1.0,45.0,27.0,10.0,2.0,0.381,0.471,0.506,0.977,0.482,0.145,0.184,207.0,0.79,0.381,0.471,0.506,0.977,0.125,7.9,0.3,49,17.4,0.451,156,207.0,0.482,2.44,0.372,0.445,0.182,0.2,0.04,0.324,0.216,0.46,0.066,350.0,532.0,882.0
Shotaro Morii,Bobby and the NitWitts (MINORS),ATH,California League,A,Yes,19.0,,63.0,4.9,2.8,110.6,63.9,67.1,120.8,107.4,75.0,75.0,105.6,99.2,40.7,176.0,40.0,4.0,32.0,24.0,5.0,3.0,0.227,0.325,0.369,0.695,0.316,0.111,0.295,207.0,0.38,0.227,0.325,0.369,0.695,0.142,7.2,-1.0,25,-6.9,0.322,75,207.0,0.316,1.12,0.243,0.4,0.357,0.073,0.098,0.441,0.305,0.254,0.157,314.0,491.0,805.0
Eli Willits,Bobby and the NitWitts (MINORS),WSH,Carolina League,A,No,18.0,,47.0,12.8,4.0,112.7,185.7,108.7,158.2,112.5,111.5,145.0,115.7,109.2,43.7,190.0,57.0,6.0,48.0,37.0,29.0,7.0,0.3,0.418,0.5,0.918,0.386,0.164,0.233,232.0,0.7,0.3,0.418,0.5,0.918,0.2,9.2,1.9,47,14.7,0.429,145,232.0,0.386,1.22,0.265,0.404,0.331,0.133,0.133,0.399,0.225,0.377,0.109,397.0,561.0,958.0
Francisco Renteria,Bobby and the NitWitts (MINORS),PHI,Dominican Summer League,R,Yes,17.0,,53.0,14.8,3.7,103.7,198.1,105.8,141.0,80.2,248.0,176.0,111.4,110.7,52.9,198.0,75.0,11.0,65.0,55.0,24.0,4.0,0.379,0.47,0.682,1.152,0.418,0.144,0.153,236.0,0.94,0.379,0.47,0.682,1.152,0.303,9.2,1.9,69,27.5,0.522,176,236.0,0.418,1.46,0.147,0.506,0.346,0.074,0.204,0.494,0.247,0.259,0.134,305.0,456.0,761.0
Wandy Asigen,Bobby and the NitWitts (MINORS),NYM,Dominican Summer League,R,Yes,16.0,,23.0,7.6,2.7,110.2,101.2,60.8,110.3,121.1,243.2,149.0,116.6,119.2,14.2,61.0,17.0,3.0,15.0,9.0,6.0,4.0,0.279,0.47,0.525,0.994,0.412,0.229,0.289,83.0,0.79,0.279,0.47,0.525,0.994,0.246,7.2,-1.5,21,6.6,0.483,149,83.0,0.412,0.87,0.222,0.361,0.417,0.133,0.2,0.395,0.263,0.342,0.155,132.0,164.0,296.0
Jaison Chourio,Bobby and the NitWitts (MINORS),CLE,Eastern League,AA,Yes,21.0,,87.0,8.8,3.9,112.0,140.6,135.8,144.1,109.9,87.4,109.0,114.2,109.2,64.7,338.0,88.0,7.0,63.0,46.0,29.0,5.0,0.26,0.361,0.393,0.755,0.327,0.136,0.212,396.0,0.64,0.26,0.361,0.393,0.755,0.133,7.4,2.0,56,2.8,0.344,109,396.0,0.327,1.86,0.253,0.486,0.261,0.091,0.106,0.424,0.251,0.325,0.093,640.0,1004.0,1644.0
Miguel Hernández,Bobby and the NitWitts (MINORS),STL,Florida Complex League,CPX,No,18.0,,49.0,9.9,3.0,107.6,142.6,118.0,124.9,137.3,196.8,137.0,121.5,127.1,34.7,148.0,40.0,9.0,39.0,38.0,11.0,5.0,0.27,0.435,0.534,0.968,0.313,0.204,0.209,191.0,0.98,0.27,0.435,0.534,0.968,0.264,7.7,-1.4,44,12.6,0.452,137,191.0,0.313,1.0,0.299,0.351,0.351,0.294,0.265,0.6,0.18,0.22,0.118,320.0,365.0,685.0
Marconi German,Bobby and the NitWitts (MINORS),WSH,Florida Complex League,CPX,Yes,18.0,,50.0,8.5,2.8,107.6,122.2,97.9,128.1,111.2,144.1,129.0,111.9,110.6,33.7,138.0,34.0,7.0,37.0,31.0,11.0,5.0,0.246,0.425,0.486,0.91,0.303,0.21,0.242,186.0,0.87,0.246,0.425,0.486,0.91,0.239,7.9,-1.4,39,8.7,0.431,129,186.0,0.303,1.0,0.242,0.379,0.379,0.25,0.194,0.484,0.221,0.295,0.146,328.0,373.0,701.0
