Player Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Source Report,Source League ID,Level_advanced,PA_advanced,BB%,K%,BB/K,AVG_advanced,OBP_advanced,SLG,OPS_advanced,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,Source Report_advanced,Level_batted,PA_batted,BABIP_batted,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB%,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,Source Report_batted,League Name,League Level,FGPts_est,Fantasy Points Formula,FGPts_per_game,AB_per_game,BA,OBP,SLP,OPS,BB_K_ratio,BB_pct,K_pct,Approach_score,Speed_score,HR_FB_pct,Estimated BIP,Estimated FB,Team League Max G,Player Team Game Share
Ashly Andujar,COL,A,18,9,31,34,5,2,2,0,1,4,3,3,0,5,0,0,0,2,1,0,0.161290322,sa3023890,standard,8,A,34,0.088235294,0.147058823,0.6,0.161290322,0.235294117,0.322580645,0.557874762,0.161290323,5.83930699707971,0.16,0.1679746066220104,1.9574718545608052,-3.3265686858959667,0.2535178030238432,38.95217700400381,advanced,A,34,0.16,1.5,0.166666666,0.5,0.333333333,0.75,0.125,0.42307692,0.23076923,0.34615385,0.14529915,35.0,82.0,117.0,batted,California League,A,45.0,fantrax_hitting_categories,5.0,3.4444444444444446,0.16129032258064516,0.23529411764705882,0.3225806451612903,0.5578747628083491,0.6,0.088235294,0.147058823,0.45882352979999996,5.83930699707971,0.125,25.0,8.333333325,53,0.16981132075471697
Breyson Guedez,OAK,A,18,49,209,224,54,43,7,2,2,26,22,13,1,63,1,1,0,5,0,0,0.258373205,sa3067688,standard,8,A,224,0.058035714,0.28125,0.206349206,0.258373205,0.303571428,0.339712918,0.643284346,0.081339713,3.57554944625,0.358620689,-0.3586844392120838,21.855976514453335,-12.956525869732456,0.2971895278302008,59.11594576807051,advanced,A,224,0.358620689,2.533333333,0.278911564,0.517006802,0.204081632,0.066666666,0.066666666,0.42176871,0.21768707,0.36054422,0.16281896,256.0,567.0,823.0,batted,California League,A,262.5,fantrax_hitting_categories,5.357142857142857,4.26530612244898,0.2583732057416268,0.30357142857142855,0.3397129186602871,0.6432843472317156,0.20634920634920634,0.058035714,0.28125,0.13633786853968255,3.57554944625,0.066666666,145.0,29.59183664,49,1.0
Gabriel Davalillo,LAA,A,18,43,151,177,40,29,7,0,4,17,22,20,0,49,2,4,0,3,0,0,0.264900662,sa3068659,standard,8,A,177,0.11299435,0.276836158,0.408163265,0.264900662,0.350282485,0.390728476,0.741010961,0.125827814,0.96874999625,0.352941176,-0.326659042853862,24.711508698756344,-2.7965847030333193,0.3430919694361714,88.46815253107764,advanced,A,177,0.352941176,1.135135135,0.225490196,0.411764705,0.362745098,0.162162162,0.108108108,0.5047619,0.2,0.2952381,0.14723032,250.0,436.0,686.0,batted,California League,A,244.5,fantrax_hitting_categories,5.686046511627907,3.511627906976744,0.26490066225165565,0.3502824858757062,0.39072847682119205,0.7410109626968983,0.40816326530612246,0.11299435,0.276836158,0.249048772244898,0.96874999625,0.108108108,102.0,36.999999996,51,0.8431372549019608
Jose Verdugo,SDP,A,18,44,156,179,44,35,5,2,2,27,20,15,0,30,1,1,6,3,14,4,0.282051282,sa3067649,standard,8,A,179,0.083798882,0.167597765,0.5,0.282051282,0.346820809,0.378205128,0.725025937,0.096153846,7.966460968861795,0.336,0.2826531040482223,24.20631259734112,-3.6126067185930593,0.3383072976432095,87.67630853207147,advanced,A,179,0.336,0.977777777,0.264462809,0.363636363,0.371900826,0.266666666,0.044444444,0.32575758,0.29545455,0.37878788,0.09516616,237.0,425.0,662.0,batted,California League,A,341.5,fantrax_hitting_categories,7.761363636363637,3.5454545454545454,0.28205128205128205,0.3468208092485549,0.3782051282051282,0.7250259374536832,0.5,0.083798882,0.167597765,0.3743016765,7.966460968861795,0.044444444,125.0,46.48760325,52,0.8461538461538461
Carlos Renzullo,COL,A,19,23,87,96,23,17,3,2,1,16,15,7,0,15,0,2,0,2,1,2,0.264367816,sa3024879,standard,8,A,96,0.072916666,0.15625,0.466666666,0.264367816,0.3125,0.379310344,0.691810344,0.114942528,6.262690680690263,0.301369863,-1.0490658469498158,10.901050679287025,-4.018593199649743,0.3146383886535962,75.01221194166035,advanced,A,96,0.301369863,1.727272727,0.166666666,0.527777777,0.305555555,0.181818181,0.045454545,0.39189189,0.22972973,0.37837838,0.06774194,103.0,207.0,310.0,batted,California League,A,164.5,fantrax_hitting_categories,7.1521739130434785,3.782608695652174,0.26436781609195403,0.3125,0.3793103448275862,0.6918103448275862,0.4666666666666667,0.072916666,0.15625,0.35972222253333336,6.262690680690263,0.045454545,73.0,22.305555514999998,53,0.4339622641509434
Chase Harlan,LAD,A,19,44,165,207,55,36,8,3,8,32,35,35,0,38,4,2,0,5,0,0,0.333333333,sa3067256,standard,8,A,207,0.169082125,0.183574879,0.921052631,0.333333333,0.456310679,0.563636363,1.019947042,0.23030303,3.8471254275,0.388429752,-0.4803809453733265,50.3542555441129,18.183773430155497,0.4562539244161069,156.6966761064126,advanced,A,207,0.388429752,1.325581395,0.206349206,0.452380952,0.341269841,0.139534883,0.186046511,0.43410853,0.2248062,0.34108527,0.09937107,352.0,443.0,795.0,batted,California League,A,439.0,fantrax_hitting_categories,9.977272727272727,3.75,0.3333333333333333,0.4563106796116505,0.5636363636363636,1.0199470432480142,0.9210526315789473,0.169082125,0.183574879,0.59623697,3.8471254275,0.186046511,121.0,41.293650761,49,0.8979591836734694
Ching-Hsien Ko,LAD,A,19,40,150,186,41,26,7,0,8,29,37,32,0,47,2,2,0,3,1,1,0.273333333,sa3025230,standard,8,A,186,0.17204301,0.252688172,0.680851063,0.273333333,0.403225806,0.48,0.883225806,0.206666667,2.3715770801829907,0.340206185,-0.7319767270237207,35.952390726745016,7.045580711305024,0.4017007658558507,124.51130380715342,advanced,A,186,0.340206185,1.433333333,0.298076923,0.413461538,0.288461538,0.1,0.266666666,0.33333333,0.3047619,0.36190476,0.12694301,321.0,451.0,772.0,batted,California League,A,382.0,fantrax_hitting_categories,9.55,3.75,0.2733333333333333,0.4032258064516129,0.48,0.8832258064516129,0.6808510638297872,0.17204301,0.252688172,0.3916723867234043,2.3715770801829907,0.266666666,97.0,27.980769186000003,49,0.8163265306122449
Edgar Montero,OAK,A,19,35,122,152,23,19,2,0,2,17,14,25,0,58,2,3,0,3,0,1,0.18852459,sa3024109,standard,8,A,152,0.164473684,0.381578947,0.431034482,0.18852459,0.328947368,0.25409836,0.583045728,0.06557377,1.951456581702825,0.323076923,-0.842305620200932,14.728284851216708,-8.894484623766507,0.2964528555932798,58.68132253389709,advanced,A,152,0.323076923,2.0,0.149253731,0.567164179,0.283582089,0.157894736,0.105263157,0.43939394,0.27272727,0.28787879,0.16133942,286.0,371.0,657.0,batted,California League,A,150.5,fantrax_hitting_categories,4.3,3.4857142857142858,0.1885245901639344,0.32894736842105265,0.2540983606557377,0.5830457290767903,0.43103448275862066,0.164473684,0.381578947,0.19566696939655168,1.951456581702825,0.105263157,65.0,18.432835784999998,49,0.7142857142857143
Emil Morales,LAD,A,19,36,158,179,51,27,15,3,6,29,35,15,0,47,3,3,0,2,2,1,0.32278481,sa3023887,standard,8,A,179,0.083798882,0.262569832,0.319148936,0.32278481,0.38547486,0.569620253,0.955095113,0.246835443,6.070080639969673,0.416666666,-0.4359005349688232,36.88419193481803,9.06527261888385,0.4156374555060317,132.73369746589745,advanced,A,179,0.416666666,0.906976744,0.274336283,0.345132743,0.380530973,0.069767441,0.139534883,0.50877193,0.24561404,0.24561404,0.14200299,242.0,427.0,669.0,batted,California League,A,383.5,fantrax_hitting_categories,10.652777777777779,4.388888888888889,0.3227848101265823,0.3854748603351955,0.569620253164557,0.9550951134997525,0.3191489361702128,0.083798882,0.262569832,0.2086057295744681,6.070080639969673,0.139534883,108.0,41.097345084,49,0.7346938775510204
Ethan Holliday,COL,A,19,33,122,152,32,16,5,2,9,29,32,23,0,43,5,2,0,1,1,1,0.262295081,sa3069100,standard,8,A,152,0.151315789,0.282894736,0.53488372,0.262295081,0.394736842,0.557377049,0.952113891,0.295081968,5.733316085028027,0.319444444,-0.6294954586774111,31.38264731019122,7.759877835208005,0.4160827551233141,134.8625448767187,advanced,A,152,0.319444444,1.333333333,0.2125,0.45,0.3375,0.074074074,0.333333333,0.46341463,0.25609756,0.2804878,0.11532385,258.0,375.0,633.0,batted,California League,A,340.0,fantrax_hitting_categories,10.303030303030303,3.696969696969697,0.26229508196721313,0.39473684210526316,0.5573770491803278,0.952113891285591,0.5348837209302325,0.151315789,0.282894736,0.30263157965116283,5.733316085028027,0.333333333,72.0,24.3,53,0.6226415094339622
