Metric,AB Threshold,Players,Mean,Std Dev,Variance,P75,P90,P95,P99,Max,Max Player,Max League,Max AB,Max wRC+
Age+,0,5061,99.0609847358891,9.738120382546773,94.83098858497291,104.5805761987173,110.08481705128136,114.14413330642785,122.22424976200544,140.78210262462846,Anthony Huezo,Pacific Coast League,1,462.1429884406169
Age+,10,4610,99.54097459949939,9.096759101713086,82.75102615459988,104.5805761987173,110.08481705128136,114.14413330642785,121.58454317581548,140.78210262462846,Colt Emerson,Pacific Coast League,22,173.71781794571615
Age+,25,4124,100.07743096435429,8.366705016507916,70.00175283325873,104.76364265314751,110.08481705128136,114.14413330642785,121.58454317581548,140.78210262462846,Nelson Rada,Pacific Coast League,161,119.0039757291462
Age+,50,3579,100.3773929942221,8.150784270897649,66.43528423071253,104.76364265314751,110.08481705128136,114.14413330642785,121.58454317581548,140.78210262462846,Nelson Rada,Pacific Coast League,161,119.0039757291462
Age+,75,3090,100.59644901935687,8.115854850749173,65.86709995842888,105.01260264191362,110.08481705128136,114.14413330642785,121.58454317581548,140.78210262462846,Nelson Rada,Pacific Coast League,161,119.0039757291462
Age+,100,2608,100.73785783360908,8.154498233917698,66.49584144696685,105.01260264191362,110.25836102784136,114.14413330642785,121.58454317581548,140.78210262462846,Nelson Rada,Pacific Coast League,161,119.0039757291462
Age+,125,2127,100.76548448735633,8.170245576403882,66.75291277874722,105.64313164708162,110.92528822943568,114.14413330642785,121.58454317581548,140.78210262462846,Nelson Rada,Pacific Coast League,161,119.0039757291462
Age+,150,1701,100.84650654672231,8.274638516824183,68.4696425841103,105.97697805266048,111.2758269552935,114.14413330642785,121.58454317581548,140.78210262462846,Nelson Rada,Pacific Coast League,161,119.0039757291462
Age+,175,1386,100.81033127064916,8.329492574932706,69.3804465558591,106.0581934337248,111.4524979111642,114.14413330642785,121.58454317581548,133.74299749339704,Bryce Eldridge,Pacific Coast League,253,105.0206001322513
Age+,200,1146,101.02569618140147,8.395067853318576,70.47716426182295,106.0581934337248,111.61510285521628,114.14413330642785,121.58454317581548,133.74299749339704,Bryce Eldridge,Pacific Coast League,253,105.0206001322513
Age+,250,850,101.7359059403793,8.331012209295702,69.40576443143405,106.99439799471764,111.64020361444716,116.01647965155642,121.58454317581548,133.74299749339704,Bryce Eldridge,Pacific Coast League,253,105.0206001322513
Age+,300,623,102.32767820383464,8.111779996562102,65.80097471262505,107.20782994452046,112.56164408020426,116.29825868991044,121.58454317581548,125.67819663805544,Sebastian Walcott,Texas League,474,110.32587657329518
Approach+,0,5061,98.2444651258129,77.3098624286999,5976.814828744506,118.36986848430642,174.72711315014067,221.20385288874013,376.3931063608667,1285.7450062730852,Trent Farquhar,Florida State League,29,102.38198980124102
Approach+,10,4610,99.17900954829769,75.60679176049256,5716.386960314486,120.19983241633777,174.0346933172096,217.6704732565024,357.820500211412,1285.7450062730852,Trent Farquhar,Florida State League,29,102.38198980124102
Approach+,25,4124,97.87191384930684,65.91661906150695,4345.000668499821,119.40436817888349,165.60539669437856,205.16711255946143,312.6186613588964,1285.7450062730852,Trent Farquhar,Florida State League,29,102.38198980124102
Approach+,50,3579,96.95146551806185,55.65083105425061,3097.0149970287443,119.13116198175823,161.59988256217542,196.45716050514565,291.4873310449509,869.0387317308838,Pablo Nunez,Dominican Summer League,104,168.75767368991535
Approach+,75,3090,97.43138217388213,53.69761306539938,2883.43364892135,119.50691198435719,160.75774680791216,193.20352193522467,286.1974571803501,869.0387317308838,Pablo Nunez,Dominican Summer League,104,168.75767368991535
Approach+,100,2608,97.68674297601596,53.357392583889705,2847.0113433513284,120.54962606260105,161.32141842851104,193.15410284685186,282.3348331070164,869.0387317308838,Pablo Nunez,Dominican Summer League,104,168.75767368991535
Approach+,125,2127,97.97197408764393,51.14593659107432,2615.906829778195,120.97533995590993,161.8284614881588,192.3477437945529,281.7450828744831,520.5724875091696,Emmanuel Cedeno,Dominican Summer League,158,140.78154414805616
Approach+,150,1701,98.94679373886618,50.55473225629389,2555.7809535055617,122.3763919213132,162.3824343189515,191.45941434860092,275.78403948016836,520.5724875091696,Emmanuel Cedeno,Dominican Summer League,158,140.78154414805616
Approach+,175,1386,98.83324314558794,47.40523920458071,2247.2567040435156,122.44984822952473,160.7344897559333,189.35121865914542,253.6026510011182,393.95424752476,Jose Fermin,International League,237,146.6978956145375
Approach+,200,1146,99.8776250084041,48.179495336380015,2321.2637708682637,124.28431115397075,161.40787467571116,193.02088539779163,255.29352409644238,393.95424752476,Jose Fermin,International League,237,146.6978956145375
Approach+,250,850,100.23553255266532,47.76157742843466,2281.1682784523596,124.39077309087338,160.82998172358035,192.8926865063913,256.5692645705333,377.23648686349,William Bergolla Jr.,Southern League,486,104.34524217941784
Approach+,300,623,98.72099061616349,46.78090356428668,2188.45293829109,123.93264585086403,158.3681276704894,186.41378400268854,247.95998901921396,377.23648686349,William Bergolla Jr.,Southern League,486,104.34524217941784
Speed+,0,5061,86.24821261637926,42.9204338739308,1842.163643926466,117.99817383128315,139.60972378999386,151.8989457126102,169.7488306807223,206.1000082119099,David Hamilton,International League,39,128.6636513603554
Speed+,10,4610,91.85389017588669,39.23304196969457,1539.2315821958155,119.93443354192095,141.644080378873,153.21306590809544,170.43796527713891,206.1000082119099,David Hamilton,International League,39,128.6636513603554
Speed+,25,4124,95.36716741290985,37.20972045818248,1384.563296576084,121.51680904699967,143.0317873645701,154.59212301289443,171.0633381510858,206.1000082119099,David Hamilton,International League,39,128.6636513603554
Speed+,50,3579,98.05946020279244,35.866395617374124,1286.3983345819936,123.11205335760738,143.79633424186477,154.82173362842985,171.28326605389256,197.54734711499347,Enrique Bradfield Jr.,International League,56,32.65797028230364
