Sample,Metric,Count,Mean,Median,Std Dev,Variance,Coeff Var,P75,P90,P95,P99,Max
"2025 vs 2025, all rows",Age+,5061,99.0609847358891,99.49523900512722,9.738120382546773,94.83098858497291,0.0983042961717977,104.5805761987173,110.08481705128136,114.14413330642785,122.22424976200544,140.78210262462846
"2025 vs 2025, all rows",FG/G+,5061,92.4418142433505,91.86562496959394,45.34907618878311,2056.538711176055,0.4905688682115533,117.97394536711798,142.7461664782785,160.63067621240103,212.923895191821,453.77580685530194
"2025 vs 2025, all rows",Approach+,5061,98.2444651258129,86.6589613700488,77.3098624286999,5976.814828744506,0.7869131592267928,118.36986848430642,174.72711315014067,221.20385288874013,376.3931063608667,1285.7450062730852
"2025 vs 2025, all rows",Speed+,5061,86.24821261637926,92.74577703771466,42.9204338739308,1842.163643926466,0.4976385315349694,117.99817383128315,139.60972378999386,151.8989457126102,169.7488306807223,206.1000082119099
"2025 vs 2025, all rows",LD%+,5061,97.68114168314295,98.55463944693298,42.52277457663069,1808.1863576949493,0.4353222520122217,114.34606559859336,134.6565816177863,155.761561702107,229.28880462441464,538.08539536225
"2025 vs 2025, all rows",HR/FB+,5061,85.41989111528389,71.94181483327355,115.1280989614903,13254.479170486702,1.3477902799725159,115.78943312945886,180.43196597454084,237.2807543524348,447.3584310619806,3986.1690120520066
"2025 vs 2025, all rows",wRC+,4851,92.19118780322972,96.0247859007288,62.5717080828607,3915.2186524067356,0.6787168011807375,120.71087800643801,148.8835450097395,172.26475176468,262.3250733621942,651.667155312399
"2025 vs 2025, all rows",5 Tool+,5061,93.33093905530163,91.55295458044417,30.00752290878101,900.4514311210171,0.3215174219022973,106.25425570765036,122.25608384420944,134.29697053661272,194.0730883149753,859.6990927246034
"2025 vs 2025, all rows",Hitter+,5061,93.78183264141326,88.60025271760473,47.812092982733,2285.996235389506,0.509822549166304,109.99456370302214,136.62988582143132,160.05746037622373,260.11816346496886,1391.0301377460048
"2025 vs 2025, AB >= 50",Age+,3579,100.3773929942221,100.84117111766882,8.150784270897649,66.43528423071253,0.08120139433554348,104.76364265314751,110.08481705128136,114.14413330642785,121.58454317581548,140.78210262462846
"2025 vs 2025, AB >= 50",FG/G+,3579,98.76599382922807,97.66490631875249,31.68010009923059,1003.6287422972699,0.32075918918010643,119.45332848988053,140.0954560556105,152.27176319977005,181.1391541783541,246.01255429128437
"2025 vs 2025, AB >= 50",Approach+,3579,96.95146551806185,87.11093485322962,55.65083105425061,3097.0149970287443,0.5740071153837585,119.13116198175823,161.59988256217542,196.45716050514565,291.4873310449509,869.0387317308838
"2025 vs 2025, AB >= 50",Speed+,3579,98.05946020279244,100.0,35.866395617374124,1286.3983345819936,0.3657617076741032,123.11205335760738,143.79633424186477,154.82173362842985,171.28326605389256,197.54734711499347
"2025 vs 2025, AB >= 50",LD%+,3579,99.34582778082257,98.9780773324259,21.88145213656694,478.7979476048698,0.22025537081277277,112.26842631829962,126.22632324075833,135.35719767632222,156.83161900409334,193.2520146093454
"2025 vs 2025, AB >= 50",HR/FB+,3579,82.10542542234126,72.39052547776254,68.60671187455114,4706.880914237677,0.8355929163224692,120.53431958577951,172.41276076150456,206.22738713507448,291.7461722999492,541.2959000888061
"2025 vs 2025, AB >= 50",wRC+,3431,97.87819357001827,98.3326132808408,32.8442744856,1078.7463664854351,0.3355627365773203,118.4759556850689,138.61832758665912,151.45908035991852,181.6502449545186,237.7773019619013
