Metric,Method,Sample,Count,Mean,Std Dev,P50,P75,P90,P95,P99 Cap,Max
Age+,standard_z_15,2025 training,4124,99.99999999999999,15.000000000000002,99.86415428531566,108.40153623119335,117.94144660385781,125.21907187056183,138.55839097176238,172.9761684796378
Age+,standard_z_15,2026 AB>=50 uncapped transform,1741,100.12301843065663,14.939704955584613,100.12874325668842,110.12685087605664,119.60423674876526,124.84838636045617,138.55839097176238,161.38103697584944
Age+,robust_z_15,2025 training,4124,100.15822351339965,17.470942727267623,100.0,109.9437407344825,121.05515591742164,129.53162086576177,145.0683195349499,185.15572084427865
Age+,robust_z_15,2026 AB>=50 uncapped transform,1741,100.30150671049302,17.40071530941967,100.30817458434134,111.95326562427734,122.99185667669785,129.09987251130283,145.0683195349499,171.65052894975707
Age+,percentile_100_50,2025 training,4124,101.01969874717888,29.06692422496819,100.53346265761397,126.1639185257032,140.37342386032978,145.90203685742,149.19980601357906,150.0
Age+,percentile_100_50,2026 AB>=50 uncapped transform,1741,99.64975757268502,29.37533430848499,100.53346265761397,128.90397672162948,141.80407371483994,144.78661493695444,149.19980601357906,149.97575169738118
Age+,log_plus_50,2025 training,4124,99.86223428726633,4.217314343643041,100.00082944121337,102.32683022295801,104.80404733948394,106.6145895533561,109.7719831711782,117.10215688077197
Age+,log_plus_50,2026 AB>=50 uncapped transform,1741,99.89907929265642,4.181101365359564,100.07456508339756,102.78402769927976,105.22353590775137,106.52393724730514,109.7719831711782,114.75071862715227
Approach+,standard_z_15,2025 training,2127,100.0,15.000000000000002,96.68853097932757,106.74639103361744,118.7277303897272,127.67837759863573,153.89668887759996,223.9396152231012
Approach+,standard_z_15,2026 AB>=50 uncapped transform,1741,100.00816422759345,17.383320561869894,96.2023324350289,106.50506938619644,119.75611987766328,132.94508989429212,153.89668887759996,236.2552085315181
Approach+,robust_z_15,2025 training,2127,103.93861098742767,17.840772310597686,100.0,111.96266607736277,126.21308923925325,136.85885316502817,168.04251462478655,251.35050801799005
Approach+,robust_z_15,2026 AB>=50 uncapped transform,1741,103.9483213958001,20.67545760976345,99.42172283156155,111.67564177301234,127.43624008597857,143.12300082451023,168.04251462478655,265.99848775701577
Approach+,percentile_100_50,2025 training,2127,100.02863534616276,28.8764061090906,100.02350728725905,125.01175364362953,140.00470145745183,145.0023507287259,149.00047014574517,150.0
Approach+,percentile_100_50,2026 AB>=50 uncapped transform,1741,98.52781731664788,30.211976597629015,97.95486600846263,124.18899858956276,140.59708509637989,146.61495063469675,149.00047014574517,150.0
Approach+,log_plus_50,2025 training,2127,92.96181853556092,24.67013326614373,92.85308895523961,109.52082475666543,124.06833493286278,132.70669852406218,151.7899869864491,182.48794787588707
