Sample,Filter,Metric,Count,Mean,Std Dev,P50,P75,P90,P95,P99,Max,Max Player,Max Team,Max League,Max AB,Max Raw Metric+,Max wRC+
2025 vs 2025,All rows,Age+,5061,98.03573039241297,20.334664977315345,98.94251884162466,109.56147035034397,121.05515591742164,129.53162086576177,146.40412342758495,185.15572084427865,Anthony Huezo,HOU,Pacific Coast League,1,140.78210262462846,462.1429884406169
2025 vs 2025,AB >= 50,Age+,3579,100.78458950022903,17.020067624973123,101.75302821259076,109.9437407344825,121.05515591742164,129.53162086576177,145.0683195349499,185.15572084427865,Nelson Rada,LAA,Pacific Coast League,161,140.78210262462846,119.0039757291462
2025 vs 2025,All rows,Approach+,5061,104.0336615602135,26.96729681541832,99.99239555969545,111.0538231391977,130.71240869164725,146.92446749203225,201.0577246143785,518.2586848051151,Trent Farquhar,PHI,Florida State League,29,1285.7450062730852,102.38198980124102
2025 vs 2025,AB >= 50,Approach+,3579,103.58263625620913,19.412173711326485,100.15005336286224,111.31937823222822,126.13335612954259,138.2923036549317,171.44081452869298,372.9028215633376,Pablo Nunez,CIN,Dominican Summer League,104,869.0387317308838,168.75767368991535
2025 vs 2025,All rows,Speed+,5061,94.01503300472149,18.05474602854513,96.7482736745595,107.37085060514474,116.46188279120875,121.63142001799883,129.14008455490963,144.43143226336747,David Hamilton,BOS,International League,39,206.1000082119099,128.6636513603554
2025 vs 2025,AB >= 50,Speed+,3579,98.98350737008617,15.087421197396862,99.79980744057889,109.52203566398079,118.22300637749414,122.86090883608547,129.7855542871397,140.8337024634636,Enrique Bradfield Jr.,BAL,International League,56,197.54734711499347,32.65797028230364
2025 vs 2025,All rows,LD%+,5061,98.01755600124356,44.355491074306656,98.92870120874628,115.40073222493223,136.58662427862183,158.6012215167798,235.29746252244388,557.4030767637066,Justin Lugo,MIL,Dominican Summer League,4,538.08539536225,219.41137443288147
2025 vs 2025,AB >= 50,LD%+,3579,99.75398947912227,22.824534960372898,99.37038911687318,113.23354742877964,127.7930247564998,137.31743664071038,159.71739790883808,197.70749964315146,A.J. Ewing,NYM,Florida State League,65,193.2520146093454,204.08878499473656
2025 vs 2025,All rows,HR/FB+,5061,99.08575645001726,32.97803785576473,95.22500904030196,107.7850046373838,126.30163015702084,142.58576506493455,202.76177455064544,1216.4415830160524,Carlos Cauro,HOU,Carolina League,26,3986.1690120520066,178.66179242037157
2025 vs 2025,AB >= 50,HR/FB+,3579,98.13633944340052,19.652150619765642,95.35354062167717,109.14416062614194,124.00455710991776,133.69063756017462,158.187191919937,229.66983120741003,Jared Jones,PIT,South Atlantic League,50,541.2959000888061,100.73682620802676
2025 vs 2025,All rows,5 Tool RobustZ+,5061,98.63754748172177,13.800060513917892,98.7404019492854,105.51546372586586,112.39171052375661,118.0502478597241,138.10236248886895,321.346840908304,Carlos Cauro,HOU,Carolina League,26,,178.66179242037157
2025 vs 2025,AB >= 50,5 Tool RobustZ+,3579,100.24821240980943,8.7849493782623,99.92184655712697,105.64720080444656,111.32031090524809,114.9356335227419,122.22062750141136,150.77951297004748,Pablo Nunez,CIN,Dominican Summer League,104,,168.75767368991535
2025 vs 2025,All rows,Hitter RobustZ+,5061,100.37899133715813,20.796204761111007,99.72974014378353,108.59793772936992,119.35540560312033,129.49250433358125,171.3690749256738,478.4120314265485,Carlos Cauro,HOU,Carolina League,26,,178.66179242037157
2025 vs 2025,AB >= 50,Hitter RobustZ+,3579,100.49098839291064,11.994254884355621,99.87977138085488,107.64515883934854,115.19282512979878,120.3533536547789,132.6943616329036,183.5047376553987,Pablo Nunez,CIN,Dominican Summer League,104,,168.75767368991535
2026 vs 2025+2026,All rows,Age+,3478,98.11251672113514,18.353421106518685,99.47813404209727,107.86258204202481,119.18660468065968,125.07267798753077,139.91434650836806,171.65052894975707,Colt Emerson,SEA,Pacific Coast League,145,134.31456629664078,103.63263040862118
2026 vs 2025+2026,AB >= 50,Age+,1741,100.30150671049302,17.40071530941967,100.30817458434134,111.95326562427734,122.99185667669785,129.09987251130283,139.91434650836806,171.65052894975707,Colt Emerson,SEA,Pacific Coast League,145,134.31456629664078,103.63263040862118
2026 vs 2025+2026,All rows,Approach+,3478,102.89021859094285,29.87503091045547,98.91379692629963,109.90467823053402,131.36585134073337,150.68668771474395,216.8479335088436,613.2633692531899,Moises Polanco,MIL,Arizona Complex League,26,1558.1044917282006,208.4037640036746
