Sample,Metric,Rank,RobustZ+,Raw Metric+,Player Name,Team,League Name,AB,wRC+
2025 vs 2025,Age+,1,185.15572084427865,140.78210262462846,Anthony Huezo,HOU,Pacific Coast League,1,462.1429884406169
2025 vs 2025,Age+,2,185.15572084427865,140.78210262462846,Colt Emerson,SEA,Pacific Coast League,22,173.71781794571615
2025 vs 2025,Age+,3,185.15572084427865,140.78210262462846,Nelson Rada,LAA,Pacific Coast League,161,119.0039757291462
2025 vs 2025,Age+,4,170.4570070308581,133.74299749339704,Bryce Eldridge,SFG,Pacific Coast League,253,105.0206001322513
2025 vs 2025,Age+,5,170.4570070308581,133.74299749339704,Emil Turbi,SDP,Pacific Coast League,4,155.75504060381618
2025 vs 2025,Age+,6,170.4570070308581,133.74299749339704,Reylin Perez,HOU,Pacific Coast League,12,-17.676425669218087
2025 vs 2025,Age+,7,170.4570070308581,133.74299749339704,Javier Herrera,LAD,Pacific Coast League,0,-100.0
2025 vs 2025,Age+,8,168.1962102635436,132.66031867350296,Leo De Vries,OAK,Texas League,89,144.3051094264697
2025 vs 2025,Age+,9,165.40142786928135,131.32191809357164,Jesus Made,MIL,Southern League,23,85.33595496444299
2025 vs 2025,Age+,10,165.28414730924578,131.265753302392,Fernando Peguero,BAL,International League,74,38.21044669147811
2025 vs 2025,Approach+,1,518.2586848051151,1285.7450062730852,Trent Farquhar,PHI,Florida State League,29,102.38198980124102
2025 vs 2025,Approach+,2,510.3904289013125,1263.1882856035888,Noah Miller,LAD,Arizona Complex League,24,146.19500078575837
2025 vs 2025,Approach+,3,372.9028215633376,869.0387317308838,Pablo Nunez,CIN,Dominican Summer League,104,168.75767368991535
2025 vs 2025,Approach+,4,363.3277315060998,841.5888579028092,Josh Kasevich,TOR,Florida Complex League,14,171.87551232819928
2025 vs 2025,Approach+,5,354.6876024294153,816.8193307656738,Miguel Rivera,BOS,Dominican Summer League,43,111.00792788186853
2025 vs 2025,Approach+,6,344.3589940586787,787.2092701916742,Jose Devers,ATL,Florida Complex League,7,271.52742818977725
2025 vs 2025,Approach+,7,333.07424580189604,754.8581472279674,Robert Moore,PHI,International League,27,96.21633279740458
2025 vs 2025,Approach+,8,319.58831061681184,716.1966602788888,Yoiber Ruiz,BOS,Dominican Summer League,35,87.17606396195147
2025 vs 2025,Approach+,9,314.9380947753642,702.8654187596968,Will King,ATL,Florida Complex League,8,259.24629225432597
2025 vs 2025,Approach+,10,314.9380947753641,702.8654187596967,Yirer Garcia,TBR,Florida Complex League,23,224.0618892007645
2025 vs 2025,Speed+,1,144.43143226336747,206.1000082119099,David Hamilton,BOS,International League,39,128.6636513603554
2025 vs 2025,Speed+,2,142.25023253940287,200.91477667388403,Oneil Cruz,PIT,Eastern League,6,146.16362024753272
2025 vs 2025,Speed+,3,140.8337024634636,197.54734711499347,Enrique Bradfield Jr.,BAL,International League,56,32.65797028230364
2025 vs 2025,Speed+,4,140.63480877838396,197.07452942789297,Jesus Made,MIL,Southern League,23,85.33595496444299
2025 vs 2025,Speed+,5,139.46902598960568,194.3031859253028,Luis Valdez,BAL,Eastern League,127,22.373539562584977
2025 vs 2025,Speed+,6,139.37949324079938,194.0903452451505,Braiden Ward,COL,Pacific Coast League,133,127.86353745587869
2025 vs 2025,Speed+,7,138.91800938998415,192.9932881571424,Omar De Los Santos,NYM,Eastern League,118,82.3790320360827
2025 vs 2025,Speed+,8,138.2432823706695,191.3893012403692,John Rave,KCR,International League,235,129.52311121730955
2025 vs 2025,Speed+,9,137.35120385847102,189.2686180287287,Jordan Beck,COL,Pacific Coast League,35,-1.993299022361282
2025 vs 2025,Speed+,10,136.93766192058706,188.28553029262963,Bryce Teodosio,LAA,Pacific Coast League,53,107.7223171132794
2025 vs 2025,LD%+,1,557.4030767637066,538.08539536225,Justin Lugo,MIL,Dominican Summer League,4,219.41137443288147
2025 vs 2025,LD%+,2,534.5572835083461,516.1835632983336,Mike Boeve,MIL,Arizona Complex League,2,415.2307255203798
2025 vs 2025,LD%+,3,532.9626569818384,514.6548248562993,Brailer Guerrero,TBR,Florida Complex League,2,-99.82723975917798
2025 vs 2025,LD%+,4,474.4685332772184,458.5776092488293,Chandler Pollard,TEX,South Atlantic League,3,-100.0
2025 vs 2025,LD%+,5,474.4685332772184,458.5776092488293,Karson Simas,BOS,South Atlantic League,5,175.77358893065386
2025 vs 2025,LD%+,6,462.7972167514282,447.388537735513,Tyler Tolve,ATL,Southern League,6,-100.0
2025 vs 2025,LD%+,7,452.55663457676445,437.571084319944,Hayden Gilliland,TOR,Eastern League,5,154.36593467066612
2025 vs 2025,LD%+,8,439.60482962590413,425.1544326507452,Logan Dawson,PHI,Florida State League,3,153.34964458560688
2025 vs 2025,LD%+,9,417.1130743423666,403.5920101278522,Nik McClaughry,SEA,Pacific Coast League,2,167.50817088756264
2025 vs 2025,LD%+,10,417.1130743423666,403.5920101278522,Ryan Johnson,HOU,Pacific Coast League,4,-16.196141977288097
2025 vs 2025,HR/FB+,1,1216.4415830160524,3986.1690120520066,Carlos Cauro,HOU,Carolina League,26,178.66179242037157
2025 vs 2025,HR/FB+,2,445.0202346278394,1293.0957089440235,Nick Kurtz,OAK,California League,3,464.8421873427027
2025 vs 2025,HR/FB+,3,445.0202346278394,1293.0957089440235,Jose D. Hernandez,LAD,California League,10,384.409695484386
2025 vs 2025,HR/FB+,4,395.23645466980054,1119.2978629122513,Joendry Vargas,LAD,Arizona Complex League,11,101.76349132991304
2025 vs 2025,HR/FB+,5,385.6576932485273,1085.857893025017,Jace Bohrofen,TOR,Florida State League,6,246.5788867773874
2025 vs 2025,HR/FB+,6,385.6576932485273,1085.857893025017,Adonys Guzman,PIT,Florida State League,5,271.33468699009785
2025 vs 2025,HR/FB+,7,385.6576932485273,1085.857893025017,Won-Bin Cho,STL,Florida State League,16,139.386004692583
2025 vs 2025,HR/FB+,8,379.72790237506183,1065.1566750360291,Cole Turney,DET,Florida Complex League,9,73.76466806693415
2025 vs 2025,HR/FB+,9,379.72790237506183,1065.1566750360291,Roiber Niazoa,ATL,Florida Complex League,9,291.496243771512
2025 vs 2025,HR/FB+,10,379.72790237506183,1065.1566750360291,Julio Henriquez,MIA,Florida Complex League,14,266.97076473836165
2026 vs 2025+2026,Age+,1,171.65052894975707,134.31456629664078,Colt Emerson,SEA,Pacific Coast League,145,103.63263040862118
2026 vs 2025+2026,Age+,2,171.65052894975707,134.31456629664078,Nelson Rada,LAA,Pacific Coast League,189,80.65616760017153
2026 vs 2025+2026,Age+,3,168.9103638641737,133.00232154113434,August Cuneo,HOU,Texas League,2,-100.0
2026 vs 2025+2026,Age+,4,164.7876367016181,131.02797805142603,Konnor Griffin,PIT,International League,16,221.5287334174944
2026 vs 2025+2026,Age+,5,158.2948582652862,127.91863456822932,Reylin Perez,HOU,Pacific Coast League,14,-43.52782292776717
2026 vs 2025+2026,Age+,6,158.2948582652862,127.91863456822932,Bryce Eldridge,SFG,Pacific Coast League,114,155.6781557897743
2026 vs 2025+2026,Age+,7,154.2930523226839,126.00219935475884,Rainiel Rodriguez,STL,Texas League,64,49.32874610174681
2026 vs 2025+2026,Age+,8,154.2930523226839,126.00219935475884,Leo De Vries,OAK,Texas League,183,109.24627052667024
2026 vs 2025+2026,Age+,9,152.34942385813105,125.07141008491472,Jesus Made,MIL,Southern League,193,111.17540126568288
2026 vs 2025+2026,Age+,10,151.75877040991566,124.78855052516764,Luis Lara,MIL,International League,204,153.93517567762942
2026 vs 2025+2026,Approach+,1,613.2633692531899,1558.1044917282006,Moises Polanco,MIL,Arizona Complex League,26,208.4037640036746
2026 vs 2025+2026,Approach+,2,393.48386535619545,928.0404802248293,Logan Driscoll,TBR,Florida Complex League,9,278.2746518819007
2026 vs 2025+2026,Approach+,3,389.5360617519073,916.722914521746,Juan Alva,MIA,Florida Complex League,28,201.73287329142352
2026 vs 2025+2026,Approach+,4,350.90104338830304,805.9640210714829,Caden Bodine,TBR,South Atlantic League,46,99.92367569342656
2026 vs 2025+2026,Approach+,5,346.07505812310086,792.1288836645181,Davis Schneider,TOR,International League,18,189.91876035558988
2026 vs 2025+2026,Approach+,6,339.53054392768695,773.3670665060091,Cam Lee,BAL,Florida Complex League,25,86.48287171198822
2026 vs 2025+2026,Approach+,7,321.20705647200157,720.8372818520602,Heriberto Hernandez,MIA,International League,22,100.91877762267568
2026 vs 2025+2026,Approach+,8,305.437893935812,675.630237385089,Yohendry Sanchez,SFG,Arizona Complex League,34,180.43782895994275
2026 vs 2025+2026,Approach+,9,286.3154026665869,620.8098681268485,Bruin Agbayani,MIN,Florida State League,41,121.2335123576402
2026 vs 2025+2026,Approach+,10,285.12461142519015,617.3961070931119,Ronny Hernandez,BOS,South Atlantic League,33,193.30756560205208
2026 vs 2025+2026,Speed+,1,144.2770208451096,205.73293547345992,Duke Ellis,NYY,International League,94,82.17453937839227
2026 vs 2025+2026,Speed+,2,142.18934600718225,200.77003487713677,Jordyn Adams,MIL,International League,49,50.73620751316794
2026 vs 2025+2026,Speed+,3,141.82334715367818,199.89996838243667,Pedro Leon,PHI,International League,46,86.65391528902083
2026 vs 2025+2026,Speed+,4,141.2720613753621,198.58943071237235,Jacob Melton,TBR,International League,65,98.41854325990111
2026 vs 2025+2026,Speed+,5,140.54212596953684,196.85420030434375,Bryce Teodosio,LAA,Pacific Coast League,34,82.97880328118976
2026 vs 2025+2026,Speed+,6,139.96897161656062,195.49167582088788,Miguel Villarroel,STL,Texas League,16,123.41881467250327
2026 vs 2025+2026,Speed+,7,138.3818165030554,191.7186298866404,Brock Jones,TBR,International League,111,75.57611958892937
2026 vs 2025+2026,Speed+,8,137.74993151538257,190.21648868861627,Karson Simas,CHC,Southern League,144,107.58945623285672
2026 vs 2025+2026,Speed+,9,137.5317263404906,189.6977629881775,Jacob Burke,CHW,Southern League,124,109.48909168592084
2026 vs 2025+2026,Speed+,10,137.50390975627403,189.63163633862072,Lizandro Espinoza,ATL,Southern League,126,141.37639632110262
2026 vs 2025+2026,LD%+,1,548.2055373708022,529.2678874327593,Elisandro Ramirez,ATL,Dominican Summer League,5,-40.71672292870955
2026 vs 2025+2026,LD%+,2,548.2055373708022,529.2678874327593,Kevin Robledo,MIA,Dominican Summer League,2,399.710834535595
2026 vs 2025+2026,LD%+,3,548.2055373708022,529.2678874327593,Yadier Crespo,PIT,Dominican Summer League,3,137.96615047437416
2026 vs 2025+2026,LD%+,4,548.2055373708022,529.2678874327593,Jose Sabino,CIN,Dominican Summer League,4,10.151837987252952
2026 vs 2025+2026,LD%+,5,548.2055373708022,529.2678874327593,Jesus Guerrero,NYY,Dominican Summer League,3,53.78807347688067
2026 vs 2025+2026,LD%+,6,548.2055373708022,529.2678874327593,Renso Tenas,KCR,Dominican Summer League,2,247.5343614925828
2026 vs 2025+2026,LD%+,7,548.2055373708022,529.2678874327593,Ronald Rodriguez,MIA,Dominican Summer League,3,-100.0
2026 vs 2025+2026,LD%+,8,548.2055373708022,529.2678874327593,Carlos Martinez,MIA,Dominican Summer League,1,475.7285681896568
2026 vs 2025+2026,LD%+,9,548.2055373708022,529.2678874327593,Jefer Lista,MIL,Dominican Summer League,1,402.9570162661251
2026 vs 2025+2026,LD%+,10,548.2055373708022,529.2678874327593,Enyerberth Guevara,PIT,Dominican Summer League,3,284.62318416047356
2026 vs 2025+2026,HR/FB+,1,433.61776019645004,1253.28905912197,Junior Castillo,WSN,Dominican Summer League,3,212.20129911193817
2026 vs 2025+2026,HR/FB+,2,433.61776019645004,1253.28905912197,Frandy Guillen,BAL,Dominican Summer League,5,179.97899771331643
2026 vs 2025+2026,HR/FB+,3,433.61776019645004,1253.28905912197,Carlos Martinez,MIA,Dominican Summer League,1,475.7285681896568
2026 vs 2025+2026,HR/FB+,4,433.61776019645004,1253.28905912197,Ronny Munoz,MIA,Dominican Summer League,6,84.7969923540884
2026 vs 2025+2026,HR/FB+,5,433.61776019645004,1253.28905912197,Hector Paulino,CHW,Dominican Summer League,10,138.90390171043353
2026 vs 2025+2026,HR/FB+,6,433.61776019645004,1253.28905912197,Robert Alvarez,CLE,Dominican Summer League,7,123.42992976219416
2026 vs 2025+2026,HR/FB+,7,433.61776019645004,1253.28905912197,Angel Nunez,CIN,Dominican Summer League,8,243.2278438951868
2026 vs 2025+2026,HR/FB+,8,433.61776019645004,1253.28905912197,Leanders Matos,MIL,Dominican Summer League,4,312.80056443885246
2026 vs 2025+2026,HR/FB+,9,433.61776019645004,1253.28905912197,Edgardo Gutierrez,BOS,Dominican Summer League,5,79.0253548782506
2026 vs 2025+2026,HR/FB+,10,433.61776019645004,1253.28905912197,Emill Olivo,CHC,Dominican Summer League,3,246.50574028012443
