Player Name,Team,League Name,AB,wRC+,Age+ RobustZ+,Approach+ RobustZ+,Speed+ RobustZ+,LD%+ RobustZ+,HR/FB+ RobustZ+,5 Tool RobustZ+,Hitter RobustZ+
Emil Morales,LAD,California League,124,160.01222323758677,137.25423741395417,102.57598040486516,92.86600639715121,146.9544492145929,136.3513138093138,123.20039744797546,128.6272478095906
Hayden Alvarez,LAA,California League,62,156.12593645382117,137.25423741395417,163.1916664193048,99.1378041994701,83.79930444441182,74.61752994193085,111.60010848381435,107.20283360188249
Roldy Brito,COL,California League,136,155.65735892869822,137.25423741395417,107.19989030100174,104.96205564715237,120.41988336619389,92.25575374529625,112.41836409471969,106.62517580416396
Ethan Holliday,COL,California League,71,108.15341857165387,137.25423741395417,86.29893014172083,74.78533349544615,104.82029527864482,131.60256111865294,106.9522714896838,107.57392884633953
Chase Harlan,LAD,California League,104,103.224458083134,137.25423741395417,102.45971379738239,78.13304321810558,33.00468037591703,117.3563034170731,93.64159564448644,84.2735658634575
Wilder Dalis,COL,California League,116,100.51150623278652,137.25423741395417,111.55669726460275,91.1617449847452,88.94365757113245,108.29050275846552,107.44136799858002,102.93028586473356
Jhonny Level,SFG,California League,127,89.2527981289719,137.25423741395417,107.51782781039216,105.53054159622494,67.52903592140014,112.93505079702251,106.15333870779878,95.99397150960495
Ching-Hsien Ko,LAD,California League,114,88.36651374597396,137.25423741395417,112.1017331002226,102.30696519447118,123.60689623605145,74.61752994193085,109.97747237732605,103.44205309273497
Ty Harvey,SDP,California League,23,78.8876977295825,137.25423741395417,90.71179456902303,66.81375250211471,-3.873608232330639,74.61752994193085,73.10474123893843,53.81857209287441
Ivan Luciano,ARI,California League,14,76.09015592746803,137.25423741395417,69.76393751351449,77.36437442143789,168.22507279998518,74.61752994193085,105.44503041816452,104.20218008514352
Jorge Quintana,SDP,California League,83,69.68525108507838,137.25423741395417,92.00961770762974,95.0769864290393,89.0596796180532,101.07486583218031,102.89507740017135,94.04805438595442
Max Durrington,OAK,California League,173,67.02530436550325,137.25423741395417,111.2682108483345,91.61863594200935,89.65828357693928,94.1124087850182,104.78235531325109,98.34630107009734
Nick Becker,SEA,California League,24,66.01922157161836,137.25423741395417,93.08251683085018,107.37745655830156,69.88296898416469,74.61752994193085,96.44294194584029,79.19433858564857
Truitt Madonna,SDP,California League,54,55.147624936902574,137.25423741395417,82.96428108651136,84.32778486590827,79.39994688937546,74.61752994193085,91.71275603953603,78.99391930593923
Marlon Quintero,LAA,California League,62,50.00783382504848,137.25423741395417,88.1078865573329,102.95289017087633,79.10254126530063,74.61752994193085,96.40701706987899,80.6093192548548
Yimy Tovar,SDP,California League,22,169.86490738388966,124.303037790897,96.7323814031856,75.10036863759927,110.85884578921326,74.61752994193085,96.32243271256519,94.06958571144325
Slade Caldwell,ARI,California League,163,160.9928240915273,124.303037790897,105.15970214274354,111.98843883031077,140.6892839793776,120.91786802766941,120.61166615419965,122.25561804993019
Eduardo Quintero,LAD,California League,317,158.48549931996513,124.303037790897,114.08399671557723,118.60266217290729,117.74279286529115,131.60256111865294,121.2670101326651,121.14311689984044
Derek Bernard,COL,California League,252,133.32687979321443,124.303037790897,98.78833193514505,98.60388626038882,103.44635561107154,146.3083759743258,114.28999751436565,116.18102117351414
Kellon Lindsey,LAD,California League,118,122.078880378259,124.303037790897,95.0531009816529,104.12188866219387,102.21461987908674,106.82646051040786,106.50382156484768,101.36472712371584
JD Dix,ARI,California League,188,113.95307784163391,124.303037790897,114.49982676320505,112.68345616127336,109.55506765619076,82.49843827643753,108.70796532960074,102.18444423194444
Felnin Celesten,SEA,California League,383,108.21111458880698,124.303037790897,95.67045289729653,98.88655362465424,115.27163220434397,94.96932655264415,105.82020061396717,101.9704705514282
Carlos Virahonda,ARI,California League,129,107.56914699997986,124.303037790897,95.70753794168208,76.81679935103577,105.97661358235487,107.30012148828717,102.02082203085136,102.99475767077472
Yassel Soler,ARI,California League,342,106.9043501318948,124.303037790897,100.49817216939547,92.83212759802919,88.68942720370475,125.12698953713557,106.2899508598324,104.77152963674526
Robert Calaz,COL,California League,371,105.52864651350254,124.303037790897,91.28552630048847,95.36127068141963,75.25222170007532,115.32112353376016,100.30463600132812,93.95295717810798
Lisbel Diaz,SFG,California League,516,95.85705324567256,124.303037790897,92.97278230926331,108.41600360377423,97.58755408438311,99.98757795438848,104.65339114854123,96.8493047826783
Yerald Nin,ARI,California League,394,83.9220830203542,124.303037790897,101.26698096170936,110.57286817376901,106.50692499836805,79.13463574430277,104.35688953380922,95.63618056812673
Dylan Fien,OAK,California League,295,75.46369050615087,124.303037790897,96.66679694435037,79.41096814868149,98.92870120874628,89.43363812936718,97.74862844440845,95.00971209415461
Yeiker Reyes,COL,California League,329,74.94445633949975,124.303037790897,97.2264435857453,106.16773986232707,89.37810003999122,85.84185421410908,100.58343509861395,90.81546594661522
Joendry Vargas,LAD,California League,122,74.67760681411019,124.303037790897,86.06660103931557,113.4864715043399,76.99203714043531,118.1943184234708,103.80849317969171,93.75098553440723
Enyervert Perez,ARI,California League,105,72.52984901810652,124.303037790897,87.65646279376763,76.01523015021861,114.73494195071198,96.40592418270082,99.8231193736592,99.59910964239349
Raynerd Ortega,LAD,California League,87,70.54022427565076,124.303037790897,78.8704563808029,85.52500277021218,90.9562771290891,124.00455710991776,100.73186623618378,97.94376353993658
Kale Fountain,SDP,California League,123,69.43446148092903,124.303037790897,101.85849566958193,99.53853014644852,67.33963891335314,97.76769898480013,98.16148030101614,88.98861118924508
Jesus Superlano,OAK,California League,53,68.98819066569092,124.303037790897,84.49146127926144,98.10848884876751,75.55655188668712,74.61752994193085,91.41541394950879,78.22184770262648
Kayson Cunningham,ARI,California League,47,68.37233175681241,124.303037790897,82.57121876120709,72.40441404515326,74.35306477643255,74.61752994193085,85.64985306312416,77.18060449319016
Edwardo Espinal,LAA,California League,170,60.5263751250916,124.303037790897,85.97180518074062,94.0975496628908,83.71232766401661,74.61752994193085,92.54045004809517,81.4338875955627
Jesus Fernandez,OAK,California League,72,19.290606991910835,124.303037790897,91.61787878719849,77.61557840855252,64.96586407733648,74.61752994193085,86.62397780118307,77.06709093548861
Rayner Arias,SFG,California League,25,-42.41357273884433,124.303037790897,83.54780882474542,100.66265110599376,26.49674706173826,74.61752994193085,81.92555494506107,61.554028609471516
Jesus Freitez,COL,California League,7,-100.0,124.303037790897,69.76393751351449,58.79527990285019,168.22507279998518,103.26217721157413,104.86990104376419,113.75039584169127
Luke Stevenson,SEA,California League,75,154.08651241033022,112.64695813014552,138.52674587436184,99.30023959108482,129.98092145947058,95.19545777425759,115.13006456586409,121.23437503602999
Carlos Gutierrez,SFG,California League,248,150.46920568671956,112.64695813014552,136.54898527642655,122.29253375212751,127.73126522493064,90.721995040968,117.98834748491963,118.33408184744172
Jose Ortiz,SFG,California League,52,134.4861122071816,112.64695813014552,110.44779213867285,101.07565165041372,186.34072329909844,74.61752994193085,117.02573103205228,123.80201512656738
Victor Rodrigues,LAD,California League,240,133.28567979290693,112.64695813014552,171.93967389793744,100.68003999421093,107.32861634733104,81.60626002333902,114.84030967859277,120.2915167562025
Kevyn Castillo,LAA,California League,158,124.6505791325352,112.64695813014552,115.54159714461225,101.59784807709158,124.1336751545342,111.6578004105217,113.11557578338106,117.11102423655605
Nico Perez,LAD,California League,207,117.1478969202038,112.64695813014552,109.74081663584823,119.02414237399677,100.05611467845462,90.4919312538389,106.39199261445681,100.09628752271392
Jaron Elkins,LAD,California League,447,110.02552711723696,112.64695813014552,87.49458086022166,125.83269523313889,123.02743911594277,103.8598485769646,110.5723043832827,104.79395618437634
Samuel Munoz,LAD,California League,375,109.89798488047434,112.64695813014552,109.16499451895581,113.11992527558819,92.35361120299056,111.6578004105217,107.78865790764034,104.39213537748935
Roynier Hernandez,COL,California League,287,105.84224192363472,112.64695813014552,112.67474383036823,100.59155183134418,114.5839253579551,74.61752994193085,103.02294181834877,100.62539971008472
Eduardo Guerrero,LAD,California League,257,104.20153546062896,112.64695813014552,148.95233648168713,103.61661977195324,80.05629030000298,90.721995040968,107.19883994495137,106.57687394088605
Cobb Hightower,SDP,California League,159,99.53025955075834,112.64695813014552,130.7548891400541,107.70634090621301,96.0546582234943,84.36496936347453,106.30556315267629,103.72483890900764
Ruben Santana,ARI,California League,316,94.10279973790294,112.64695813014552,94.1501473120833,98.8131032133784,93.67541374719161,111.20051308420304,102.09722709740038,99.67535804782598
Kelvin Hidalgo,COL,California League,449,85.20278148597869,112.64695813014552,89.4723214523077,116.74820209482772,87.80512824760508,97.76769898480013,100.88806178193722,91.68171622823763
Mairoshendrick Martinus,LAD,California League,348,83.97101886357042,112.64695813014552,90.529220605928,104.55851473492797,106.15669609347903,98.01138470179677,102.38055485325546,98.23243380040127
Alberto Barriga,ARI,California League,341,83.4356536182169,112.64695813014552,95.40637373247115,101.1526485374921,108.26308895294903,91.64753916970461,101.82332170455248,98.43900061837492
Bryan Andrade,OAK,California League,129,82.57301516569906,112.64695813014552,119.5383654944646,81.50006973471503,123.86974255185498,86.9642866413269,104.90388451050141,110.12413156254883
Jose Alpuria,ARI,California League,246,81.81102654384182,112.64695813014552,92.88819529464334,113.88994112828283,100.01522971105695,98.77422796088928,103.6429104450036,97.22588432219652
John Wimmer,LAA,California League,321,80.3274180133086,112.64695813014552,82.29211530913872,107.07208689767315,104.96717892157255,91.9801567240828,99.79169919652256,93.07981698493136
Luis Rodriguez,LAA,California League,3,78.24282660938499,112.64695813014552,80.64594119058502,58.79527990285019,-3.873608232330639,103.26217721157413,70.29534964056485,60.01150338994284
Myles Naylor,OAK,California League,287,78.0973722406586,112.64695813014552,86.78627838889597,103.37857321266864,95.14207089086902,117.12275821492265,103.01532776750037,99.68370249822921
Jonathan Linares,LAA,California League,106,77.99172809577989,112.64695813014552,89.56561632716189,103.70348363269238,92.00994235563172,115.77338597698704,102.73987728452371,99.11631488659354
