Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Delino DeShields","WSN","AA",32,127,0.125984251,0.275590551,0.457142857,0.262135922,0.371900826,0.320388349,0.692289175,0.058252427,6.360949785004334,0.397058823,-0.2668345645070076,16.065364974363426,1.5516819234925303,0.3334882476113059,114.18722378213005,"11379"
"Jesse Winker","NYM","AA",31,8,0.25,0.125,2,0.333333333,0.5,0.833333333,1.333333333,0.5,1.60119047125,0.25,-0.03504855651408434,2.421905552952543,1.507657801716581,0.5678811520338058,269.0669772382552,"13590"
"Jeff McNeil","NYM","AA",33,9,0,0,0,0.666666666,0.666666666,1.444444444,2.11111111,0.777777778,2.64285714,0.571428571,-0.03504855651408434,5.2419774951969345,4.213448775056477,0.9398787154091729,514.1521890201101,"15362"
"Tyler O'Neill","BAL","AA",30,20,0.1,0.35,0.285714285,0.222222222,0.3,0.388888888,0.688888888,0.166666666,0.14285714,0.3,-0.05841426085680723,2.3224901225356125,0.03687074444570744,0.31969056725502015,94.36703565450395,"15711"
"Lane Thomas","CLE","AA",29,10,0.1,0.4,0.25,0,0.2,0,0.2,0,0.14285714,0,-0.023365704342722893,-0.13591582902525462,-1.278725518070207,0.14717207551002504,-8.296713463564771,"16939"
"Paul DeJong","WSN","AA",31,46,0.086956521,0.260869565,0.333333333,0.275,0.347826086,0.375,0.722826086,0.1,2.539556770177178,0.357142857,-0.36308041401207447,5.909905729810127,0.6529811602033461,0.3361179634280827,115.9197739957197,"18015"
"Yonny Hernandez","NYM","AA",27,56,0.053571428,0.071428571,0.75,0.173076923,0.218181818,0.173076923,0.391258741,0,3.9701553110031185,0.1875,-0.5392351932823658,1.069858472818198,-5.3298757858335355,0.19065703478726473,20.53832606721972,"19432"
"Keibert Ruiz","WSN","AA",26,11,0.272727272,0.545454545,0.5,0,0.272727272,0,0.272727272,0,2.64285714,0,-0.03504855651408434,0.2556254484895013,-1.0014652094599463,0.19615521214225076,23.707340588338266,"19610"
"Drew Ellis","SFG","AA",29,61,0.163934426,0.278688524,0.588235294,0.137254901,0.278688524,0.235294117,0.513982641,0.098039216,1.08035714,0.181818181,-0.16355993039906025,4.241950177627386,-2.7291889255468234,0.2577347989942207,62.19612560272516,"19873"
"Jazz Chisholm Jr.","NYY","AA",27,10,0.1,0.1,1,0.333333333,0.4,0.444444444,0.844444444,0.111111111,7.0619652460748235,0.375,0.1649514464661479,1.6856661750197066,0.5428564859747541,0.38943699598312376,151.61080864144841,"20454"
"Seth Beer","PHI","AA",28,120,0.091666666,0.225,0.407407407,0.19047619,0.283333333,0.314285714,0.597619047,0.123809524,2.1964285649999997,0.22368421,-0.31543700862675905,10.680139405130555,-3.033576863408874,0.283617336054643,72.46184793033747,"20493"
"Mark Kolozsvary","BOS","AA",29,83,0.108433734,0.301204819,0.36,0.191780821,0.289156626,0.424657534,0.71381416,0.232876713,3.2397054186734184,0.227272727,0.024757220409810543,10.132211258357776,0.6468908392846716,0.32760432470275697,104.69733091718619,"21304"
"Oneil Cruz","PIT","AA",26,8,0.25,0.25,1,0.166666666,0.375,0.5,0.875,0.333333334,10,0.25,0.17663429863750935,1.3533747932118478,0.4391270419758858,0.39024193584918976,146.16362024753272,"21711"
"Cal Mitchell","SFG","AA",26,156,0.089743589,0.294871794,0.304347826,0.169014084,0.243589743,0.267605633,0.511195376,0.098591549,2.7973153183834514,0.225806451,-1.748567508533597,9.215311255040382,-8.612519894060876,0.24381312804344374,53.02403414500352,"22169"
"Jeremiah Jackson","BAL","AA",25,189,0.047619047,0.164021164,0.29032258,0.254237288,0.291005291,0.412429378,0.703434669,0.15819209,2.5382999739016894,0.284722222,-1.2074612798169255,21.831255049038884,0.2321519260892825,0.3188723429800972,93.82796043077138,"22239"
"David Banuelos","BAL","AA",28,17,0.058823529,0.352941176,0.166666666,0.25,0.294117647,0.25,0.544117647,0,2.01785714,0.4,-0.05841426085680723,1.2117086573227416,-0.7310678140536773,0.2600447079714607,55.07022434805149,"23250"
"Ronny Mauricio","NYM","AA",24,18,0.055555555,0.388888888,0.142857142,0.117647058,0.166666666,0.235294117,0.401960783,0.117647059,1.60119047125,0.2,-0.011682852171361446,0.295876924288402,-1.7611805159925122,0.18710999356375801,18.201409283211355,"23698"
"Jordyn Adams","BAL","AA",25,5,0,0.4,0,0.2,0.2,0.2,0.4,0,2.64285714,0.333333333,-0.011682852171361446,0.07454206935341927,-0.4968627751690569,0.1850762128829956,5.678316161859125,"23788"
"Jose Rodriguez","PHI","AA",24,108,0.055555555,0.12037037,0.461538461,0.303030303,0.342592592,0.383838383,0.726430975,0.08080808,3.9963527539976544,0.333333333,-0.560729862190783,13.708030062220566,1.3656854205350786,0.3340565004834422,105.6929615536764,"24388"
"Terrin Vavra","BAL","AA",28,5,0.2,0,1,0.25,0.4,0.25,0.65,0,0.14285714,0.25,-0.023365704342722893,0.6153330955768301,0.04392825105435393,0.3289233684539795,100.44993312473119,"24400"
"Travis Swaggerty","NYM","AA",27,76,0.105263157,0.315789473,0.333333333,0.176470588,0.263157894,0.25,0.513157894,0.073529412,4.2214409847866845,0.272727272,-0.17476326320320368,4.732836578671238,-3.9525170580704003,0.24807123604573703,58.36484177619466,"24491"
"David Fry","CLE","AA",29,10,0,0.3,0,0.111111111,0.1,0.111111111,0.211111111,0,0.14285714,0.142857142,-0.011682852171361446,-0.546706853456004,-1.6895165425009564,0.0925381064414978,-44.29151342447752,"24934"
"Omar Martinez","NYY","AA",23,96,0.09375,0.270833333,0.346153846,0.211764705,0.28125,0.376470588,0.657720588,0.164705883,1.60119047125,0.258620689,-0.22197419125586748,9.79159724465935,-1.1793757701721936,0.30089981978138286,93.27937124416803,"25369"
"Cam Eden","NYY","AA",27,81,0.074074074,0.382716049,0.193548387,0.175675675,0.24691358,0.27027027,0.51718385,0.094594595,7.6785444926376325,0.285714285,-0.1854870766401291,4.904327349940545,-4.352431131323569,0.24577449206952695,56.96084675111487,"25476"
"CJ Abrams","WSN","AA",24,7,0.285714285,0.142857142,2,0,0.285714285,0,0.285714285,0,0.14285714,0,-0.023365704342722893,0.211833560513629,-0.5881332218178377,0.20549593652997697,29.86134168982345,"25768"
"C.J. Stubbs","WSN","AA",28,156,0.121794871,0.397435897,0.306451612,0.141791044,0.262820512,0.21641791,0.479238422,0.074626866,4.477339633985525,0.242857142,-0.39673745445907116,8.533102720604644,-9.294728428496613,0.23799699467997398,51.274193557857636,"25814"
"Jase Bowen","PIT","AA",24,196,0.086734693,0.321428571,0.269841269,0.257142857,0.328205128,0.417142857,0.745347985,0.16,6.594579200266109,0.37037037,1.2518650135025382,26.123900476476983,3.724830571195915,0.3425137819387974,114.71861667560866,"26047"
"Francisco Alvarez","NYM","AA",23,24,0.041666666,0.166666666,0.25,0.272727272,0.333333333,0.409090909,0.742424242,0.136363637,1.60119047125,0.294117647,-0.08177996519953012,3.242072932760528,0.49932967905264264,0.3449092780550321,122.16518449628846,"26121"
"Victor Bericoto","SFG","AA",23,393,0.109414758,0.234096692,0.467391304,0.26744186,0.351145038,0.433139534,0.784284572,0.165697674,3.6675961267314103,0.329218106,-1.2612685151398182,57.656870901170414,12.744450121703785,0.360367814548143,129.81440278875547,"26468"
"Spencer Horwitz","PIT","AA",27,18,0.111111111,0.111111111,1,0.125,0.222222222,0.1875,0.409722222,0.0625,2.64285714,0.142857142,-0.03504855651408434,0.5366679325851977,-1.5203895076957166,0.20490137073728773,24.054670823088557,"26477"
"Yohendrick Pinango","TOR","AA",23,192,0.140625,0.21875,0.642857142,0.298136645,0.40625,0.52173913,0.92798913,0.223602485,4.7410263176814675,0.357142857,0.31071173679083586,36.952658212841534,15.010712183178452,0.42121681788315374,168.71207051590252,"26664"
"Jesus Rodriguez","NYY","AA",23,30,0.066666666,0.2,0.333333333,0.107142857,0.166666666,0.107142857,0.273809523,0,3.3305782679014255,0.136363636,-0.25793474446982145,-0.5585385079211902,-3.986967575056047,0.14048715829849243,-12.406189583966515,"26991"
"Jhostynxon Garcia","BOS","AA",22,138,0.130434782,0.210144927,0.620689655,0.256410256,0.355072463,0.393162393,0.748234856,0.136752137,5.923653846590349,0.310344827,-0.06683456152677536,18.925508450492448,3.1547347416721037,0.3476423573666725,117.89909878514386,"28142"
"Felix Reyes","PHI","AA",24,395,0.04556962,0.154430379,0.295081967,0.335149863,0.364556962,0.572207084,0.936764046,0.237057221,6.749383783824921,0.362416107,0.7378195179626346,74.55633617723777,29.41535345996215,0.41628057700169235,159.86510457577552,"28763"
"Esmerlyn Valdez","PIT","AA",21,215,0.116279069,0.246511627,0.471698113,0.259668508,0.362790697,0.408839779,0.771630476,0.149171271,3.6152781965243084,0.328,-1.3467435091733932,31.229433455288994,6.659025140822519,0.3584308247233546,125.20532999275386,"29005"
"Welinton Herrera","COL","AA",21,0,0,0,0,0,0,0,0,0,0.14285714,0,0,0,0,0,-100,"29318"
"Jacob Young","WSN","AA",25,13,0.076923076,0.076923076,1,0.272727272,0.384615384,0.363636363,0.748251747,0.090909091,7.0619652460748235,0.3,0.15326859429478645,1.8787078117042337,0.3930552159457958,0.3574503797751207,129.97432782342017,"29931"
"Daylen Lile","WSN","AA",22,94,0.031914893,0.138297872,0.23076923,0.318681318,0.340425531,0.505494505,0.845920036,0.186813187,9.010028797957876,0.355263157,0.5434567835181952,15.216311852850591,4.4739007758280405,0.3805382213693984,145.18541817405705,"29995"
"Spencer Jones","NYY","AA",24,208,0.153846153,0.336538461,0.457142857,0.274285714,0.389423076,0.594285714,0.98370879,0.32,5.3935603670715935,0.359550561,0.535036482848227,42.908953090678494,19.138511558543485,0.43961200662530386,184.66788836480933,"31532"
"Masataka Yoshida","BOS","AA",31,11,0.09090909,0.09090909,1,0.333333333,0.363636363,0.333333333,0.696969696,0,1.08035714,0.333333333,-0.046731408685445786,1.261416372531207,0.004325714581759484,0.3177617246454412,98.21267629299126,"31837"
"Rafael Flores Jr.","NYY","AA",24,370,0.081081081,0.254054054,0.319148936,0.286567164,0.345945945,0.495522388,0.841468333,0.208955224,4.72553462209431,0.35371179,0.1602261746302247,59.789925054714345,17.50596656005111,0.38016414610115257,145.50152567592792,"31991"
"Nick Morabito","NYM","AA",22,492,0.095528455,0.233739837,0.408695652,0.272935779,0.348268839,0.3853211,0.733589939,0.112385321,6.93249522690044,0.355345911,3.816406898200512,65.06730694598184,8.841070244970194,0.34113781818790007,119.68041273629142,"32119"
"Kyle Karros","COL","AA",22,234,0.136752136,0.192307692,0.711111111,0.294416243,0.39914163,0.461928934,0.861070564,0.167512691,7.094027406137557,0.362416107,0.6055660732090473,40.10034761582552,13.358600892173634,0.39316408948980885,148.8835450097395,"33252"
"Charles McAdoo","TOR","AA",23,494,0.091093117,0.277327935,0.328467153,0.247191011,0.318458417,0.413483146,0.731941563,0.166292135,6.043508095075991,0.320819112,3.0476663298904896,63.73189257612699,7.277093937306341,0.33683045060349287,113.11533351424674,"33323"
"Bryce Eldridge","SFG","AA",20,140,0.092857142,0.278571428,0.333333333,0.28,0.35,0.512,0.862,0.232,1.0637790797689628,0.35,-0.7850546082481742,23.302875781512437,7.303540134883101,0.3866207784028362,147.11078814097988,"33390"
"Jim Jarvis","DET","AA",24,310,0.083870967,0.1,0.838709677,0.241877256,0.316129032,0.335740072,0.651869104,0.093862816,5.649384231851644,0.264227642,-1.3088648784905672,32.47377768590633,-2.953322674487197,0.30456829823336556,93.56271849304947,"33492"
"Kevin McGonigle","DET","AA",20,206,0.160194174,0.126213592,1.269230769,0.254437869,0.368932038,0.550295857,0.919227895,0.295857988,5.889516918527066,0.229629629,-0.00654926523566246,37.62253865018858,14.080659055862562,0.4081457691285217,161.80323641427307,"33572"
"A.J. Ewing","NYM","AA",20,132,0.053030303,0.219696969,0.24137931,0.338842975,0.371212121,0.429752066,0.800964187,0.090909091,8.44232819550962,0.431578947,1.1453278278931975,19.44858398189976,4.363496086506387,0.3612032514492064,132.90023309135017,"33656"
"CJ Kayfus","CLE","AA",23,80,0.1375,0.175,0.785714285,0.363636363,0.475,0.59090909,1.06590909,0.227272727,6.161060240048758,0.450980392,-0.3383231936022639,18.827815271296128,9.685337758936507,0.47825381234288217,209.831698057526,"33704"
"Travis Bazzana","CLE","AA",22,228,0.127192982,0.24122807,0.527272727,0.256410256,0.364035087,0.425641025,0.789676112,0.169230769,8.225073208927506,0.333333333,0.6644598534330726,34.43040170377879,8.374340793553873,0.3660879333813985,135.93283175706608,"34967"
"Carson Benge","NYM","AA",22,145,0.124137931,0.158620689,0.782608695,0.317460317,0.406896551,0.571428571,0.978325122,0.253968254,5.7805905410141385,0.336842105,-0.5014036046341062,29.81645836718825,13.245717876036439,0.4387311724325021,183.97838199316135,"35177"
"Konnor Griffin","PIT","AA",19,98,0.071428571,0.234693877,0.304347826,0.337349397,0.418367346,0.542168674,0.96053602,0.204819277,5.958042773259761,0.403508771,0.0037420708686113358,19.79965101850865,8.60011606586812,0.4339519362060391,174.96132149385423,"35376"
