Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Delino DeShields","WSN","AA",32,127,0.397058823,1.136363636,0.298507462,0.373134328,0.328358208,0.227272727,0,0.375,0.23611111,0.38888889,0.10663984,203,294,497,"11379"
"Jesse Winker","NYM","AA",31,8,0.25,0.333333333,0.2,0.2,0.6,0,0.333333333,0.75,0.25,0,0.03225806,17,14,31,"13590"
"Jeff McNeil","NYM","AA",33,9,0.571428571,0.75,0.222222222,0.333333333,0.444444444,0,0.5,0.88888889,0.11111111,0,0.14285714,3,11,14,"15362"
"Tyler O'Neill","BAL","AA",30,20,0.3,1,0.272727272,0.363636363,0.363636363,0.5,0.25,0.63636364,0.18181818,0.18181818,0.15,32,48,80,"15711"
"Lane Thomas","CLE","AA",29,10,0,3,0,0.75,0.25,0,0,0.75,0,0.25,0.17948718,17,22,39,"16939"
"Paul DeJong","WSN","AA",31,46,0.357142857,1,0.214285714,0.392857142,0.392857142,0.363636363,0.09090909,0.55172414,0.24137931,0.20689655,0.16763006,66,107,173,"18015"
"Yonny Hernandez","NYM","AA",27,56,0.1875,3,0.234042553,0.574468085,0.191489361,0,0,0.375,0.125,0.5,0.05945946,60,125,185,"19432"
"Keibert Ruiz","WSN","AA",26,11,0,1,0,0.5,0.5,0,0,1,0,0,0.19642857,21,35,56,"19610"
"Drew Ellis","SFG","AA",29,61,0.181818181,0.35,0.205882352,0.205882352,0.588235294,0.3,0.05,0.47058824,0.26470588,0.26470588,0.14522822,101,140,241,"19873"
"Jazz Chisholm Jr.","NYY","AA",27,10,0.375,2,0.25,0.5,0.25,0,0,0.75,0.125,0.125,0.11627907,17,26,43,"20454"
"Seth Beer","PHI","AA",28,120,0.22368421,0.390243902,0.278481012,0.202531645,0.518987341,0.243902439,0.073170731,0.37974684,0.34177215,0.27848101,0.13274336,183,269,452,"20493"
"Mark Kolozsvary","BOS","AA",29,83,0.227272727,0.904761904,0.130434782,0.413043478,0.456521739,0.238095238,0.19047619,0.47916667,0.33333333,0.1875,0.14696486,126,187,313,"21304"
"Oneil Cruz","PIT","AA",26,8,0.25,2,0.25,0.5,0.25,1,0,0.25,0.5,0.25,0.10344828,15,14,29,"21711"
"Cal Mitchell","SFG","AA",26,156,0.225806451,0.853658536,0.191489361,0.372340425,0.436170212,0.31707317,0.073170731,0.49462366,0.1827957,0.32258065,0.12882448,235,386,621,"22169"
