Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
Javier Báez,DET,A,33,2,4,6,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,.250,12979
Mike Tauchman,NYM,A,35,4,15,19,4,2,2,0,0,4,1,3,0,3,1,0,0,0,0,0,.267,15274
Gleyber Torres,DET,A,29,2,6,7,1,0,0,0,1,1,3,1,0,1,0,0,0,0,0,0,.167,16997
Nathan Lukes,TOR,A,31,4,9,13,3,2,0,0,1,1,3,3,0,1,0,1,0,0,0,0,.333,18123
Andy Ibáñez,NYM,A,33,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,18819
Zach McKinstry,DET,A,31,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,19392
Vladimir Guerrero Jr.,TOR,A,27,1,1,3,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1.000,19611
Jesús Sánchez,TOR,A,28,2,4,7,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,.000,19913
Jared Young,NYM,A,30,2,6,7,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.167,20404
Mark Kolozsvary,PHI,A,30,8,25,35,4,2,1,0,1,11,5,7,0,15,3,0,0,1,0,0,.160,21304
Lars Nootbaar,STL,A,28,2,3,4,2,1,0,0,1,2,1,1,0,1,0,0,0,0,0,0,.667,21454
Joey Bart,PIT,A,29,1,1,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.000,21524
Alejandro Kirk,TOR,A,27,3,9,11,2,1,0,0,1,2,1,2,0,2,0,0,0,1,0,0,.222,22581
Wenceel Pérez,DET,A,26,1,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.000,22857
Lenyn Sosa,TOR,A,26,6,16,18,2,0,2,0,0,0,1,1,0,6,1,0,0,0,0,0,.125,22896
Ronny Mauricio,NYM,A,25,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333,23698
Addison Barger,TOR,A,26,3,9,10,2,0,0,0,2,2,3,1,0,1,0,0,0,0,0,0,.222,24598
Jared Triolo,PIT,A,28,2,5,7,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,.000,25807
C.J. Stubbs,TOR,A,29,2,7,9,1,1,0,0,0,2,0,1,0,3,1,0,0,0,0,0,.143,25814
Dominic Fletcher,PIT,A,28,3,13,14,3,0,2,0,1,2,3,1,0,6,0,0,0,0,0,0,.231,26149
Spencer Horwitz,PIT,A,28,3,6,10,2,1,0,0,1,4,1,3,0,2,1,0,0,0,1,0,.333,26477
Robert Hassell III,PIT,A,24,3,11,12,2,2,0,0,0,3,0,1,0,2,0,0,0,0,0,1,.182,27482
Nick Yorke,PIT,A,24,6,16,22,5,5,0,0,0,3,2,5,0,4,0,1,0,0,2,1,.313,27504
Trei Cruz,DET,A,27,5,15,19,3,2,1,0,0,1,1,4,0,4,0,0,0,1,0,0,.200,27569
Pedro León,PHI,A,28,2,6,8,2,0,0,0,2,2,4,2,0,1,0,0,0,0,0,0,.333,27781
Jhostynxon Garcia,PIT,A,23,6,22,25,8,4,1,0,3,6,6,2,0,5,0,1,0,2,0,0,.364,28142
Tommy Pham,NYM,A,38,5,12,17,2,1,1,0,0,3,1,3,0,3,1,1,0,0,0,0,.167,2967
Hao-Yu Lee,DET,A,23,3,10,12,3,3,0,0,0,1,3,1,0,2,0,1,0,0,0,0,.300,30080
Jack Brannigan,PIT,A,25,5,15,19,1,1,0,0,0,0,0,4,0,14,0,0,0,0,1,0,.067,31471
Alan Roden,MIN,A,26,3,8,11,3,1,1,0,1,2,2,3,0,2,0,0,0,0,0,0,.375,31564
Rhylan Thomas,TOR,A,26,5,17,18,6,4,2,0,0,1,4,1,0,2,0,0,0,0,0,2,.353,31793
Gabriel Rincones Jr.,PHI,A,25,7,24,29,6,4,1,0,1,7,4,5,0,6,0,0,0,3,1,0,.250,31958
John Peck,DET,A,23,3,7,8,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,.000,33500
Walker Jenkins,MIN,A,21,1,5,5,4,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,.800,33571
Eddinson Paulino,NYM,A,23,7,25,29,6,5,0,1,0,3,2,3,0,2,1,0,0,1,2,1,.240,sa3009538
Sergio Tapia,DET,A,23,28,84,95,17,12,3,0,2,8,9,9,0,17,0,2,0,5,0,0,.202,sa3009763
Jamari Baylor,NYM,A,25,17,55,63,13,6,3,0,4,11,8,6,0,20,2,0,0,0,1,0,.236,sa3011446
