Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Diego Villegas","SFG","DSL",22,9,0.444444444,0.111111111,4,0.2,0.555555555,0.2,0.755555555,0,5.97219141249985,0.25,0.17016970831900835,2.275633494444265,0.6875305278972529,0.4844302071465386,146.32205876795985,"sa3015757"
"Alessandro Duran","SFG","DSL",20,4,0.25,0.25,1,0,0.25,0,0.25,0,0.14285714,0,-0.005966058932244778,-0.06453999126932519,-0.7703635319568862,0.21008922159671783,-6.210900078404387,"sa3018521"
"Dennys Riera","SFG","DSL",21,9,0,0.111111111,0,0.2,0.375,0.4,0.775,0.2,2.64285714,0.2,-0.011932117864489555,1.3498480910540807,-0.23825487549293167,0.37951621413230896,87.99011924104182,"sa3019675"
"Junior Suarez","KCR","DSL",21,0,0,0,0,0,0,0,0,0,0.14285714,0,0,0,0,0,-100,"sa3021031"
"Jose Marcano","CLE","DSL",20,3,0,0.333333333,0,0.666666666,0.666666666,0.666666666,1.333333332,0,7.5,1,0.18806788511574268,1.2915261594555592,0.7621585039398884,0.6656295458475748,238.23182199414282,"sa3021170"
"Pablo Arosemena","CLE","DSL",20,2,1,0,2,0,1,0,1,0,2.64285714,0,-0.011932117864489555,1.2036473443746107,0.8507355740308302,0.8403568863868713,335.37982264887984,"sa3021187"
"Carlos De Sousa","TBR","DSL",20,10,0.1,0.2,0.5,0.555555555,0.6,0.777777777,1.377777777,0.222222222,2.64285714,0.714285714,-0.02386423572897911,4.097457309226583,2.3328984575076803,0.6444529831409455,236.68564571664797,"sa3021240"
"Willian Berti","DET","DSL",20,7,0.571428571,0,4,0.333333333,0.714285714,1.333333333,2.047619047,1,2.64285714,0,-0.02386423572897911,3.5395080907082863,2.304316894505054,0.7422614438193185,290.7974369175828,"sa3021261"
"Keiberg Camacaro","SFG","DSL",19,9,0,0,0,0.333333333,0.333333333,0.444444444,0.777777777,0.111111111,2.982185273159145,0.333333333,-0.45766773633658886,1.23774377906274,-0.35035918748427236,0.3668120702107747,80.92664435383887,"sa3021267"
"Wagnel Luna","DET","DSL",20,6,0.333333333,0.333333333,1,0,0.333333333,0,0.333333333,0,0.14285714,0,-0.011932117864489555,0.31516245976576984,-0.7435728512655717,0.2801189621289571,33.84727688387142,"sa3021646"
"Adrian Hoyte","DET","DSL",20,6,0.333333333,0,2,0.5,0.666666666,0.75,1.416666666,0.25,2.64285714,0.5,-0.017898176796734333,2.573052317742307,1.5143170067109653,0.6639296809832255,247.2451564112815,"sa3022209"
"Richard Meran","NYY","DSL",20,8,0,0.25,0,0.285714285,0.375,0.285714285,0.660714285,0,5,0.4,-0.6636337982490659,1.0298649499560528,-0.3817821314190693,0.35784293711185455,67.70367537080625,"sa3022404"
"Franco Willias","SFG","DSL",21,9,0.111111111,0.222222222,0.5,0.375,0.444444444,0.625,1.069444444,0.25,9.561965246074823,0.5,0.1821018261834979,2.331688587079011,0.7435856205319987,0.49078261189990574,149.8539812434838,"sa3023714"
"Dawel Joseph","SEA","DSL",19,11,0,0.363636363,0,0.363636363,0.363636363,0.454545454,0.818181817,0.090909091,7.0619652460748235,0.571428571,0.1821018261834979,1.7724462482144145,-0.16856848867637844,0.3908866318789395,92.91535539825274,"sa3023719"
"Gregori Arias","MIA","DSL",19,7,0.142857142,0.428571428,0.333333333,0,0.142857142,0,0.142857142,0,2.64285714,0,-0.005966058932244778,-0.7309036547259561,-1.966094850929188,0.12005098376955305,-62.931640768935615,"sa3023734"
"Jaset Martinez","CIN","DSL",19,4,0.25,0,1,0.5,0.75,0.5,1.25,0,2.64285714,0.5,-0.017898176796734333,1.7633498164483141,1.057526275760753,0.6761640161275864,247.31429247286349,"sa3023735"
"Leandy Mella","DET","DSL",19,3,0,0.333333333,0,0,0,0,0,0,0.14285714,0,0,-0.6663636634566307,-1.1957313189723013,0,-100,"sa3023741"
"Franchely Silverio","HOU","DSL",19,7,0,0.142857142,0,0.571428571,0.571428571,0.571428571,1.142857142,0,0.14285714,0.666666666,-0.02386423572897911,2.360931097758908,1.1257399015556764,0.5705396107264927,190.3892684902373,"sa3023746"
"Iverson Allen","PIT","DSL",18,4,0,0,0,0.25,0.25,0.25,0.5,0,0.14285714,0.25,-0.005966058932244778,0.09046002684725407,-0.615363513840307,0.24961107969284058,14.458670730984819,"sa3023750"
"Jesus Lizardo","PIT","DSL",19,4,0.25,0,1,0.333333333,0.5,0.333333333,0.833333333,0,0.14285714,0.333333333,-0.011932117864489555,0.9144049201867697,0.20858137949920866,0.4597003012895584,131.26779616170668,"sa3023753"
"Frankeli Mesta","PIT","DSL",19,4,0.25,0,1,0,0.25,0,0.25,0,0.14285714,0,-0.005966058932244778,-0.06453999126932519,-0.7703635319568862,0.21008922159671783,-0.8170374261822168,"sa3023756"
"Omar Mejia","KCR","DSL",19,3,0,0,0,0.666666666,0.666666666,1,1.666666666,0.333333334,2.64285714,0.666666666,-0.005966058932244778,1.5915261945199064,1.0621585390042356,0.7676214377085367,301.92868178540294,"sa3023773"
"Amauri Ramirez","HOU","DSL",19,7,0.285714285,0,2,0.75,0.857142857,0.75,1.607142857,0,2.01785714,0.75,-0.035796353593468666,3.8788208692433885,2.643629673040157,0.7917002269199916,313.3540639278236,"sa3023778"
"Albert Jimenez","SFG","DSL",19,9,0.111111111,0.111111111,1,0.375,0.444444444,0.75,1.194444444,0.375,1.60119047125,0.333333333,-0.017898176796734333,2.5813207912975087,0.9932178247504966,0.5190720094574822,163.87631914948003,"sa3023780"
"Aaron Pinero","TBR","DSL",19,11,0.09090909,0.09090909,1,0.666666666,0.727272727,1.111111111,1.838383838,0.444444445,5.555524743749849,0.714285714,0.16420364938676357,6.222858014687265,4.281843277796472,0.8035283251242205,325.1311710674337,"sa3023783"
"Angel Brachi","MIA","DSL",19,9,0.333333333,0,3,0.666666666,0.777777777,0.666666666,1.444444443,0,6.462580293416769,0.666666666,0.35823759343475103,4.388523335473035,2.8004203689260225,0.723871992694007,272.79145550942894,"sa3023784"
"Esteban Romero","HOU","DSL",19,8,0.25,0.125,2,0.333333333,0.5,0.333333333,0.833333333,0,6.785714285714286,0.4,0.17613576725125313,1.8288098403735393,0.4171627589984173,0.4597003012895584,129.20947652799896,"sa3023787"
"Edgar Lugo","DET","DSL",21,3,0.666666666,0.333333333,2,0,0.666666666,0,0.666666666,0,7.5,0,0.18806788511574268,0.9815261232224004,0.4521584677067296,0.5602379242579142,172.6699774363661,"sa3023874"
"Danny Cancro","COL","DSL",19,8,0.125,0,1,0.166666666,0.375,0.333333333,0.708333333,0.166666667,7.5,0.166666666,0.18806788511574268,1.1748649669038205,-0.2367821144713015,0.3763289675116539,80.78676335445525,"sa3023903"
"Raily Liriano","ARI","DSL",19,7,0.142857142,0,1,0.333333333,0.428571428,0.833333333,1.261904761,0.5,2.64285714,0.2,-0.011932117864489555,2.0466183221458345,0.8114271259426026,0.5247433951922825,167.50918702210788,"sa3023911"
"J.T. Bain","TOR","DSL",18,12,0.166666666,0.166666666,1,0.142857142,0.5,0.142857142,0.642857142,0,4.5619652460748235,0.2,0.16420364938676357,2.508214733093237,0.390744111030554,0.43972688913345337,123.08305966188742,"sa3023913"
"Randy Soto","TOR","DSL",19,1,0,0,0,0,0,0,0,0,0.14285714,0,0,-0.22212122115221022,-0.3985771063241005,0,-100,"sa3023923"
"Samuel Estevez","MIA","DSL",19,0,0,0,0,0,0,0,0,0,0.14285714,0,0,0,0,0,-100,"sa3023924"
"Diego Gonzalez","CHC","DSL",19,6,0.333333333,0.166666666,2,0.25,0.5,0.5,1,0.25,2.64285714,0.333333333,-0.011932117864489555,1.594107406286212,0.5353720952548705,0.4975222945213318,151.33696534294575,"sa3023939"
"Juarlin Soto","TOR","DSL",19,7,0.142857142,0.142857142,1,0,0.142857142,0,0.142857142,0,0.14285714,0,-0.005966058932244778,-0.7309036547259561,-1.966094850929188,0.12005098376955305,-59.210767525012145,"sa3023947"
"Leider Padilla","LAD","DSL",19,7,0.285714285,0.285714285,1,0.2,0.428571428,0.2,0.628571428,0,1.60119047125,0.333333333,-0.017898176796734333,1.0719861500696546,-0.16320504613357723,0.3827368702207293,79.7128203023871,"sa3023958"
"Manni Ramirez","TEX","DSL",19,4,0,0,0,0.5,0.5,0.5,1,0,0.14285714,0.5,-0.011932117864489555,1.069404938303349,0.363581397615788,0.49922215938568115,150.72902830367548,"sa3023959"
"David Carrera","NYY","DSL",19,8,0,0.25,0,0.375,0.375,0.5,0.875,0.125,3.95833333125,0.5,-0.6576677393168211,1.4598650002149502,0.04821791883982828,0.4126635789871216,98.18382653864126,"sa3023966"
