Player Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Source Report,Source League ID,BB/K,Spd,wRC+,HR/FB%,IFFB%,LD%,FB%,League Name,League Level,FGPts_est,Fantasy Points Formula,FGPts_per_game,BB_K_ratio,Speed_score,HR_IFFB_ratio,2B_3B_pct
Chase Harlan,LAD,A,18,26,104,123,25,19,3,0,3,12,20,18,0,32,1,0,0,3,2,1,0.240384615,sa3067256,standard,8,0.5625,2.7463447920093995,103.224458083134,0.115384615,0.269230769,0.071428571,0.371428571,California League,A,197.5,fantrax_hitting_categories,7.596153846153846,0.5625,2.7463447920093995,0.4285714275102041,0.028846153846153848
Ching-Hsien Ko,LAD,A,18,32,114,138,25,20,3,2,0,18,4,23,0,32,1,0,0,3,1,0,0.219298245,sa3025230,standard,8,0.71875,6.000935632743106,88.36651374597396,0.0,0.038461538,0.24691358,0.320987654,California League,A,143.0,fantrax_hitting_categories,4.46875,0.71875,6.000935632743106,0.0,0.043859649122807015
Emil Morales,LAD,A,18,30,124,143,42,26,11,0,5,21,27,17,1,33,1,1,0,3,5,0,0.338709677,sa3023887,standard,8,0.515151515,4.729877586823102,160.01222323758677,0.166666666,0.233333333,0.292134831,0.337078651,California League,A,323.0,fantrax_hitting_categories,10.766666666666667,0.5151515151515151,4.729877586823102,0.7142857124489795,0.08870967741935484
Ethan Holliday,COL,A,18,18,71,84,17,11,4,0,2,14,6,12,1,33,1,0,0,0,0,0,0.239436619,sa3069100,standard,8,0.363636363,2.295634915,108.15341857165387,0.153846153,0.0,0.210526315,0.342105263,California League,A,103.5,fantrax_hitting_categories,5.75,0.36363636363636365,2.295634915,,0.056338028169014086
Hayden Alvarez,LAA,A,18,20,62,76,22,17,5,0,0,12,18,10,0,8,2,0,2,1,9,4,0.354838709,sa3023906,standard,8,1.25,5.574264182523932,156.12593645382117,0.0,0.153846153,0.16981132,0.245283018,California League,A,212.5,fantrax_hitting_categories,10.625,1.25,5.574264182523932,0.0,0.08064516129032258
Ivan Luciano,ARI,A,18,3,14,14,4,3,1,0,0,2,2,0,0,5,0,0,0,3,0,0,0.285714285,sa3067397,standard,8,0.0,2.64285714,76.09015592746803,0.0,0.0,0.333333333,0.222222222,California League,A,15.5,fantrax_hitting_categories,5.166666666666667,0.0,2.64285714,,0.07142857142857142
Jhonny Level,SFG,A,18,31,127,147,30,24,2,1,3,30,12,17,0,30,2,1,0,1,4,2,0.236220472,sa3023898,standard,8,0.566666666,6.434933154610279,89.2527981289719,0.103448275,0.206896551,0.138297872,0.308510638,California League,A,227.0,fantrax_hitting_categories,7.32258064516129,0.5666666666666667,6.434933154610279,0.4999999975833333,0.023622047244094488
Jorge Quintana,SDP,A,18,25,83,101,16,12,3,0,1,12,5,15,1,34,1,2,0,0,7,4,0.192771084,sa3024107,standard,8,0.44117647,5.027546925206146,69.68525108507838,0.071428571,0.214285714,0.18,0.28,California League,A,118.0,fantrax_hitting_categories,4.72,0.4411764705882353,5.027546925206146,0.3333333317777778,0.03614457831325301
Marlon Quintero,LAA,A,18,18,62,70,16,14,2,0,0,8,12,2,0,9,0,4,2,2,3,0,0.258064516,sa3023936,standard,8,0.222222222,6.087898001284904,50.00783382504848,0.0,0.166666666,0.160714285,0.321428571,California League,A,119.0,fantrax_hitting_categories,6.611111111111111,0.2222222222222222,6.087898001284904,0.0,0.03225806451612903
Max Durrington,OAK,A,18,49,173,197,39,33,4,0,2,21,15,19,0,33,2,1,2,3,6,1,0.225433526,sa3067341,standard,8,0.575757575,4.561941227043517,67.02530436550325,0.052631578,0.105263157,0.18115942,0.275362318,California League,A,252.5,fantrax_hitting_categories,5.153061224489796,0.5757575757575758,4.561941227043517,0.49999999524999994,0.023121387283236993
Nick Becker,SEA,A,18,6,24,28,5,5,0,0,0,5,2,4,0,9,0,0,0,1,2,0,0.208333333,sa3069151,standard,8,0.444444444,6.683587573411891,66.01922157161836,0.0,0.166666666,0.142857142,0.428571428,California League,A,38.5,fantrax_hitting_categories,6.416666666666667,0.4444444444444444,6.683587573411891,0.0,0.0
Roldy Brito,COL,A,18,33,136,156,51,42,7,1,1,26,17,14,0,27,3,1,2,2,13,7,0.375,sa3023917,standard,8,0.518518518,6.358396580828572,155.65735892869822,0.047619047,0.142857142,0.24074074,0.194444444,California League,A,324.0,fantrax_hitting_categories,9.818181818181818,0.5185185185185185,6.358396580828572,0.333333331,0.058823529411764705
Truitt Madonna,SDP,A,18,14,54,60,10,6,3,1,0,4,5,6,0,23,0,0,0,1,0,0,0.185185185,sa3069152,standard,8,0.260869565,3.58035714,55.147624936902574,0.0,0.285714285,0.161290322,0.225806451,California League,A,49.0,fantrax_hitting_categories,3.5,0.2608695652173913,3.58035714,0.0,0.07407407407407407
Ty Harvey,SDP,A,18,7,23,30,4,4,0,0,0,3,1,7,0,12,0,0,0,0,0,0,0.173913043,sa3069181,standard,8,0.583333333,1.22240259,78.8876977295825,0.0,0.0,0.0,0.2,California League,A,22.0,fantrax_hitting_categories,3.142857142857143,0.5833333333333334,1.22240259,,0.0
Wilder Dalis,COL,A,18,31,116,137,28,18,7,0,3,17,22,16,0,26,1,2,2,0,6,3,0.24137931,sa3022347,standard,8,0.615384615,4.5004289442546614,100.51150623278652,0.09090909,0.151515151,0.17977528,0.370786516,California League,A,254.0,fantrax_hitting_categories,8.193548387096774,0.6153846153846154,4.5004289442546614,0.59999999604,0.0603448275862069
