Player Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Source Report,Source League ID,Level_advanced,PA_advanced,BB%,K%,BB/K,AVG_advanced,OBP_advanced,SLG,OPS_advanced,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,Source Report_advanced,Level_batted,PA_batted,BABIP_batted,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB%,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,Source Report_batted,League Name,League Level,FGPts_est,Fantasy Points Formula,FGPts_per_game,AB_per_game,BA,OBP,SLP,OPS,BB_K_ratio,BB_pct,K_pct,Approach_score,Speed_score,HR_FB_pct,Estimated BIP,Estimated FB,Team League Max G,Player Team Game Share
Luis Hernández,SFG,A,17,20,91,98,21,17,2,0,2,16,9,6,0,29,0,1,0,1,0,0,0.231,sa3076284,standard,8,A,98,0.061,0.29600000000000004,0.21,0.231,0.276,0.319,0.594,0.088,2.6,0.311,-0.2,7,-7.6,0.274,48,advanced,A,98,0.311,4.56,0.18,0.672,0.14800000000000002,0.0,0.222,0.46799999999999997,0.226,0.306,0.124,134.0,237.0,371.0,batted,California League,A,116.5,fantrax_hitting_categories,5.825,4.55,0.23076923076923078,0.2755102040816326,0.31868131868131866,0.5941915227629513,0.20689655172413793,0.061,0.29600000000000004,0.1330344827586207,2.6,0.222,61.0,9.028,119,0.16806722689075632
Ashly Andujar,COL,A,18,80,327,361,79,62,10,4,3,47,33,26,0,72,3,3,2,6,6,4,0.242,sa3023890,standard,8,A,361,0.07200000000000001,0.19899999999999998,0.36,0.242,0.301,0.324,0.625,0.083,6.0,0.298,-1.7,34,-21.7,0.293,63,advanced,A,361,0.298,2.87,0.183,0.606,0.21100000000000002,0.34,0.057,0.386,0.228,0.386,0.114,438.0,840.0,1278.0,batted,California League,A,472.0,fantrax_hitting_categories,5.9,4.0875,0.2415902140672783,0.3008356545961003,0.3241590214067278,0.6249946760028281,0.3611111111111111,0.07200000000000001,0.19899999999999998,0.26325,6.0,0.057,255.0,53.80500000000001,96,0.8333333333333334
Breyson Guedez,OAK,A,18,91,385,414,119,80,26,7,6,57,64,24,2,106,3,2,0,9,1,1,0.309,sa3067688,standard,8,A,414,0.057999999999999996,0.256,0.23,0.309,0.353,0.46,0.812,0.151,4.9,0.411,-1.2,65,1.5,0.363,99,advanced,A,414,0.411,2.47,0.313,0.489,0.198,0.091,0.109,0.413,0.24600000000000002,0.342,0.14800000000000002,438.0,1022.0,1460.0,batted,California League,A,703.0,fantrax_hitting_categories,7.725274725274725,4.230769230769231,0.3090909090909091,0.3526570048309179,0.4597402597402597,0.8123972645711777,0.22641509433962265,0.057999999999999996,0.256,0.15532075471698112,4.9,0.109,275.0,54.45,113,0.8053097345132744
Elliot Lascelles,SDP,A,18,15,56,64,18,13,4,1,0,11,5,7,0,10,1,0,0,0,6,0,0.321,sa3078041,standard,8,A,64,0.109,0.156,0.7,0.321,0.406,0.429,0.835,0.107,8.8,0.391,1.0,12,1.8,0.39,119,advanced,A,64,0.391,4.33,0.23800000000000002,0.619,0.14300000000000002,0.0,0.0,0.444,0.111,0.444,0.054000000000000006,95.0,145.0,240.0,batted,California League,A,131.5,fantrax_hitting_categories,8.766666666666667,3.7333333333333334,0.32142857142857145,0.40625,0.42857142857142855,0.8348214285714286,0.7,0.109,0.156,0.5145,8.8,0.0,46.0,6.578000000000001,105,0.14285714285714285
Gabriel Davalillo,LAA,A,18,109,392,459,96,62,21,0,13,47,60,51,1,125,7,9,0,14,1,0,0.245,sa3068659,standard,8,A,459,0.111,0.272,0.41,0.245,0.336,0.398,0.733,0.153,1.9,0.316,-0.7,60,-10.1,0.335,84,advanced,A,459,0.316,0.99,0.243,0.377,0.381,0.225,0.127,0.457,0.239,0.304,0.151,681.0,1113.0,1794.0,batted,California League,A,652.0,fantrax_hitting_categories,5.981651376146789,3.596330275229358,0.24489795918367346,0.3355119825708061,0.3979591836734694,0.7334711662442754,0.408,0.111,0.272,0.25173599999999996,1.9,0.127,263.0,100.203,113,0.9646017699115044
Jose Verdugo,SDP,A,18,105,376,429,104,84,12,4,4,57,54,32,0,71,4,8,9,6,37,7,0.277,sa3067649,standard,8,A,429,0.075,0.166,0.45,0.277,0.333,0.362,0.695,0.085,7.8,0.324,2.7,52,-14.1,0.323,79,advanced,A,429,0.324,1.15,0.233,0.41,0.35700000000000004,0.299,0.037000000000000005,0.439,0.237,0.324,0.098,527.0,1010.0,1537.0,batted,California League,A,824.0,fantrax_hitting_categories,7.847619047619047,3.580952380952381,0.2765957446808511,0.3333333333333333,0.3617021276595745,0.6950354609929078,0.4507042253521127,0.075,0.166,0.3420845070422535,7.8,0.037000000000000005,309.0,110.31300000000002,105,1.0
Josuar Gonzalez,SFG,A,18,31,129,153,46,31,6,6,3,32,35,21,0,30,1,2,0,2,13,4,0.357,sa3067675,standard,8,A,153,0.13699999999999998,0.196,0.7,0.357,0.444,0.566,1.01,0.209,8.4,0.439,0.0,36,12.5,0.449,151,advanced,A,153,0.439,2.31,0.131,0.606,0.263,0.154,0.115,0.382,0.255,0.363,0.092,238.0,341.0,579.0,batted,California League,A,433.5,fantrax_hitting_categories,13.983870967741936,4.161290322580645,0.35658914728682173,0.4444444444444444,0.5658914728682171,1.0103359173126614,0.7,0.13699999999999998,0.196,0.4669,8.4,0.115,98.0,25.774,119,0.2605042016806723
Sebastian Blanco,COL,A,18,24,79,96,18,13,4,0,1,8,9,11,0,30,2,1,3,3,2,1,0.228,sa3067801,standard,8,A,96,0.115,0.313,0.37,0.228,0.333,0.316,0.65,0.089,3.2,0.347,-0.3,11,-3.9,0.314,75,advanced,A,96,0.347,2.23,0.16,0.58,0.26,0.154,0.077,0.314,0.353,0.33299999999999996,0.128,161.0,214.0,375.0,batted,California League,A,113.5,fantrax_hitting_categories,4.729166666666667,3.2916666666666665,0.22784810126582278,0.3333333333333333,0.31645569620253167,0.649789029535865,0.36666666666666664,0.115,0.313,0.20973333333333335,3.2,0.077,49.0,12.74,96,0.25
Victor Santana,ARI,A,18,30,109,122,28,24,4,0,0,9,15,9,0,20,0,3,0,8,0,0,0.257,sa3067736,standard,8,A,122,0.07400000000000001,0.16399999999999998,0.45,0.257,0.306,0.294,0.599,0.037,1.0,0.304,-0.3,10,-8.2,0.285,57,advanced,A,122,0.304,1.96,0.163,0.5539999999999999,0.28300000000000003,0.038,0.0,0.315,0.185,0.5,0.105,144.0,276.0,420.0,batted,California League,A,144.0,fantrax_hitting_categories,4.8,3.6333333333333333,0.25688073394495414,0.30578512396694213,0.29357798165137616,0.5993631056183183,0.45,0.07400000000000001,0.16399999999999998,0.34290000000000004,1.0,0.0,92.0,26.036,107,0.2803738317757009
Yorger Bautista,SEA,A,18,21,92,98,21,16,4,0,1,8,11,4,0,31,1,1,0,3,3,1,0.228,sa3067684,standard,8,A,98,0.040999999999999995,0.316,0.13,0.228,0.265,0.304,0.57,0.076,4.2,0.328,-0.1,7,-8.5,0.264,44,advanced,A,98,0.328,0.92,0.258,0.355,0.387,0.41700000000000004,0.042,0.419,0.21,0.371,0.23600000000000002,86.0,219.0,305.0,batted,California League,A,112.0,fantrax_hitting_categories,5.333333333333333,4.380952380952381,0.22826086956521738,0.2653061224489796,0.30434782608695654,0.5696539485359362,0.12903225806451613,0.040999999999999995,0.316,0.08296774193548387,4.2,0.042,61.0,23.607,109,0.1926605504587156
Adriel Radney,ARI,A,19,31,99,117,21,20,1,0,0,11,8,14,0,28,3,0,1,1,0,1,0.212,sa3023886,standard,8,A,117,0.12,0.239,0.5,0.212,0.328,0.222,0.55,0.01,2.0,0.296,-0.8,10,-7.8,0.286,58,advanced,A,117,0.296,2.06,0.257,0.5,0.243,0.11800000000000001,0.0,0.41700000000000004,0.19399999999999998,0.389,0.11199999999999999,192.0,297.0,489.0,batted,California League,A,110.0,fantrax_hitting_categories,3.5483870967741935,3.193548387096774,0.21212121212121213,0.3275862068965517,0.2222222222222222,0.5498084291187739,0.5,0.12,0.239,0.3205,2.0,0.0,71.0,17.253,107,0.2897196261682243
Aidan West,LAD,A,19,14,55,58,16,13,2,0,1,4,8,3,0,19,0,0,0,0,1,1,0.291,sa3069275,standard,8,A,58,0.052000000000000005,0.32799999999999996,0.16,0.291,0.328,0.382,0.709,0.091,2.1,0.429,-0.5,7,-1.7,0.326,81,advanced,A,58,0.429,1.8,0.2,0.514,0.28600000000000003,0.3,0.1,0.47200000000000003,0.222,0.306,0.172,77.0,155.0,232.0,batted,California League,A,78.5,fantrax_hitting_categories,5.607142857142857,3.9285714285714284,0.2909090909090909,0.3275862068965517,0.38181818181818183,0.7094043887147335,0.15789473684210525,0.052000000000000005,0.32799999999999996,0.09789473684210526,2.1,0.1,35.0,10.010000000000002,120,0.11666666666666667
Angel Arredondo,LAA,A,19,24,92,107,26,18,7,0,1,17,11,15,0,20,0,0,0,3,2,0,0.283,sa3023647,standard,8,A,107,0.14,0.187,0.75,0.283,0.383,0.391,0.774,0.109,4.7,0.352,0.1,17,0.7,0.366,103,advanced,A,107,0.352,0.83,0.23600000000000002,0.34700000000000003,0.41700000000000004,0.133,0.033,0.361,0.278,0.361,0.09699999999999999,168.0,263.0,431.0,batted,California League,A,176.0,fantrax_hitting_categories,7.333333333333333,3.8333333333333335,0.2826086956521739,0.38317757009345793,0.391304347826087,0.7744819179195449,0.75,0.14,0.187,0.50475,4.7,0.033,71.0,29.607000000000003,113,0.21238938053097345
Carlos Renzullo,COL,A,19,83,301,354,83,68,11,2,2,49,45,43,0,46,4,3,3,5,10,7,0.276,sa3024879,standard,8,A,354,0.121,0.13,0.93,0.276,0.37,0.346,0.716,0.07,4.9,0.316,-2.7,50,-4.8,0.344,93,advanced,A,354,0.316,2.14,0.22,0.531,0.248,0.254,0.032,0.368,0.276,0.35600000000000004,0.052000000000000005,493.0,778.0,1271.0,batted,California League,A,601.0,fantrax_hitting_categories,7.240963855421687,3.6265060240963853,0.2757475083056478,0.37037037037037035,0.34551495016611294,0.7158853205364832,0.9347826086956522,0.121,0.13,0.7001521739130435,4.9,0.032,256.0,63.488,96,0.8645833333333334
Chase Harlan,LAD,A,19,57,219,266,72,42,17,3,10,44,46,38,0,51,6,2,0,6,0,0,0.329,sa3067256,standard,8,A,266,0.14300000000000002,0.192,0.75,0.329,0.438,0.571,1.009,0.242,3.9,0.388,-0.7,62,21.4,0.447,153,advanced,A,266,0.388,1.16,0.21,0.425,0.365,0.14800000000000002,0.16399999999999998,0.441,0.22399999999999998,0.335,0.105,433.0,571.0,1004.0,batted,California League,A,568.0,fantrax_hitting_categories,9.964912280701755,3.8421052631578947,0.3287671232876712,0.4377358490566038,0.5707762557077626,1.0085121047643664,0.7450980392156863,0.14300000000000002,0.192,0.4954901960784314,3.9,0.16399999999999998,160.0,58.4,120,0.475
Ching-Hsien Ko,LAD,A,19,114,430,531,112,69,17,5,21,94,85,89,2,128,7,5,0,9,1,1,0.26,sa3025230,standard,8,A,531,0.168,0.24100000000000002,0.7,0.26,0.392,0.47,0.861,0.209,4.5,0.318,-1.6,96,14.9,0.39,118,advanced,A,531,0.318,1.1,0.28,0.377,0.34299999999999997,0.107,0.204,0.35100000000000003,0.28600000000000003,0.364,0.128,876.0,1278.0,2154.0,batted,California League,A,1017.5,fantrax_hitting_categories,8.925438596491228,3.7719298245614037,0.26046511627906976,0.391713747645951,0.4697674418604651,0.8614811895064161,0.6953125,0.168,0.24100000000000002,0.4109296875,4.5,0.204,286.0,98.09799999999998,120,0.95
Cristian Arguelles,COL,A,19,35,142,162,35,23,9,1,2,19,22,16,0,19,2,2,0,6,5,2,0.246,sa3023968,standard,8,A,162,0.099,0.11699999999999999,0.84,0.246,0.327,0.366,0.693,0.12,5.6,0.268,-0.4,19,-5.4,0.322,80,advanced,A,162,0.268,2.13,0.198,0.545,0.256,0.19399999999999998,0.065,0.488,0.128,0.384,0.055,227.0,358.0,585.0,batted,California League,A,271.5,fantrax_hitting_categories,7.757142857142857,4.057142857142857,0.24647887323943662,0.3271604938271605,0.36619718309859156,0.6933576769257521,0.8421052631578947,0.099,0.11699999999999999,0.6602105263157895,5.6,0.065,123.0,31.488,96,0.3645833333333333
Edgar Montero,OAK,A,19,104,365,449,84,55,16,1,12,70,53,73,1,160,7,4,0,6,11,1,0.23,sa3024109,standard,8,A,449,0.163,0.35600000000000004,0.46,0.23,0.365,0.378,0.743,0.148,5.6,0.365,0.6,65,-3.5,0.35,91,advanced,A,449,0.365,1.66,0.21100000000000002,0.493,0.297,0.113,0.19399999999999998,0.428,0.27399999999999997,0.298,0.151,775.0,1060.0,1835.0,batted,California League,A,695.5,fantrax_hitting_categories,6.6875,3.5096153846153846,0.23013698630136986,0.36525612472160357,0.3780821917808219,0.7433383165024254,0.45625,0.163,0.35600000000000004,0.21945624999999996,5.6,0.19399999999999998,197.0,58.509,113,0.9203539823008849
Eduardo Rojas,LAD,A,19,1,4,4,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0.25,sa3024143,standard,8,A,4,0.0,0.25,0.0,0.25,0.25,0.25,0.5,0.0,2.6,0.333,0.0,0,-0.5,0.234,26,advanced,A,4,0.333,1.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,1.0,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.125,1.0,7.0,8.0,batted,California League,A,11.5,fantrax_hitting_categories,11.5,4.0,0.25,0.25,0.25,0.5,0.0,0.0,0.25,0.0,2.6,0.0,3.0,0.9989999999999999,120,0.008333333333333333
Emil Morales,LAD,A,19,36,158,179,51,27,15,3,6,29,35,15,0,47,3,3,0,2,2,1,0.323,sa3023887,standard,8,A,179,0.084,0.263,0.32,0.323,0.385,0.57,0.955,0.247,6.1,0.417,-0.5,37,9.1,0.415,133,advanced,A,179,0.417,0.91,0.27399999999999997,0.345,0.381,0.07,0.14,0.509,0.24600000000000002,0.24600000000000002,0.142,242.0,427.0,669.0,batted,California League,A,383.5,fantrax_hitting_categories,10.652777777777779,4.388888888888889,0.3227848101265823,0.3854748603351955,0.569620253164557,0.9550951134997525,0.3191489361702128,0.084,0.263,0.20840425531914897,6.1,0.14,108.0,41.148,120,0.3
Ethan Holliday,COL,A,19,33,122,152,32,16,5,2,9,29,32,23,0,43,5,2,0,1,1,1,0.262,sa3069100,standard,8,A,152,0.151,0.28300000000000003,0.53,0.262,0.395,0.557,0.952,0.295,5.7,0.319,-0.7,31,7.8,0.416,136,advanced,A,152,0.319,1.33,0.213,0.45,0.33799999999999997,0.07400000000000001,0.33299999999999996,0.46299999999999997,0.256,0.28,0.115,258.0,375.0,633.0,batted,California League,A,340.0,fantrax_hitting_categories,10.303030303030303,3.696969696969697,0.26229508196721313,0.39473684210526316,0.5573770491803278,0.952113891285591,0.5348837209302325,0.151,0.28300000000000003,0.3027441860465116,5.7,0.33299999999999996,72.0,24.336,96,0.34375
Francisco Espinoza,LAD,A,19,32,115,133,34,30,4,0,0,18,11,15,0,26,2,1,0,3,0,1,0.296,sa3024357,standard,8,A,133,0.113,0.195,0.58,0.296,0.383,0.33,0.714,0.035,2.2,0.378,-0.9,19,-1.3,0.348,94,advanced,A,133,0.378,2.8,0.136,0.636,0.22699999999999998,0.4,0.0,0.467,0.267,0.267,0.11599999999999999,202.0,297.0,499.0,batted,California League,A,172.0,fantrax_hitting_categories,5.375,3.59375,0.2956521739130435,0.38345864661654133,0.33043478260869563,0.713893429225237,0.5769230769230769,0.113,0.195,0.39923076923076917,2.2,0.0,90.0,20.43,120,0.26666666666666666
Hayden Alvarez,LAA,A,19,96,378,446,112,70,26,5,11,93,54,60,0,90,4,3,1,3,46,10,0.296,sa3023906,standard,8,A,446,0.135,0.20199999999999999,0.67,0.296,0.396,0.479,0.874,0.183,8.8,0.361,2.8,84,15.3,0.397,121,advanced,A,446,0.361,1.15,0.2,0.428,0.37200000000000005,0.28300000000000003,0.10400000000000001,0.488,0.237,0.275,0.096,702.0,1084.0,1786.0,batted,California League,A,1042.0,fantrax_hitting_categories,10.854166666666666,3.9375,0.2962962962962963,0.3955056179775281,0.47883597883597884,0.8743415968135069,0.6666666666666666,0.135,0.20199999999999999,0.442,8.8,0.10400000000000001,280.0,104.16000000000001,113,0.8495575221238938
