Source League ID,League Name,League Level,Players,Total G,Total IP,Total TBF,Average Age,FGPts_per_game,K_BB_pct,Weak_Contact,xFIP,BB_pct
2,International League,AAA,1475.0,18268.0,36136.0,158944.0,27.271428930944232,10.901913286253901,0.13206298070079442,0.7177953756180684,4.641415406190121,0.1077823168361115
4,Pacific Coast League,AAA,742.0,9533.0,18534.666666666668,83961.0,27.24279129595884,9.946894996328544,0.09998689864532344,0.7085785559301434,5.532475834736957,0.11446714208937879
5,Eastern League,AA,745.0,9030.0,19891.0,85593.0,24.808115149603356,12.54690441909403,0.13758134405558864,0.7333889845774089,4.170871054382998,0.104914132273434
6,Southern League,AA,438.0,5754.0,13182.333333333332,56409.0,24.711819035969437,13.026503302050747,0.1311492842805226,0.7426034996774838,4.057563598986323,0.10799601299583467
7,Texas League,AA,558.0,7851.0,16796.666666666664,73178.0,24.53585777146137,11.84097567188893,0.12641777555727132,0.728557586365283,4.4600135651134245,0.10859933340009054
8,California League,A,494.0,5899.0,13259.0,59598.0,21.829188898956343,12.288076662143826,0.12084298162270547,0.7628156973673128,4.940694567849862,0.1174615485933284
9,Carolina League,A,743.0,8096.0,19231.666666666664,83767.0,21.787995272601382,13.409832015810277,0.12335406553487652,0.7474859761451802,4.19625904346811,0.12107467269424145
10,Florida State League,A,815.0,7299.0,15976.333333333332,70468.0,21.97865697905432,12.265241813947116,0.11950105018817052,0.736165371568399,4.45657545426187,0.12366921782931461
11,Midwest League,A+,687.0,8497.0,19284.666666666664,84877.0,23.07750038290703,12.398699541014476,0.11170281668638146,0.7512881614504066,4.55150915399104,0.1191780987447773
13,Northwest League,A+,330.0,4344.0,9886.666666666668,43350.0,23.202029988465974,12.81975138121547,0.13026528217208766,0.7488884877908453,4.578453692131295,0.11328804317512578
14,South Atlantic League,A+,778.0,8603.0,19170.0,83032.0,23.250421524231623,12.746309426944089,0.13738076883093267,0.7424491280053062,4.2936529147452855,0.11187701422370556
16,Arizona Complex League,CPX,844.0,5291.0,10388.0,47336.0,20.776301335136047,10.783175803402646,0.12299307064242859,0.7772015369240919,5.475173301528613,0.1248510583448515
17,Florida Complex League,CPX,824.0,4747.0,9551.333333333332,42919.0,20.69260700389105,11.026301918616909,0.10056152276847084,0.7756745900758842,4.8584873808971665,0.13811126228132978
30,Dominican Summer League,R,1825.0,11975.0,24514.666666666664,113803.0,18.549704313594546,10.016253029163533,0.056919884312722005,0.793238525396435,5.654071171300025,0.15294421835059144
