Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,IP/G,Age+,FG/G+,K-BB%+,Weak Contact+,xFIP,Pitching Score,Pitcher Prospect Score,Est FB,W,L,ERA,GS,SV,IP,SO,WHIP,BABIP,BB%,K%,K-BB%,Weak Contact,LD%,GB%,FB%,IFFB%,HR/FB%
Aiden Taggart,Not in Fantrax,TOR,Florida State League,A,Yes,19.0,,1.0,9.0,1.0,115.5,75.1,570.5,136.7,1.45,167.5,154.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.667,0.667,1.0,0.0,0.0,1.0,0.0,0.0
Justin Martinez,Available,ARI,Pacific Coast League,AAA,Yes,24.0,,2.0,7.5,1.0,113.4,75.7,505.6,141.5,2.68,167.5,153.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.333,0.667,0.0,0.0
Zack Mack,Available,NYM,International League,AAA,Yes,23.0,,1.0,13.0,0.7,118.1,120.3,392.0,139.6,0.5,159.2,150.1,0.0,1.0,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0
Brad Lord,Available,WSH,International League,AAA,Yes,26.0,,1.0,9.0,1.0,104.5,83.3,522.9,139.6,-0.5,167.5,148.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.667,0.667,1.0,0.0,1.0,0.0,0.0,0.0
Angel Chicuate,Not in Fantrax,SEA,Arizona Complex League,CPX,Yes,19.0,,1.0,17.8,1.0,109.3,166.8,497.1,129.5,3.39,163.2,147.9,0.2,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.6,0.6,1.0,0.0,0.75,0.25,0.0,0.0
Marty Gair,Available,SF,South Atlantic League,A+,No,22.0,,2.0,20.1,1.5,105.5,161.7,436.7,136.2,0.56,163.7,146.1,2.0,1.0,0.0,0.0,0.0,0.0,3.0,8.0,1.0,0.667,0.083,0.667,0.584,1.0,0.0,0.333,0.667,0.0,0.0
Sebastian Rivas,Not in Fantrax,NYY,Dominican Summer League,R,Yes,17.0,,2.0,10.6,1.3,109.2,110.2,514.8,126.0,3.89,160.1,145.8,4.5,0.0,0.0,0.0,1.0,0.0,2.7,5.0,1.12,0.167,0.154,0.385,0.231,1.0,0.0,0.25,0.75,0.0,0.0
Samuel Orellana,Not in Fantrax,TOR,Dominican Summer League,R,Yes,17.0,,1.0,4.0,1.0,109.2,41.5,557.1,126.0,3.74,160.1,145.8,4.8,0.0,0.0,18.0,0.0,0.0,1.0,2.0,4.0,0.667,0.0,0.25,0.25,1.0,0.0,0.2,0.8,0.0,0.0
Raimy Rodriguez,Available,HOU,Carolina League,A,No,20.0,,1.0,27.8,3.3,109.1,212.4,397.2,134.7,0.96,159.8,145.5,0.0,0.0,0.0,0.0,0.0,0.0,3.3,6.0,0.3,0.0,0.091,0.545,0.454,1.0,0.0,1.0,0.0,0.0,0.0
Victor Vodnik,Available,MIA,Pacific Coast League,AAA,Yes,26.0,,2.0,11.9,1.0,104.7,119.9,432.8,141.5,2.31,163.3,145.4,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.143,0.571,0.428,1.0,0.0,0.5,0.5,1.0,0.0
Braeden Sloan,Available,BAL,Carolina League,A,No,22.0,,3.0,13.9,1.3,99.2,106.5,605.5,134.7,-0.59,167.5,145.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.25,0.0,0.077,0.769,0.692,1.0,0.0,1.0,0.0,0.0,0.0
Christian Worley,Available,STL,Texas League,AA,Yes,24.0,,2.0,15.0,1.0,102.1,127.8,445.8,138.8,1.2,164.6,144.9,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.571,0.571,1.0,0.0,1.0,0.0,0.0,0.0
Shotaro Morii,Bobby and the NitWitts (MINORS),ATH,Arizona Complex League,CPX,No,19.0,,1.0,8.8,1.0,109.3,82.2,414.3,129.5,0.9,157.1,143.8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.5,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0
Yondrei Rojas,Available,TOR,Florida State League,A,No,23.0,,1.0,13.0,1.3,95.4,108.5,641.5,136.7,0.53,167.5,143.1,1.0,0.0,0.0,0.0,0.0,0.0,1.3,3.0,0.0,0.0,0.0,0.75,0.75,1.0,0.0,0.0,1.0,0.0,0.0
Jonathan Russell,Available,TB,Florida Complex League,CPX,No,21.0,,3.0,16.2,1.2,98.8,151.8,493.2,130.4,1.78,163.9,142.6,0.0,1.0,0.0,0.0,0.0,1.0,3.7,6.0,0.55,0.25,0.091,0.545,0.454,1.0,0.0,1.0,0.0,0.0,0.0
