Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,IP/G,Age+,FG/G+,K-BB%+,Weak Contact+,xFIP,Pitching Score,Pitcher Prospect Score,Est FB,W,L,ERA,GS,SV,IP,SO,WHIP,BABIP,BB%,K%,K-BB%,Weak Contact,LD%,GB%,FB%,IFFB%,HR/FB%,TBF,K/9,BB/9,K/BB,HR/9,K-BB% (Adv),AVG,LOB%,FIP,BABIP (Batted),GB/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches
Shotaro Morii,Bobby and the NitWitts (MINORS),ATH,Arizona Complex League,CPX,No,19.0,,1.0,8.8,1.0,109.3,82.2,414.3,129.5,0.9,157.1,143.8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.5,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,4.0,18.0,0.0,2.0,0.0,0.5,0.25,1.0,0.9,0.5,2.0,0.5,0.5,0.0,0.75,0.0,8.0,8.0
Shotaro Morii,Bobby and the NitWitts (MINORS),ATH,California League,A,Yes,19.0,,10.0,3.4,1.5,115.2,27.3,107.1,86.8,5.71,89.3,101.8,15.8,0.0,4.0,15.26,10.0,0.0,15.3,19.0,2.48,0.51,0.095,0.226,0.131,0.654,0.273,0.418,0.309,0.176,0.235,84.0,11.15,4.7,2.38,2.35,0.131,0.405,0.349,7.28,0.51,1.35,0.509,0.255,0.236,0.078,129.0,192.0,321.0
Nolan Perry,Bobby and the NitWitts (MINORS),TOR,Eastern League,AA,Yes,22.0,,8.0,19.3,3.4,112.5,154.3,127.6,95.3,4.33,98.7,106.6,20.9,0.0,1.0,2.67,8.0,0.0,27.0,33.0,1.11,0.232,0.131,0.308,0.177,0.695,0.254,0.373,0.373,0.273,0.136,107.0,11.0,4.67,2.36,1.0,0.178,0.174,0.858,4.26,0.232,1.0,0.458,0.305,0.237,0.15,172.0,268.0,440.0
Ramon Marquez,Bobby and the NitWitts (MINORS),SF,Florida State League,A,No,20.0,,6.0,38.7,4.8,109.7,322.6,272.8,94.5,2.58,112.5,114.3,14.0,3.0,0.0,1.86,5.0,0.0,29.0,47.0,0.97,0.291,0.086,0.405,0.319,0.692,0.273,0.473,0.255,0.143,0.143,116.0,14.59,3.1,4.7,0.62,0.319,0.173,0.699,2.67,0.291,1.86,0.404,0.281,0.316,0.237,160.0,291.0,451.0
Nolan Perry,Bobby and the NitWitts (MINORS),TOR,Florida State League,A,No,22.0,,5.0,29.5,4.2,99.7,246.2,284.8,103.3,2.82,121.4,114.7,12.0,0.0,0.0,1.71,4.0,0.0,21.0,32.0,0.67,0.189,0.077,0.41,0.333,0.756,0.216,0.459,0.324,0.25,0.083,78.0,13.71,2.57,5.33,0.43,0.333,0.114,0.753,2.49,0.189,1.42,0.421,0.211,0.368,0.151,117.0,207.0,324.0
Thomas White,Bobby and the NitWitts (MINORS),MIA,Florida State League,A,No,21.0,,2.0,18.9,3.0,104.5,157.5,131.7,95.7,4.0,99.4,102.7,1.8,0.0,2.0,3.0,2.0,0.0,6.0,10.0,1.5,0.222,0.231,0.385,0.154,0.7,0.2,0.6,0.2,1.0,0.5,26.0,15.0,9.0,1.67,1.5,0.154,0.15,0.789,5.6,0.222,3.0,0.4,0.1,0.5,0.187,43.0,64.0,107.0
Mick Abel,Bobby and the NitWitts (INJURED_RESERVE),MIN,International League,AAA,Yes,24.0,,2.0,29.2,4.0,113.2,270.7,261.1,125.6,3.05,138.4,133.5,8.6,1.0,0.0,1.13,2.0,0.0,8.0,10.0,0.75,0.263,0.0,0.333,0.333,0.9,0.05,0.5,0.45,0.333,0.111,30.0,11.25,0.0,10.0,1.13,0.333,0.2,0.87,2.62,0.263,1.11,0.3,0.2,0.5,0.111,30.0,78.0,108.0
Thomas White,Bobby and the NitWitts (MINORS),MIA,International League,AAA,Yes,21.0,,5.0,20.9,3.7,129.4,192.9,155.2,96.4,3.96,102.4,118.4,14.0,0.0,1.0,4.34,5.0,0.0,18.7,25.0,1.45,0.357,0.111,0.309,0.198,0.691,0.238,0.429,0.333,0.286,0.214,81.0,12.05,4.34,2.78,1.45,0.198,0.257,0.685,4.68,0.357,1.29,0.444,0.267,0.289,0.118,166.0,216.0,382.0
Hagen Smith,Bobby and the NitWitts (MINORS),CHW,International League,AAA,Yes,22.0,,20.0,18.4,2.9,123.5,169.9,145.8,104.0,4.13,108.1,118.9,41.1,1.0,6.0,4.32,14.0,1.0,58.3,87.0,1.35,0.274,0.159,0.345,0.186,0.745,0.186,0.449,0.364,0.302,0.186,252.0,13.42,6.17,2.18,1.23,0.187,0.188,0.724,4.56,0.274,1.23,0.504,0.179,0.317,0.139,423.0,674.0,1097.0
Dylan Cease,Bobby and the NitWitts (ACTIVE),TOR,International League,AAA,Yes,30.0,,1.0,16.2,4.0,90.5,150.4,206.2,69.9,3.99,84.4,85.0,5.0,0.0,1.0,11.25,1.0,0.0,4.0,6.0,1.75,0.4,0.053,0.316,0.263,0.5,0.333,0.167,0.5,0.167,0.333,19.0,13.5,2.25,6.0,4.5,0.263,0.333,0.476,7.75,0.4,0.33,0.583,0.167,0.25,0.187,25.0,50.0,75.0
Tyler Wells,Bobby and the NitWitts (ACTIVE),TB,International League,AAA,Yes,31.0,,1.0,7.5,1.3,87.6,69.4,224.2,104.7,1.87,116.5,104.8,1.2,0.0,1.0,0.0,0.0,0.0,1.3,2.0,1.5,0.4,0.0,0.286,0.286,0.75,0.25,0.5,0.25,0.0,0.0,7.0,13.5,0.0,2.0,0.0,0.286,0.286,0.5,0.5,0.4,2.0,0.6,0.0,0.4,0.105,3.0,16.0,19.0
Justin Steele,Bobby and the NitWitts (INJURED_RESERVE),CHC,International League,AAA,Yes,30.0,,2.0,6.2,1.8,90.5,57.8,138.0,96.7,3.86,101.0,96.0,4.3,0.0,1.0,4.91,2.0,0.0,3.7,3.0,1.64,0.429,0.0,0.176,0.176,0.693,0.308,0.385,0.308,0.0,0.0,17.0,7.36,0.0,3.0,0.0,0.176,0.353,0.333,1.86,0.429,1.25,0.714,0.071,0.214,0.095,19.0,44.0,63.0
Emilio Pagán,Bobby and the NitWitts (ACTIVE),CIN,International League,AAA,Yes,35.0,,2.0,5.9,1.0,77.6,54.4,0.0,93.1,4.41,84.0,77.6,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.5,0.167,0.0,0.0,0.0,0.667,0.333,0.5,0.167,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.167,1.0,3.5,0.167,3.0,0.833,0.167,0.0,0.0,3.0,12.0,15.0
Tanner Franklin,Bobby and the NitWitts (MINORS),STL,Midwest League,A+,No,22.0,,19.0,22.3,3.8,104.4,181.8,167.9,101.7,4.43,108.3,108.5,61.2,4.0,4.0,4.21,19.0,0.0,72.7,91.0,1.25,0.292,0.103,0.294,0.191,0.757,0.191,0.451,0.358,0.242,0.145,310.0,11.27,3.96,2.84,1.11,0.19,0.218,0.691,4.54,0.292,1.26,0.417,0.278,0.306,0.127,521.0,799.0,1320.0
