Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,IP/G,Age+,FG/G+,K-BB%+,Weak Contact+,xFIP,Pitching Score,Pitching Score_Previous_League,Pitcher Prospect Score,Est FB,W,L,ERA,GS,SV,IP,SO,WHIP,BABIP,BB%,K%,K-BB%,Weak Contact,LD%,GB%,FB%,IFFB%,HR/FB%
Aiden Taggart,Not in Fantrax,TOR,Florida State League,A,Yes,19.0,,1.0,9.0,1.0,115.5,75.1,570.5,136.7,1.45,167.5,116.43107439385624,154.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.667,0.667,1.0,0.0,0.0,1.0,0.0,0.0
Julio Gonzalez,Available,NYM,Florida State League,A,Yes,19.0,,1.0,5.0,0.7,115.5,41.7,284.8,136.7,3.28,148.5,74.02208629500015,141.5,2.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.333,0.333,1.0,0.0,0.0,1.0,0.0,0.0
Javen Coleman,Available,TOR,Florida State League,A,No,24.0,,1.0,22.0,1.7,91.4,183.6,513.2,136.7,1.18,167.5,163.9419987295689,140.9,1.0,1.0,0.0,0.0,0.0,0.0,1.7,3.0,0.0,0.0,0.0,0.6,0.6,1.0,0.0,0.5,0.5,0.0,0.0
Felix Doroteo,Available,PIT,Florida State League,A,Yes,21.0,,1.0,20.8,2.0,104.5,173.1,366.9,136.7,1.61,156.7,105.79023826126118,140.9,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.5,0.25,0.0,0.429,0.429,1.0,0.0,0.75,0.25,0.0,0.0
Claudio Estelie,Available,PIT,Florida State League,A,Yes,22.0,,3.0,16.6,1.6,99.7,138.4,398.6,136.7,2.42,159.9,99.38223485855002,140.4,4.0,0.0,0.0,0.0,0.0,1.0,4.7,8.0,0.21,0.0,0.067,0.533,0.466,1.0,0.0,0.333,0.667,0.75,0.0
Juan Nuñez,Available,BAL,Carolina League,A,Yes,25.0,,1.0,9.0,1.0,87.3,68.9,583.6,134.7,1.06,167.5,105.8357096627216,138.6,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.667,0.667,1.0,0.0,0.0,1.0,0.0,0.0
Luis Velasquez,Available,NYY,Florida State League,A,No,24.0,,2.0,17.9,1.2,91.4,149.2,380.6,136.7,1.49,158.1,141.55412971149633,134.6,1.5,1.0,0.0,0.0,0.0,0.0,2.3,5.0,0.43,0.0,0.111,0.556,0.445,1.0,0.0,0.5,0.5,0.0,0.0
Dylan Tebrake,Available,WSH,Carolina League,A,Yes,26.0,,1.0,8.8,1.0,83.9,67.0,437.5,134.7,2.46,163.8,134.52508271048788,134.3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.5,0.0
Seong-Jun Kim,Available,TEX,Carolina League,A,Yes,19.0,,3.0,13.5,2.0,114.9,103.3,131.2,134.7,3.73,133.1,115.59963996503974,130.9,1.0,0.0,0.0,0.0,3.0,0.0,6.0,8.0,1.0,0.143,0.25,0.4,0.15,1.0,0.0,0.857,0.143,0.0,0.0
Mikey Cascino,Available,LAA,California League,A,Yes,19.0,,1.0,25.2,3.3,115.2,206.1,314.8,110.5,3.19,130.7,94.48211333053692,129.4,3.0,0.0,0.0,0.0,1.0,0.0,3.3,6.0,0.9,0.333,0.077,0.462,0.385,0.833,0.167,0.333,0.5,1.0,0.0
Joe Ariola,Available,ARI,California League,A,No,22.0,,6.0,17.1,2.0,99.5,139.8,302.5,123.3,2.9,140.5,108.83250125918713,127.3,7.3,0.0,0.0,0.0,0.0,0.0,12.0,23.0,0.75,0.176,0.13,0.5,0.37,0.929,0.071,0.5,0.429,0.333,0.0
Briggs McKenzie,Available,ATL,Carolina League,A,No,19.0,,1.0,38.5,5.0,114.9,294.7,360.5,101.1,1.62,127.0,123.3432220150047,126.8,2.0,0.0,0.0,0.0,1.0,0.0,5.0,8.0,0.4,0.125,0.059,0.471,0.412,0.75,0.25,0.5,0.25,0.0,0.0
Carlos Mateo,Available,PIT,Florida State League,A,Yes,20.0,,6.0,12.8,1.5,109.7,106.4,308.8,111.8,2.55,131.2,82.63924988782193,126.7,3.3,1.0,0.0,2.0,0.0,0.0,9.0,17.0,0.89,0.25,0.111,0.472,0.361,0.818,0.091,0.636,0.273,0.0,0.333
Fenuel James,Available,CHC,Carolina League,A,Yes,23.0,,2.0,22.2,3.0,94.9,170.3,262.5,123.6,2.99,136.8,85.29680944775174,122.3,5.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.33,0.083,0.05,0.35,0.3,0.917,0.083,0.5,0.417,0.0,0.0
Luis Martinez-Gomez,Available,CHC,Carolina League,A,No,23.0,,1.0,46.5,6.0,94.9,356.0,249.4,123.4,3.26,135.3,96.1855632942731,121.3,4.0,1.0,0.0,0.0,1.0,0.0,6.0,7.0,0.33,0.083,0.048,0.333,0.285,0.916,0.083,0.583,0.333,0.75,0.0
Carlos Rodriguez,Available,DET,Florida State League,A,Yes,20.0,,7.0,11.6,2.1,109.7,97.2,159.1,119.6,3.73,123.0,91.17336968461552,121.3,11.6,0.0,0.0,2.4,2.0,0.0,15.0,14.0,0.93,0.262,0.051,0.237,0.186,0.875,0.125,0.6,0.275,0.091,0.0
Daniel Guerra,Available,TOR,Florida State League,A,No,22.0,,1.0,24.5,3.3,99.7,204.4,285.7,113.9,3.18,130.6,122.61642023265112,120.9,3.0,0.0,0.0,0.0,1.0,0.0,3.3,5.0,0.6,0.167,0.083,0.417,0.334,0.833,0.167,0.333,0.5,0.333,0.0
Jeremiah Estrada,Available,SD,California League,A,No,27.0,,1.0,14.0,1.0,81.1,114.3,272.3,132.7,5.69,145.7,78.03236298144273,120.6,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.333,0.333,1.0,0.0,0.0,1.0,0.5,0.0
Daison Acosta,Available,SD,California League,A,No,27.0,,2.0,12.9,1.3,81.1,105.1,272.3,132.7,3.15,145.7,115.82877600257434,120.6,1.0,0.0,0.0,0.0,0.0,0.0,2.7,4.0,0.37,0.0,0.111,0.444,0.333,1.0,0.0,0.75,0.25,0.0,0.0
Alberto Toribio,Available,KC,Carolina League,A,Yes,19.0,,1.0,18.0,3.0,114.9,137.8,134.7,115.5,3.93,116.9,92.2016483633891,120.1,2.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,1.33,0.286,0.154,0.308,0.154,0.857,0.143,0.571,0.286,0.0,0.0
