Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Caleb Thielbar,CHC,A+,39,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,2,10078
Jameson Taillon,CHC,A+,34,0,1,2.70,1,1,0,0,0,0,0,3.1,14,4,1,1,0,0,0,0,0,0,2,11674
José Leclerc,SDP,A+,32,0,0,0.00,3,1,0,0,0,0,0,3.0,10,1,0,0,0,0,0,0,0,0,2,14524
Ben Lively,CLE,A+,34,0,2,17.28,4,4,0,0,0,0,0,8.1,51,21,16,16,5,5,0,0,0,1,7,14932
Matthew Boyd,CHC,A+,35,0,0,0.00,1,1,0,0,0,0,0,4.0,14,2,0,0,0,0,0,0,0,0,7,15440
Brandon Woodruff,MIL,A+,33,1,0,5.06,1,1,0,0,0,0,0,5.1,21,5,3,3,1,1,0,0,0,0,6,16162
John Means,KCR,A+,33,0,0,9.00,2,2,0,0,0,0,0,3.0,15,5,3,3,1,1,0,0,0,0,1,16269
Josh Staumont,CIN,A+,32,0,0,0.00,4,0,0,0,0,0,0,3.1,13,1,0,0,0,1,0,1,0,0,5,18335
JoJo Romero,MIL,A+,29,0,0,0.00,2,1,0,0,0,0,0,2.0,6,0,0,0,0,1,0,0,0,0,4,19574
Bailey Ober,MIN,A+,30,0,0,8.10,1,1,0,0,0,0,0,3.1,16,7,3,3,1,0,0,0,0,0,1,21224
DL Hall,MIL,A+,27,0,1,4.50,2,1,0,0,0,0,0,2.0,8,2,1,1,1,0,0,0,0,0,4,22207
Tarik Skubal,DET,A+,29,1,0,0.00,1,1,0,0,0,0,0,5.0,17,2,0,0,0,0,0,0,0,0,6,22267
Abner Uribe,MIL,A+,26,0,0,0.00,2,0,0,0,0,0,1,2.0,7,0,0,0,0,1,0,0,0,0,3,25327
Ty Adcock,SDP,A+,29,0,0,10.50,5,0,0,0,0,0,0,6.0,31,9,7,7,3,3,0,1,0,0,9,25651
Cole Waites,DET,A+,28,0,0,0.00,2,0,0,0,0,0,1,2.0,8,0,0,0,0,2,0,0,0,0,4,25665
Quinn Priester,MIL,A+,25,0,1,47.25,1,1,0,0,0,0,0,1.1,12,5,7,7,0,3,0,1,0,0,2,25977
Nick Lodolo,CIN,A+,28,1,0,0.00,1,1,0,0,0,0,0,5.0,17,2,0,0,0,0,0,0,0,0,7,26378
Jose Franco,CIN,A+,25,0,0,0.00,1,0,0,0,0,0,0,2.0,7,0,0,0,0,1,0,0,0,0,1,27014
Carson Spiers,CIN,A+,28,0,0,4.91,1,1,0,0,0,0,0,3.2,15,3,2,2,1,0,0,1,0,0,4,27685
Kyle Harrison,MIL,A+,24,1,0,0.00,1,1,0,0,0,0,0,5.2,19,1,0,0,0,3,0,0,1,0,5,27758
Julian Aguiar,CIN,A+,25,0,1,5.06,4,4,0,0,0,0,0,10.2,46,10,7,6,2,2,0,1,0,0,11,30031
Jackson Jobe,DET,A+,23,0,0,2.25,1,1,0,0,0,0,0,4.0,19,5,1,1,0,2,0,0,0,0,5,30203
Andrew Sears,DET,A+,23,0,0,3.09,4,4,0,0,0,0,0,11.2,51,10,4,4,0,5,0,1,1,0,14,33664
Luis Carrasco,OAK,A+,24,3,2,5.61,37,0,0,0,5,2,1,43.1,203,50,29,27,4,20,0,4,2,0,33,sa1172127
Victor Santos,STL,A+,25,0,1,6.00,3,0,0,0,0,0,0,3.0,14,4,2,2,1,2,0,0,2,0,2,sa3003083
Inohan Paniagua,DET,A+,26,1,0,1.99,16,0,0,0,2,1,1,22.2,93,13,7,5,2,12,0,3,3,0,28,sa3006417
Troy Watson,DET,A+,29,0,0,1.00,3,3,0,0,0,0,0,9.0,35,5,1,1,0,5,0,0,0,0,5,sa3007249
Kohl Franklin,CHC,A+,26,0,0,1.74,3,3,0,0,0,0,0,10.1,44,10,2,2,0,5,0,1,0,0,6,sa3008335
Andrick Nava,MIL,A+,24,0,0,18.00,1,0,0,0,0,0,0,2.0,14,7,4,4,0,1,0,0,0,0,0,sa3010693
Jose Dicochea,OAK,A+,25,1,3,4.27,34,3,0,0,1,2,5,52.2,239,50,40,25,9,31,0,3,5,0,46,sa3011497
Matt Canterino,MIN,A+,28,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,1,sa3011530
Yehizon Sanchez,MIN,A+,25,1,4,4.89,35,0,0,0,2,3,0,57.0,261,57,42,31,3,33,0,6,7,0,67,sa3011574
Nestor Lorant,CIN,A+,24,2,2,3.10,8,7,0,0,1,0,0,40.2,170,27,15,14,6,20,0,1,1,0,57,sa3011640
Koen Moreno,CHC,A+,24,1,3,4.84,13,11,0,0,1,0,0,48.1,211,48,32,26,8,24,0,2,4,1,48,sa3014509
José Davila,STL,A+,23,0,0,6.98,15,0,0,0,1,0,2,19.1,90,20,15,15,1,12,0,1,3,0,27,sa3015092
Franklin Sanchez,MIA,A+,25,0,0,12.00,6,0,0,0,0,0,0,6.0,35,8,8,8,1,7,0,3,2,0,9,sa3015157
Javier Chacon,SDP,A+,23,2,1,4.50,30,0,0,0,1,1,2,50.0,230,38,31,25,7,40,1,8,7,1,58,sa3015312
Yerlin Rodriguez,MIL,A+,24,2,1,6.63,37,0,0,0,4,1,2,38.0,197,34,29,28,3,46,0,9,7,0,44,sa3015362
Diego Guzman,KCR,A+,22,0,0,0.00,2,0,0,0,0,0,0,1.2,9,1,0,0,0,1,0,1,0,0,0,sa3015365
Miguelangel Boadas,MIN,A+,23,0,1,11.57,3,2,0,0,0,0,0,7.0,39,10,9,9,2,5,0,3,1,0,10,sa3015427
Brayan Mendoza,MIA,A+,22,4,7,5.89,30,12,0,0,0,1,0,94.2,412,79,66,62,13,47,0,8,7,1,99,sa3015477
Jose Romero,CHC,A+,25,0,1,10.24,8,0,0,0,1,1,0,9.2,50,8,12,11,0,11,0,5,5,1,13,sa3015483
Rayner Castillo,DET,A+,22,2,10,6.29,22,22,0,0,0,0,0,87.1,394,94,64,61,19,45,0,1,1,1,88,sa3015487
Miguel Mendez,SDP,A+,23,0,0,4.50,2,2,0,0,0,0,0,2.0,9,3,1,1,0,0,0,0,0,0,2,sa3015506
Carlos Marcano,DET,A+,22,1,3,4.97,17,11,0,0,0,0,0,50.2,226,44,29,28,10,30,0,5,1,0,47,sa3015509
Kevin Rivas,CLE,A+,23,1,0,0.00,3,0,0,0,0,0,0,3.0,11,2,1,0,0,1,0,0,0,0,0,sa3015539
Jose D. Hernandez,LAD,A+,23,0,0,4.50,1,0,0,0,0,0,0,2.0,8,1,1,1,1,0,0,0,0,0,1,sa3015557
Cristian Santana,DET,A+,22,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,sa3015697
Kenyi Perez,CHC,A+,24,2,0,2.66,16,0,0,0,3,0,0,20.1,88,7,6,6,1,17,0,4,4,1,38,sa3016008
Reynardo Cruz,CIN,A+,24,4,3,5.65,16,16,0,0,0,0,0,71.2,324,59,47,45,10,51,0,7,5,0,75,sa3016032
Jawilme Ramírez,STL,A+,24,2,3,5.50,28,0,0,0,1,2,2,36.0,170,41,23,22,7,18,0,3,9,1,41,sa3016204
Darlin Pinales,OAK,A+,23,2,3,6.00,29,0,0,0,0,2,0,39.0,190,46,31,26,2,23,0,6,2,1,48,sa3016211
Gerardo Salas,STL,A+,23,5,3,5.17,38,0,0,0,1,2,5,62.2,271,60,41,36,12,24,0,8,8,2,60,sa3016216
Jaydenn Estanista,MIA,A+,24,1,0,3.44,15,0,0,0,0,0,1,18.1,79,14,8,7,0,10,0,0,4,1,29,sa3016230
Luis Gutierrez,SDP,A+,22,0,1,2.25,3,3,0,0,0,0,0,8.0,33,5,3,2,1,4,0,0,0,0,13,sa3016469
Gabriel Reyes,DET,A+,22,0,4,4.91,9,8,0,0,0,0,0,33.0,161,33,26,18,4,34,0,1,3,1,25,sa3016833
Cleiber Maldonado,MIN,A+,22,0,0,11.37,11,0,0,0,0,1,0,12.2,68,16,16,16,2,13,0,1,5,1,22,sa3016846
Abel Mercedes,OAK,A+,24,0,5,5.15,36,0,0,0,4,1,3,36.2,182,26,27,21,3,49,1,0,11,1,51,sa3017013
Jesse Bergin,MIN,A+,26,0,4,8.18,9,0,0,0,0,1,0,11.0,54,13,13,10,1,7,0,1,2,0,15,sa3017133
Tyson Guerrero,KCR,A+,27,1,0,6.23,4,0,0,0,0,0,1,4.1,23,6,4,3,0,2,0,2,0,0,6,sa3017140
Ryan Och,SDP,A+,27,2,0,1.69,10,0,0,0,0,0,1,16.0,71,10,6,3,0,11,1,0,2,0,25,sa3017146
Holt Jones,MIA,A+,27,0,0,4.26,15,0,0,0,2,0,1,19.0,84,19,9,9,3,8,0,1,7,0,23,sa3017368
Moises Rodriguez,DET,A+,24,0,0,1.42,5,0,0,0,0,0,0,6.1,28,5,2,1,0,4,0,1,0,1,4,sa3017389
Marino Santy,CHC,A+,24,1,0,0.00,2,0,0,0,0,0,0,5.0,17,2,0,0,0,3,0,0,0,0,6,sa3017422
Dameivi Tineo,MIA,A+,22,1,1,10.80,4,3,0,0,0,0,0,11.2,59,13,14,14,2,9,0,3,5,0,13,sa3017726
Maddux Bruns,LAD,A+,24,1,0,0.00,5,0,0,0,0,0,2,6.2,29,5,0,0,0,4,0,0,1,1,12,sa3017782
Juan Reynoso,MIA,A+,22,5,3,5.07,42,0,0,0,14,3,3,55.0,249,43,39,31,7,43,0,1,12,0,75,sa3017790
Quinton Low,MIL,A+,23,5,1,9.35,25,0,0,0,1,0,1,34.2,174,35,38,36,4,39,0,2,17,0,47,sa3017921
Aaron Holiday,STL,A+,26,1,0,8.10,8,0,0,0,0,0,1,10.0,56,11,15,9,3,11,0,3,0,1,10,sa3017937
Jorge Marcheco,OAK,A+,23,2,4,4.57,26,9,0,0,0,0,3,61.0,268,59,32,31,13,32,0,1,1,0,44,sa3018025
Chen Zhong-Ao Zhuang,OAK,A+,25,0,0,4.50,1,1,0,0,0,0,0,2.0,8,2,1,1,0,0,0,0,0,0,0,sa3018174
Mitch Myers,OAK,A+,27,0,4,6.82,19,4,0,0,0,1,2,34.1,157,43,27,26,7,15,0,0,3,1,32,sa3018179
Reynaldo Yean,LAD,A+,22,1,3,9.19,37,0,0,0,2,1,1,32.1,183,27,37,33,4,61,0,5,10,1,38,sa3018303
