Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Alberto Pacheco,COL,A+,23,0.0,.000,,,,,,,,,,,,,,sa3015421
Everett Catlett,COL,A+,23,88.2,.346,1.09,21.9%,40.6%,37.5%,22.3%,14.9%,39.0%,24.0%,37.0%,14.0%,546,942,1488,sa3028650
Jordy Vargas,COL,A+,22,81.0,.349,1.06,25.1%,38.6%,36.3%,28.2%,11.5%,39.4%,25.8%,34.8%,15.2%,584,872,1456,sa3016052
Luis De La Torre,SFG,A+,22,73.2,.264,1.02,22.5%,39.1%,38.5%,35.4%,13.8%,41.9%,23.8%,34.3%,15.3%,584,798,1382,sa3022880
Hunter Dryden,SFG,A+,24,70.1,.306,1.15,24.6%,40.3%,35.1%,10.4%,19.4%,51.8%,22.8%,25.4%,12.8%,510,824,1334,sa3067105
Peyton Olejnik,LAA,A+,23,76.1,.333,1.20,22.7%,42.1%,35.2%,32.9%,3.9%,50.5%,21.2%,28.4%,13.3%,502,824,1326,sa3025492
Bryson Hammer,COL,A+,24,76.0,.347,2.29,24.1%,52.8%,23.1%,14.3%,12.2%,42.2%,29.8%,28.0%,11.9%,481,802,1283,sa3022664
Niko Mazza,SFG,A+,24,73.2,.256,1.46,21.8%,46.5%,31.8%,18.5%,9.3%,42.5%,26.4%,31.0%,13.2%,515,759,1274,sa3037404
Tyler Switalski,SFG,A+,23,74.2,.292,1.15,23.7%,40.9%,35.5%,22.7%,19.7%,45.8%,26.3%,27.9%,13.3%,452,814,1266,sa3043424
Johnny King,TOR,A+,19,71.0,.313,1.06,23.4%,39.5%,37.1%,24.2%,9.7%,40.7%,26.2%,33.1%,14.8%,472,788,1260,sa3067123
Rio Britton,ARI,A+,23,70.1,.326,1.52,24.0%,45.8%,30.2%,24.1%,11.1%,50.3%,18.9%,30.8%,14.1%,479,775,1254,sa3023379
Evan Truitt,SEA,A+,23,76.2,.291,1.11,21.3%,41.4%,37.3%,28.6%,16.5%,47.0%,24.1%,28.9%,10.3%,416,813,1229,sa3025236
Colton Shaw,SEA,A+,23,80.1,.315,1.78,20.8%,50.7%,28.5%,15.9%,15.9%,44.7%,23.9%,31.4%,11.9%,382,840,1222,sa3042084
Yeferson Vargas,LAA,A+,21,70.2,.336,1.87,19.1%,52.7%,28.2%,22.6%,17.7%,44.1%,30.2%,25.7%,12.2%,466,731,1197,sa3021044
Holden Wilkerson,TOR,A+,23,72.2,.305,1.26,20.5%,44.3%,35.2%,25.7%,9.5%,38.9%,24.1%,37.0%,11.5%,433,755,1188,sa3045217
Taylor Dollard,SEA,A+,27,69.0,.347,1.20,26.1%,40.3%,33.6%,25.4%,19.7%,42.8%,29.3%,27.9%,11.9%,403,784,1187,sa3014982
Gilberto Batista,TOR,A+,21,68.0,.322,1.28,24.6%,42.4%,33.0%,31.1%,17.6%,44.7%,29.6%,25.7%,10.5%,460,710,1170,sa3020987
Brian Curley,ARI,A+,23,69.2,.386,1.61,24.4%,46.6%,29.0%,28.6%,16.1%,33.7%,22.6%,43.7%,15.3%,358,790,1148,sa3029705
John West,ARI,A+,24,67.1,.278,1.25,24.2%,42.1%,33.7%,25.0%,9.4%,33.5%,27.0%,39.5%,9.1%,449,693,1142,sa3045033
Walter Ford,SEA,A+,21,76.0,.323,1.22,24.0%,41.7%,34.3%,17.2%,22.6%,45.7%,27.5%,26.8%,10.5%,360,769,1129,sa3022190
Jacob Bresnahan,SFG,A+,21,69.2,.250,1.08,19.6%,41.7%,38.7%,23.8%,11.1%,42.5%,22.2%,35.3%,15.4%,414,713,1127,sa3023066
Wellington Aracena,ARI,A+,21,62.2,.357,2.33,22.2%,54.5%,23.4%,15.4%,10.3%,48.3%,17.4%,34.3%,14.2%,444,665,1109,sa3019265
Landen Maroudis,TOR,A+,21,59.0,.337,1.59,27.5%,44.6%,28.0%,18.5%,20.4%,46.2%,24.1%,29.7%,9.8%,441,663,1104,sa3023351
Adam Maier,SEA,A+,24,65.2,.332,1.55,18.6%,49.5%,31.9%,15.4%,15.4%,50.5%,23.6%,26.0%,10.7%,385,680,1065,sa3020883
Caden Grice,ARI,A+,24,58.2,.265,1.48,20.5%,47.4%,32.1%,10.0%,12.0%,45.0%,23.8%,31.3%,12.0%,427,599,1026,sa3023166
Kyle Ayers,ARI,A+,23,64.0,.338,1.42,25.0%,44.0%,31.0%,24.2%,14.5%,39.9%,30.0%,30.0%,13.8%,368,642,1010,sa3026337
Chase Centala,SEA,A+,24,62.0,.366,2.16,22.4%,53.0%,24.6%,24.4%,13.3%,39.4%,25.5%,35.1%,12.3%,349,647,996,sa3025431
David Hagaman,ARI,A+,23,59.1,.309,1.65,18.7%,50.7%,30.7%,23.9%,13.0%,45.5%,25.6%,28.8%,15.6%,352,634,986,sa3032946
Yujanyer Herrera,COL,A+,22,58.1,.309,1.59,23.7%,46.8%,29.5%,13.0%,23.9%,43.1%,28.1%,28.7%,14.6%,372,577,949,sa3015370
Daniel Guerra,TOR,A+,22,54.0,.322,1.39,26.0%,43.1%,30.9%,21.1%,10.5%,48.8%,26.4%,24.8%,18.6%,335,565,900,sa3019786
Jackson Cox,COL,A+,22,55.1,.338,1.17,23.5%,41.2%,35.3%,20.8%,18.8%,40.3%,26.6%,33.1%,15.6%,295,604,899,sa3020899
Cade Vernon,SFG,A+,24,53.2,.303,2.92,16.2%,62.4%,21.4%,21.6%,5.4%,45.6%,20.0%,34.4%,8.7%,333,550,883,sa3044462
Lebarron Johnson Jr.,COL,A+,24,53.0,.314,1.10,20.0%,41.9%,38.1%,31.1%,16.4%,50.3%,22.7%,27.0%,11.9%,315,511,826,sa3034782
Danny Thompson Jr.,TOR,A+,23,47.1,.295,1.45,22.9%,45.7%,31.4%,30.3%,12.1%,45.0%,23.9%,31.2%,12.8%,296,529,825,sa3043750
Lucas Knowles,LAA,A+,28,54.2,.291,1.73,19.1%,51.3%,29.6%,26.7%,15.6%,47.4%,21.8%,30.8%,13.3%,273,547,820,sa3011676
Max Gieg,LAA,A+,25,39.0,.326,1.32,17.7%,46.9%,35.4%,41.2%,11.8%,37.8%,22.4%,39.8%,11.3%,382,425,807,sa3019954
Justin Loer,COL,A+,23,45.2,.264,0.89,21.2%,37.2%,41.6%,23.4%,14.9%,37.3%,22.0%,40.7%,10.7%,326,479,805,sa3025306
Hunter Mann,COL,A+,24,53.0,.271,1.94,24.8%,49.6%,25.6%,12.1%,12.1%,30.8%,24.1%,45.1%,11.9%,282,522,804,sa3023231
Kyle Roche,LAA,A+,24,50.0,.340,1.35,29.9%,40.3%,29.9%,23.9%,13.0%,43.1%,26.9%,30.0%,10.9%,289,510,799,sa3067135
Zachary Redner,LAA,A+,21,48.2,.358,1.19,24.0%,41.3%,34.7%,25.0%,9.6%,45.4%,26.3%,28.3%,10.8%,279,520,799,sa3067318
Nathan Blasick,COL,A+,25,48.1,.248,3.95,19.7%,64.1%,16.2%,26.3%,15.8%,34.1%,17.9%,48.0%,12.7%,292,497,789,sa3025491
Benny Thompson,LAA,A+,24,41.2,.293,0.76,21.8%,33.7%,44.6%,24.4%,6.7%,44.1%,25.5%,30.4%,14.2%,343,441,784,sa3022873
Esmerlin Vinicio,SFG,A+,23,48.1,.293,1.90,24.4%,49.6%,26.1%,16.1%,9.7%,53.2%,23.0%,23.8%,10.9%,298,485,783,sa3014708
