Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Woo-Suk Go,MIN,AAA,27,0.0,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,.000,0.00,.000,100.0%,0.00,,,,33827
Justin Campbell,CLE,AAA,25,0.0,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,.000,0.00,.000,100.0%,0.00,,,,sa3028334
Trey Faltine,CIN,AAA,25,0.1,0.00,81.00,0.00,0.00,0.0%,60.0%,-60.0%,.500,12.00,.500,50.0%,54.00,30.55,23.45,30.55,sa3020118
Christian Roa,BAL,AAA,27,0.1,0.00,0.00,0.00,54.00,0.0%,0.0%,0.0%,.833,15.00,.750,45.5%,108.00,81.55,26.45,25.54,27662
Cole Gabrielson,NYY,AAA,25,0.1,0.00,27.00,0.00,0.00,0.0%,50.0%,-50.0%,.000,3.00,.000,100.0%,0.00,12.55,-12.55,18.05,sa3022811
Zack Lee,DET,AAA,25,1.1,0.00,13.50,0.00,0.00,0.0%,20.0%,-20.0%,.333,3.00,.333,16.7%,33.75,12.55,21.20,18.05,sa3023124
Frankeli Arias,CHW,AAA,23,0.2,0.00,27.00,0.00,0.00,0.0%,33.3%,-33.3%,.500,6.00,.500,75.0%,13.50,12.55,0.95,18.05,sa3018352
Mario Camilletti,CHW,AAA,27,1.0,0.00,18.00,0.00,0.00,0.0%,20.0%,-20.0%,.571,6.00,.571,42.9%,36.00,12.55,23.45,16.21,sa3020192
Cam Walty,CLE,AAA,24,1.0,0.00,18.00,0.00,9.00,0.0%,22.2%,-22.2%,.500,5.00,.400,21.7%,36.00,25.55,10.45,14.38,sa3044767
Christian MacLeod,MIN,AAA,26,0.2,27.00,40.50,0.67,13.50,25.0%,37.5%,-12.5%,.600,9.00,1.000,0.0%,81.00,30.55,50.45,13.80,sa3018005
Brett Wisely,ATL,AAA,27,0.2,0.00,13.50,0.00,27.00,0.0%,12.5%,-12.5%,.714,9.00,.600,62.5%,54.00,47.05,6.95,13.55,27735
Logan Davidson,TBR,AAA,28,1.0,0.00,9.00,0.00,0.00,0.0%,16.7%,-16.7%,.250,2.00,.250,66.7%,9.00,9.55,-0.55,13.21,25844
David Bañuelos,MIN,AAA,29,1.1,0.00,6.75,0.00,13.50,0.0%,10.0%,-10.0%,.556,4.50,.429,0.0%,40.50,25.30,15.20,12.67,23250
Ethan Murray,MIL,AAA,26,2.0,0.00,13.50,0.00,0.00,0.0%,23.1%,-23.1%,.400,3.50,.400,42.9%,18.00,8.05,9.95,11.71,sa3017051
Eric Yang,CHC,AAA,28,1.0,0.00,18.00,0.00,0.00,0.0%,33.3%,-33.3%,.250,3.00,.250,100.0%,0.00,9.55,-9.55,11.38,27698
Juan Benjamin,CLE,AAA,23,0.0,0.00,18.00,0.00,0.00,0.0%,40.0%,-40.0%,1.000,5.00,1.000,60.0%,18.00,9.55,8.45,11.38,sa3017217
Evan Gates,PHI,AAA,28,3.2,4.91,12.27,0.40,2.45,8.0%,20.0%,-12.0%,.421,3.55,.438,39.7%,19.64,10.91,8.73,11.36,sa3017311
Matt Jachec,CLE,AAA,24,1.0,9.00,18.00,0.50,0.00,14.3%,28.6%,-14.3%,.400,4.00,.500,75.0%,9.00,7.55,1.45,11.21,sa3022906
Christian Bethancourt,CHC,AAA,34,2.2,3.37,13.50,0.25,0.00,7.1%,28.6%,-21.4%,.111,1.87,.125,100.0%,0.00,8.42,-8.42,11.17,10028
Carlos Estévez,KCR,AAA,33,0.2,0.00,13.50,0.00,0.00,0.0%,33.3%,-33.3%,.000,1.50,.000,100.0%,0.00,8.05,-8.05,10.80,14542
