Player Name,Team,Level,Highest League,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId,Source Report,Source League ID,Level_advanced,IP_advanced,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA_advanced,FIP,E-F,xFIP,Source Report_advanced,Level_batted,IP_batted,BABIP_batted,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB%,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,Source Report_batted,Source Year,League Name,League Level,IP_float,FGPts_est,Fantasy Points Formula,FGPts_per_game,IP_per_game,K_pct,BB_pct,BB_K_ratio,Approach_score,K_BB_pct,HR_FB_pct,Weak_Contact,Estimated BIP,Estimated FB,Team League Max G,Player Team Game Share
Christian Bethancourt,CHC,AAA,Yes,34,0,0,2.45,3,0,0,0,0,0,0,3.2,21,3,1,1,0,5,0,2,1,0,1,10028,standard,2,AAA,3.2,2.45,12.27,0.2,0.0,0.048,0.23800000000000002,-0.19,0.214,2.18,0.231,0.9,2.45,8.68,-6.22,11.67,advanced,AAA,3.2,0.231,0.33,0.385,0.154,0.462,0.16699999999999998,0.0,0.5379999999999999,0.308,0.154,0.03,37.0,29.0,66.0,batted,2026,International League,AAA,3.6666666666666665,10.0,fantrax_pitching_categories,3.3333333333333335,1.222222222222222,0.048,0.23800000000000002,4.958333333333334,3.5402500000000003,-0.19,0.0,0.616,13.0,6.006,36,0.08333333333333333
Shelby Miller,CHC,AAA,Yes,35,0,1,10.57,10,0,0,0,0,0,1,7.2,40,10,9,9,1,8,1,0,2,0,13,10197,standard,2,AAA,7.2,15.26,9.39,1.63,1.17,0.325,0.2,0.125,0.313,2.35,0.5,0.542,10.57,4.93,5.63,5.14,advanced,AAA,7.2,0.5,0.38,0.42100000000000004,0.158,0.42100000000000004,0.0,0.125,0.474,0.263,0.263,0.168,60.0,101.0,161.0,batted,2026,International League,AAA,7.666666666666667,43.5,fantrax_pitching_categories,4.35,0.7666666666666667,0.325,0.2,0.6153846153846154,0.2923076923076923,0.125,0.125,0.526375,18.0,7.578000000000001,36,0.2777777777777778
Zack Wheeler,PHI,AAA,Yes,36,0,1,5.23,3,3,0,0,0,0,0,10.1,44,9,6,6,1,4,0,3,1,0,10,10310,standard,2,AAA,10.1,8.71,3.48,2.5,0.87,0.22699999999999998,0.091,0.136,0.243,1.26,0.308,0.685,5.23,4.85,0.37,5.19,advanced,AAA,10.1,0.308,1.44,0.185,0.48100000000000004,0.33299999999999996,0.222,0.111,0.444,0.185,0.37,0.10099999999999999,52.0,96.0,148.0,batted,2026,International League,AAA,10.333333333333334,43.75,fantrax_pitching_categories,14.583333333333334,3.4444444444444446,0.22699999999999998,0.091,0.4008810572687225,0.27340088105726873,0.13599999999999998,0.111,0.777037,26.0,8.658,33,0.09090909090909091
Scott Alexander,KCR,AAA,Yes,36,0,1,1.69,11,0,0,0,0,2,0,10.2,48,10,4,2,0,5,1,0,1,1,9,10591,standard,2,AAA,10.2,7.59,4.22,1.8,0.0,0.188,0.10400000000000001,0.083,0.233,1.41,0.294,0.733,1.69,3.22,-1.53,4.24,advanced,AAA,10.2,0.294,3.67,0.17600000000000002,0.647,0.17600000000000002,0.16699999999999998,0.0,0.5,0.265,0.235,0.14300000000000002,59.0,102.0,161.0,batted,2026,International League,AAA,10.666666666666666,41.25,fantrax_pitching_categories,3.75,0.9696969696969696,0.188,0.10400000000000001,0.5531914893617021,0.3916595744680851,0.08399999999999999,0.0,0.8230000000000001,34.0,5.984000000000001,39,0.28205128205128205
Casey Lawrence,PHI,AAA,Yes,38,1,1,8.1,4,4,0,0,0,0,0,16.2,80,29,15,15,4,1,0,2,0,0,10,11121,standard,2,AAA,16.2,5.4,0.54,10.0,2.16,0.125,0.013000000000000001,0.113,0.377,1.8,0.397,0.644,8.1,5.96,2.14,4.59,advanced,AAA,16.2,0.397,1.81,0.28600000000000003,0.46,0.254,0.188,0.25,0.469,0.23399999999999999,0.297,0.086,86.0,159.0,245.0,batted,2026,International League,AAA,16.666666666666668,48.5,fantrax_pitching_categories,12.125,4.166666666666667,0.125,0.013000000000000001,0.10400000000000001,0.089648,0.112,0.25,0.6505000000000001,63.0,16.002,33,0.12121212121212122
Vince Velasquez,CHC,AAA,Yes,34,3,2,6.48,20,14,0,0,0,0,2,75.0,339,72,56,54,13,45,0,2,5,0,77,11189,standard,2,AAA,75.0,9.24,5.4,1.71,1.56,0.22699999999999998,0.133,0.094,0.247,1.56,0.292,0.625,6.48,5.58,0.9,5.49,advanced,AAA,75.0,0.292,0.82,0.239,0.34299999999999997,0.418,0.281,0.146,0.47,0.223,0.307,0.096,544.0,812.0,1356.0,batted,2026,International League,AAA,75.0,350.75,fantrax_pitching_categories,17.5375,3.75,0.22699999999999998,0.133,0.5859030837004406,0.374977973568282,0.09399999999999997,0.146,0.6999719999999999,202.0,84.43599999999999,36,0.5555555555555556
Tommy Kahnle,BOS,AAA,Yes,36,2,1,1.42,23,0,0,0,6,0,1,25.1,106,18,5,4,1,12,0,1,0,0,27,11384,standard,2,AAA,25.1,9.59,4.26,2.25,0.36,0.255,0.113,0.142,0.194,1.18,0.262,0.878,1.42,3.42,-2.0,4.13,advanced,AAA,25.1,0.262,1.82,0.25,0.484,0.266,0.235,0.059000000000000004,0.455,0.348,0.19699999999999998,0.11800000000000001,173.0,258.0,431.0,batted,2026,International League,AAA,25.333333333333332,233.5,fantrax_pitching_categories,10.152173913043478,1.1014492753623188,0.255,0.113,0.44313725490196076,0.2800627450980392,0.14200000000000002,0.059000000000000004,0.7343059999999999,65.0,17.29,40,0.575
Drew Pomeranz,CHC,AAA,Yes,37,0,0,0.0,2,0,0,0,0,0,0,2.0,8,1,0,0,0,1,0,0,0,0,3,11426,standard,2,AAA,2.0,13.5,4.5,3.0,0.0,0.375,0.125,0.25,0.143,1.0,0.25,1.0,0.0,2.0,-2.0,2.91,advanced,AAA,2.0,0.25,1.0,0.5,0.25,0.25,0.0,0.0,0.75,0.0,0.25,0.10300000000000001,15.0,24.0,39.0,batted,2026,International League,AAA,2.0,14.5,fantrax_pitching_categories,7.25,1.0,0.375,0.125,0.3333333333333333,0.16666666666666666,0.25,0.0,0.5,4.0,1.0,36,0.05555555555555555
Aaron Sanchez,KCR,AAA,Yes,33,0,5,9.43,13,12,0,0,0,0,0,42.0,208,57,46,44,11,26,0,4,2,1,40,11490,standard,2,AAA,42.0,8.57,5.57,1.54,2.36,0.192,0.125,0.067,0.32,1.98,0.362,0.573,9.43,7.14,2.29,5.78,advanced,AAA,42.0,0.362,1.04,0.289,0.363,0.348,0.191,0.23399999999999999,0.381,0.317,0.302,0.09699999999999999,333.0,513.0,846.0,batted,2026,International League,AAA,42.0,126.25,fantrax_pitching_categories,9.711538461538462,3.230769230769231,0.192,0.125,0.6510416666666666,0.4446614583333333,0.067,0.23399999999999999,0.6295679999999999,127.0,44.196,39,0.3333333333333333
Jameson Taillon,CHC,AAA,Yes,34,0,1,4.5,2,2,0,0,0,0,0,8.0,30,4,4,4,0,3,0,0,0,0,5,11674,standard,2,AAA,8.0,5.63,3.38,1.67,0.0,0.16699999999999998,0.1,0.067,0.148,0.88,0.182,0.429,4.5,3.37,1.13,4.97,advanced,AAA,8.0,0.182,1.14,0.28600000000000003,0.381,0.33299999999999996,0.28600000000000003,0.0,0.409,0.318,0.273,0.11900000000000001,33.0,68.0,101.0,batted,2026,International League,AAA,8.0,27.25,fantrax_pitching_categories,13.625,4.0,0.16699999999999998,0.1,0.5988023952095809,0.43892215568862286,0.06699999999999998,0.0,0.714,22.0,7.325999999999999,36,0.05555555555555555
