Role,Player,playerid,mlbamid,Snapshot season,Highest level,Projection level,Highest rank,N levels,Level pattern,Current workload,Current age,Current meets application minimum,Current meets training minimum,History: top-20 age 27-30,History: made MLB,Made MLB percentile,Made MLB percentile reference N,Top-20 percentile,Top-20 percentile reference N,Combined percentile,Conservative percentile,Combined rank
Hitter,Juneiker Caceres,sa3024329,821181,2026,A,A,3,3,International Rookie | Complex | A,237.0,18.0,True,True,0.49678200106725817,0.9614512778533225,99.97520456236053,4033,100.0,2524,99.98760228118027,99.97520456236053,1
Hitter,Johan De Los Santos,sa3066666,829059,2026,Complex,Complex,2,2,International Rookie | Complex,138.0,17.0,True,True,0.18419359816357475,0.9118081992145971,100.0,2487,99.94780793319416,1916,99.97390396659708,99.94780793319416,2
Hitter,Josiah Hartshorn,sa3069285,815824,2026,A+,A+,4,2,A | A+,370.0,19.0,True,True,0.5231963107143294,0.9626229403605145,99.68412740194788,3799,99.77293369663941,2202,99.72853054929365,99.68412740194788,3
Hitter,Luke Adams,sa3020135,702726,2026,AAA,AAA,6,4,A | A+ | AA | AAA,279.0,22.0,True,True,0.7446109386871153,0.9993160770509354,99.50203712086918,2209,99.89212513484358,927,99.69708112785638,99.50203712086918,4
Hitter,Leanders Matos,sa3076667,837864,2026,International Rookie,International Rookie,1,1,International Rookie,228.0,16.0,True,True,0.04756618615783635,0.7346921633672107,99.87217724755007,2347,99.38080495356037,1938,99.62649110055523,99.38080495356037,5
Hitter,Eli Willits,sa3069164,816113,2026,A+,A+,4,2,A | A+,289.0,18.0,True,True,0.443392689380004,0.9711775051331466,99.86838641747828,3799,99.27338782924615,2202,99.57088712336221,99.27338782924615,6
Hitter,Leo De Vries,sa3023363,815888,2026,AA,AA,5,3,A | A+ | AA,428.0,19.0,True,True,0.5874143355979291,0.9903610714156361,99.4267515923567,3140,99.57264957264957,1638,99.49970058250312,99.4267515923567,7
Hitter,Josuar Gonzalez,sa3067675,829034,2026,A,A,3,3,International Rookie | Complex | A,153.0,18.0,True,True,0.2554129213538727,0.914050092358989,99.72725018596579,4033,99.16798732171156,2524,99.44761875383867,99.16798732171156,8
Hitter,Luis Hernandez,sa3076284,836582,2026,Complex,Complex,2,1,Complex,228.0,17.0,True,True,0.1628336574053594,0.6263240983932623,98.9545637314033,2487,99.89561586638831,1916,99.42508979889581,98.9545637314033,9
Hitter,Samil Serrano,sa3075061,836603,2026,International Rookie,International Rookie,1,1,International Rookie,179.0,17.0,True,True,0.04960992944031341,0.4818118213964503,99.4034938219003,2347,99.38080495356037,1938,99.39214938773034,99.38080495356037,10
Hitter,Rainiel Rodriguez,sa3023987,823787,2026,A+,A+,4,4,International Rookie | Complex | A | A+,128.0,19.0,True,True,0.3913863329778647,0.9638978159461771,99.68412740194788,3799,99.09173478655768,2202,99.38793109425278,99.09173478655768,11
Hitter,Juneiker Caceres,sa3024329,821181,2026,A+,A+,4,4,International Rookie | Complex | A | A+,100.0,18.0,True,True,0.4002500106597218,0.9552942405996762,99.65780468544354,3799,99.09173478655768,2202,99.37476973600062,99.09173478655768,12
Hitter,Eduardo Quintero,sa3021208,808234,2026,A+,A+,4,4,International Rookie | Complex | A | A+,501.0,20.0,True,True,0.38257594928435357,0.9527555780248278,99.6314819689392,3799,99.09173478655768,2202,99.36160837774844,99.09173478655768,13
Hitter,Yostin Pena,sa3076545,829769,2026,A,A,3,2,International Rookie | A,108.0,18.0,True,True,0.2738297150308711,0.8595666742001339,99.38011405901314,4033,99.32646592709985,2524,99.35328999305649,99.32646592709985,14
Hitter,Justin Gonzales,sa3023757,821100,2026,A+,A+,4,3,International Rookie | A | A+,422.0,19.0,True,True,0.4072914376704074,0.9462483136282133,99.52619110292183,3799,99.13714804722979,2202,99.33166957507581,99.13714804722979,15
Hitter,Theo Gillen,sa3025565,815394,2026,A+,A+,4,2,A | A+,265.0,20.0,True,True,0.37950177783492905,0.9418598717443372,99.52619110292183,3799,99.04632152588556,2202,99.28625631440369,99.04632152588556,16
Hitter,Angeibel Gomez,sa3075040,825412,2026,International Rookie,International Rookie,1,1,International Rookie,180.0,17.0,True,True,0.03690563623539257,0.694128957481209,99.82956966340008,2347,98.65841073271415,1938,99.2439901980571,98.65841073271415,17
Hitter,Jesus Made,sa3024108,815908,2026,AA,AA,5,4,International Rookie | A | A+ | AA,554.0,19.0,True,True,0.4984862262805342,0.9928368660119997,99.61783439490446,3140,98.71794871794872,1638,99.16789155642658,98.71794871794872,18
Hitter,Theo Gillen,sa3025565,815394,2026,AA,AA,5,3,A | A+ | AA,264.0,20.0,True,True,0.5214555009889204,0.9884408012538629,99.23566878980891,3140,98.9010989010989,1638,99.06838384545391,98.9010989010989,19
Hitter,Jhonny Level,sa3023898,815929,2026,A,A,3,3,International Rookie | Complex | A,217.0,19.0,True,True,0.20367287487677518,0.848462874767306,99.28093230845525,4033,98.73217115689381,2524,99.00655173267452,98.73217115689381,20
Hitter,Angeni Fernandez,sa3076671,837875,2026,International Rookie,International Rookie,1,1,International Rookie,207.0,16.0,True,True,0.030734206721210633,0.6795585321690116,99.82956966340008,2347,98.14241486068111,1938,98.9859922620406,98.14241486068111,21
Hitter,Rainiel Rodriguez,sa3023987,823787,2026,AA,AA,5,5,International Rookie | Complex | A | A+ | AA,393.0,19.0,True,True,0.45051794374902826,0.9939588688101285,99.71337579617834,3140,98.22954822954823,1638,98.97146201286328,98.22954822954823,22
Hitter,Eli Willits,sa3069164,816113,2026,A,A,3,1,A,232.0,18.0,True,True,0.19480678538807927,0.8702346794892165,99.47929580957104,4033,98.41521394611728,2524,98.94725487784416,98.41521394611728,23
Hitter,Sebastian Walcott,sa3021069,806964,2026,AA,AA,5,3,Complex | A+ | AA,162.0,20.0,True,True,0.4697765530828918,0.9909586536846963,99.49044585987261,3140,98.35164835164835,1638,98.92104710576048,98.35164835164835,24
Hitter,Cristian Arguelles,sa3023968,821692,2026,Complex,Complex,2,2,International Rookie | Complex,255.0,19.0,True,True,0.081771200580841,0.6398756169229889,99.1556091676719,2487,98.59081419624218,1916,98.87321168195703,98.59081419624218,25
Hitter,Caleb Bonemer,sa3067043,815352,2026,AA,AA,5,3,A | A+ | AA,304.0,20.0,True,True,0.5084883927166807,0.9845179109330617,98.88535031847134,3140,98.77899877899878,1638,98.83217454873505,98.77899877899878,26
Hitter,Joshddy Castillo,sa3077046,825450,2026,International Rookie,International Rookie,1,1,International Rookie,197.0,16.0,True,True,0.02994889274245662,0.5233127005325507,99.48870899020025,2347,98.03921568627452,1938,98.76396233823738,98.03921568627452,27
Hitter,Ralphy Velazquez,sa3023013,806252,2026,AA,AA,5,3,A | A+ | AA,169.0,21.0,True,True,0.5267171338777029,0.9801220523469749,98.53503184713375,3140,98.96214896214896,1638,98.74859040464136,98.53503184713375,28
Hitter,Francisco Renteria,sa3069440,836353,2026,International Rookie,International Rookie,1,1,International Rookie,236.0,17.0,True,True,0.028978451671714953,0.5271811740541555,99.48870899020025,2347,97.9876160990712,1938,98.73816254463573,97.9876160990712,29
Hitter,Ralphy Velazquez,sa3023013,806252,2026,AAA,AAA,6,4,A | A+ | AA | AAA,352.0,21.0,True,True,0.5851383506679626,0.9978299452691601,98.37030330466274,2209,99.02912621359224,927,98.69971475912749,98.37030330466274,30
Hitter,Chase Harlan,sa3067256,815792,2026,A,A,3,2,Complex | A,266.0,19.0,True,True,0.22440743926538786,0.7946086036764473,98.41309199107364,4033,98.85103011093503,2524,98.63206105100434,98.41309199107364,31
Hitter,Luis Pena,sa3024134,821270,2026,A+,A+,4,3,International Rookie | A | A+,219.0,19.0,True,True,0.2527832610208429,0.9631178655295901,99.68412740194788,3799,97.54768392370572,2202,98.6159056628268,97.54768392370572,32
Hitter,Dax Kilby,sa3069080,828076,2026,A,A,3,1,A,154.0,19.0,True,True,0.21220664948045903,0.789760031548672,98.36350111579469,4033,98.81141045958796,2524,98.58745578769133,98.36350111579469,33
Hitter,Ace Reese,sa3040543,814505,2026,A,A,3,1,A,100.0,21.0,True,True,0.3288223846596164,0.7409560547625689,97.64443342424994,4033,99.52456418383518,2524,98.58449880404257,97.64443342424994,34
Hitter,Edward Florentino,sa3023944,821273,2026,A+,A+,4,4,International Rookie | Complex | A | A+,435.0,19.0,True,True,0.3153504531908389,0.877914473743518,98.28902342721769,3799,98.68301544050863,2202,98.48601943386316,98.28902342721769,35
Hitter,Alexander Frias,sa3068835,825484,2026,Complex,Complex,2,2,International Rookie | Complex,137.0,18.0,True,True,0.07264206624222316,0.633411146940308,99.1556091676719,2487,97.7035490605428,1916,98.42957911410736,97.7035490605428,36
Hitter,Franklin Arias,sa3021845,808265,2026,AAA,AAA,6,6,International Rookie | Complex | A | A+ | AA | AAA,157.0,20.0,True,True,0.4448955693352131,0.9997696867269837,99.95473064735174,2209,96.87162891046385,927,98.41317977890779,96.87162891046385,37
Hitter,Luis Escudero,sa3021063,806884,2026,A,A,3,3,International Rookie | Complex | A,202.0,20.0,True,True,0.24795107242361847,0.7489718510351862,97.71881973716836,4033,99.04912836767036,2524,98.38397405241936,97.71881973716836,38
Hitter,Tate Southisene,sa3069150,816111,2026,A+,A+,4,2,A | A+,177.0,19.0,True,True,0.2771562504904009,0.8953254503345911,98.81547775730455,3799,97.91099000908265,2202,98.3632338831936,97.91099000908265,39
Hitter,Yeremy Cabrera,sa3018549,800393,2026,A,A,3,3,International Rookie | Complex | A,142.0,20.0,True,True,0.1914425828757696,0.7880554991917715,98.31391024051574,4033,98.29635499207608,2524,98.30513261629591,98.29635499207608,40
Hitter,Ryan Sprock,sa3042879,823779,2026,A+,A+,4,2,A | A+,139.0,21.0,True,True,0.31755647175135104,0.8598414904581368,97.86785996314819,3799,98.72842870118075,2202,98.29814433216447,97.86785996314819,41
Hitter,Franklin Arias,sa3021845,808265,2026,AA,AA,5,5,International Rookie | Complex | A | A+ | AA,332.0,20.0,True,True,0.3559153606776145,0.9957052173154504,99.87261146496816,3140,96.52014652014653,1638,98.19637899255734,96.52014652014653,42
Hitter,Caleb Bonemer,sa3067043,815352,2026,A+,A+,4,2,A | A+,278.0,20.0,True,True,0.31530492136023913,0.8465722774646438,97.60463279810476,3799,98.68301544050863,2202,98.14382411930669,97.60463279810476,43
Hitter,Jaiden Lo Re,sa3069280,828318,2026,A,A,3,2,Complex | A,247.0,19.0,True,True,0.20781863183057644,0.731217531006974,97.52045623605257,4033,98.73217115689381,2524,98.12631369647319,97.52045623605257,44
Hitter,Juan Torres,sa3067646,825153,2026,International Rookie,International Rookie,1,1,International Rookie,248.0,18.0,True,True,0.02195666676766863,0.5798338706665127,99.70174691095015,2347,96.54282765737874,1938,98.12228728416444,96.54282765737874,45
Hitter,Conor Essenburg,sa3069281,828148,2026,A+,A+,4,2,A | A+,136.0,19.0,True,True,0.2817854228614123,0.8744720669137911,98.23637799420901,3799,98.00181653042688,2202,98.11909726231795,98.00181653042688,46
Hitter,Jhonny Level,sa3023898,815929,2026,A+,A+,4,4,International Rookie | Complex | A | A+,331.0,19.0,True,True,0.23664346500336747,0.9136019695727426,99.10502763885233,3799,97.09355131698456,2202,98.09928947791845,97.09355131698456,47
Hitter,Brady Ebel,sa3069149,815816,2026,A,A,3,1,A,494.0,18.0,True,True,0.16428711662969672,0.8064667560038626,98.61145549218944,4033,97.58320126782884,2524,98.09732838000915,97.58320126782884,48
Hitter,Raunny Figueredo,sa3076588,837642,2026,International Rookie,International Rookie,1,1,International Rookie,217.0,17.0,True,True,0.021172908183597232,0.6104451190765703,99.74435449510013,2347,96.38802889576884,1938,98.06619169543448,96.38802889576884,49
Hitter,Josh Adamczewski,sa3023168,815304,2026,A+,A+,4,3,Complex | A | A+,211.0,21.0,True,True,0.2765342434086981,0.8699944255812141,98.10476441168728,3799,97.91099000908265,2202,98.00787721038498,97.91099000908265,50
Hitter,Brayan Rodriguez,sa3076623,837750,2026,International Rookie,International Rookie,1,1,International Rookie,238.0,17.0,True,True,0.02076595921774807,0.6337396929012336,99.7869620792501,2347,96.18163054695563,1938,97.98429631310287,96.18163054695563,51
Hitter,Josiah Hartshorn,sa3069285,815824,2026,A,A,3,1,A,177.0,19.0,True,True,0.17535686535188022,0.7494691720270503,97.76841061244731,4033,98.01901743264659,2524,97.89371402254696,97.76841061244731,52
Hitter,Daniel Pire,sa3076589,837643,2026,International Rookie,International Rookie,1,1,International Rookie,160.0,17.0,True,True,0.022021400838510858,0.446016536452387,99.23306348530038,2347,96.54282765737874,1938,97.88794557133956,96.54282765737874,53
Hitter,Arjun Nimmala,sa3022892,805796,2026,A+,A+,4,2,A | A+,105.0,20.0,True,True,0.31547011241457346,0.8202634393857885,97.02553303500922,3799,98.68301544050863,2202,97.85427423775891,97.02553303500922,54
Hitter,Franklin Primera,sa3067709,829398,2026,A,A,3,3,International Rookie | Complex | A,206.0,19.0,True,True,0.1694089384647225,0.7573001884803184,97.84279692536573,4033,97.82091917591126,2524,97.83185805063849,97.82091917591126,55
Hitter,Braylon Payne,sa3025647,815520,2026,A+,A+,4,2,A | A+,357.0,19.0,True,True,0.20190557733234532,0.9038510603435389,98.94709133982627,3799,96.23069936421435,2202,97.5888953520203,96.23069936421435,56
Hitter,Yostin Pena,sa3076545,829769,2026,International Rookie,International Rookie,1,1,International Rookie,175.0,18.0,True,True,0.030650798829548884,0.30722001315897185,96.97486152535151,2347,98.14241486068111,1938,97.55863819301632,96.97486152535151,57
Hitter,Johan De Los Santos,sa3066666,829059,2026,A,A,3,3,International Rookie | Complex | A,93.0,17.0,True,False,0.1368403225679347,0.7933751233645111,98.38829655343417,4033,96.59270998415214,2524,97.49050326879316,96.59270998415214,58
Hitter,Juan Duran,sa3075087,838013,2026,International Rookie,International Rookie,1,1,International Rookie,162.0,16.0,True,True,0.019057196877446603,0.5800540346486236,99.70174691095015,2347,95.09803921568627,1938,97.39989306331822,95.09803921568627,59
Hitter,Alfredo Duno,sa3021066,806957,2026,AA,AA,5,4,International Rookie | A | A+ | AA,129.0,20.0,True,True,0.35307388090471975,0.9782825572806663,98.28025477707007,3140,96.45909645909646,1638,97.36967561808326,96.45909645909646,60
Hitter,Conor Essenburg,sa3069281,828148,2026,A,A,3,1,A,279.0,19.0,True,True,0.16418384033910535,0.7110010310887573,97.14852467146045,4033,97.58320126782884,2524,97.36586296964464,97.14852467146045,61
Hitter,Emil Morales,sa3023887,815896,2026,A+,A+,4,4,International Rookie | Complex | A | A+,368.0,19.0,True,True,0.2301994432909437,0.8510205371757558,97.70992366412214,3799,96.86648501362397,2202,97.28820433887306,96.86648501362397,62
Hitter,Rafeliz Lara,sa3076614,837706,2026,International Rookie,International Rookie,1,1,International Rookie,201.0,17.0,True,True,0.01830237043152111,0.7157894488232543,99.87217724755007,2347,94.68524251805985,1938,97.27870988280496,94.68524251805985,63
Hitter,Elian Pena,sa3067674,829033,2026,A+,A+,4,3,International Rookie | A | A+,77.0,18.0,True,False,0.20953691269588545,0.8643444810448322,98.02579626217425,3799,96.50317892824705,2202,97.26448759521065,96.50317892824705,64
Hitter,Deniel Ortiz,sa3066597,811765,2026,AA,AA,5,3,A | A+ | AA,258.0,21.0,True,True,0.40537778055936324,0.9640743259932758,96.94267515923566,3140,97.55799755799755,1638,97.25033635861661,96.94267515923566,65
Hitter,Tate Southisene,sa3069150,816111,2026,A,A,3,1,A,240.0,19.0,True,True,0.1284387182168485,0.7806324390815234,98.2643193652368,4033,96.23613312202852,2524,97.25022624363265,96.23613312202852,66
Hitter,Alfredo Duno,sa3021066,806957,2026,A+,A+,4,3,International Rookie | A | A+,295.0,20.0,True,True,0.29881915777647866,0.7753647077107148,95.94630165833114,3799,98.50136239782016,2202,97.22383202807565,95.94630165833114,67
Hitter,Demetrio Crisantes,sa3021051,702679,2026,AA,AA,5,4,Complex | A | A+ | AA,160.0,21.0,True,True,0.32924111076754886,0.97764541000264,98.21656050955414,3140,96.15384615384616,1638,97.18520333170015,96.15384615384616,68
Hitter,Luis Thomas,sa3076663,837854,2026,International Rookie,International Rookie,1,1,International Rookie,143.0,17.0,True,True,0.02187725546834087,0.3366012813932239,97.61397528760119,2347,96.54282765737874,1938,97.07840147248996,96.54282765737874,69
Hitter,Miguel Hernandez,sa3067750,829791,2026,A,A,3,3,International Rookie | Complex | A,103.0,18.0,True,True,0.13296433055903156,0.7382562251621183,97.64443342424994,4033,96.47385103011094,2524,97.05914222718044,96.47385103011094,70
Hitter,Cam Cannarella,sa3028360,703448,2026,AA,AA,5,2,A+ | AA,150.0,22.0,True,True,0.343673773686013,0.9709982394167149,97.67515923566879,3140,96.27594627594628,1638,96.97555275580754,96.27594627594628,71
Hitter,Elian Pena,sa3067674,829033,2026,A,A,3,2,International Rookie | A,439.0,18.0,True,True,0.1398015193611555,0.7162592567007977,97.17332010909992,4033,96.67194928684627,2524,96.9226346979731,96.67194928684627,72
Hitter,Jarvis Gomez,sa3076669,837869,2026,International Rookie,International Rookie,1,1,International Rookie,197.0,17.0,True,True,0.022881330469540634,0.3109892920630819,96.97486152535151,2347,96.85242518059856,1938,96.91364335297504,96.85242518059856,73
Hitter,Kevin Alvarez,sa3067677,829037,2026,A,A,3,2,International Rookie | A,443.0,18.0,True,True,0.11934429870569142,0.7637813991671744,98.01636498884206,4033,95.80031695721078,2524,96.90834097302641,95.80031695721078,74
