PlayerId,Debut Year,MLB Debut Year
1,2009,2006.0
10,2008,2006.0
1001053,2006,
10021,2010,2010.0
1002257,2006,
1002429,2006,
10028,2008,2013.0
1003,2006,2007.0
10030,2010,2013.0
10039,2012,2015.0
1004,2008,
10047,2010,2013.0
10053,2009,2013.0
1005327,2006,
10054,2012,2011.0
10058,2013,2014.0
10059,2010,2013.0
10061,2011,2012.0
1006397,2007,
10065,2013,2013.0
10067,2008,2014.0
10071,2008,2013.0
1007717,2006,
1008248,2006,
1008467,2006,
1008752,2006,
1009709,2006,
10099,2010,2011.0
101,2006,2006.0
1010490,2009,
1011,2006,2006.0
1011453,2006,
1012,2012,2006.0
1012286,2006,
1013,2007,2006.0
1013093,2006,
1015,2007,2006.0
10154,2008,2013.0
10155,2009,2011.0
10160,2014,2015.0
10166,2009,2013.0
1017,2008,2006.0
1019,2006,2006.0
10190,2011,2012.0
10197,2011,2012.0
10199,2009,2013.0
10200,2009,2014.0
1021,2006,2006.0
10218,2013,
10231,2010,2011.0
10233,2010,2013.0
10234,2010,2013.0
1024,2006,
10240,2013,2015.0
10243,2009,2014.0
10257,2013,2010.0
10261,2006,2010.0
10264,2010,2011.0
10265,2015,
10286,2007,2018.0
10289,2007,2011.0
1029,2009,2007.0
10294,2008,2014.0
10299,2007,2012.0
10302,2012,2014.0
10304,2016,2014.0
10306,2008,2013.0
10310,2012,2013.0
10317,2008,2017.0
10322,2008,2014.0
10323,2008,2012.0
10324,2008,2013.0
10327,2009,2015.0
10329,2009,2013.0
1033,2006,2006.0
10336,2009,2015.0
10337,2014,2016.0
10339,2010,2013.0
10340,2009,2017.0
10346,2009,2013.0
10347,2009,2017.0
10348,2009,2014.0
10349,2010,2016.0
10354,2013,2013.0
1037,2006,
1038,2006,2006.0
10386,2013,2014.0
10390,2010,2015.0
1041,2006,2006.0
10416,2009,2013.0
1042,2007,2006.0
10430,2010,2016.0
10441,2009,2014.0
1045,2007,2007.0
10459,2010,2012.0
10466,2013,2013.0
1047,2006,
10472,2009,2014.0
10473,2010,2015.0
1050,2007,2015.0
10533,2011,2015.0
1054,2006,
10542,2011,2013.0
10547,2013,2013.0
10556,2009,2013.0
1056,2012,2006.0
1058,2006,2006.0
10585,2010,2015.0
10587,2014,2013.0
10593,2010,2013.0
1060,2007,
10606,2013,
10607,2011,2014.0
10619,2011,2017.0
1062,2008,2008.0
10620,2013,2014.0
10622,2011,2013.0
10636,2017,
10642,2008,2015.0
10655,2010,2012.0
1066,2012,2006.0
1067,2008,
1068,2006,
10681,2009,2015.0
10688,2012,2012.0
10698,2011,2012.0
107,2008,
1070,2008,2006.0
10700,2010,2015.0
10706,2017,2015.0
10710,2013,
10711,2009,2014.0
10732,2017,2012.0
1074,2006,
10745,2012,2013.0
10762,2011,2013.0
10767,2009,2014.0
10770,2014,2015.0
1079,2009,2006.0
10803,2009,
10807,2010,2015.0
10815,2011,2012.0
10816,2010,2013.0
10822,2010,2013.0
10835,2021,
10838,2011,2015.0
10839,2011,2019.0
1084,2006,
10847,2011,2012.0
1087,2008,
10882,2011,2016.0
10887,2014,
109,2006,2011.0
10925,2013,2014.0
10937,2011,2015.0
10946,2013,2015.0
1095,2007,2006.0
10950,2011,2014.0
10951,2011,2014.0
10953,2010,2013.0
10954,2013,2014.0
1096,2006,2007.0
10961,2010,2016.0
10962,2012,2014.0
10968,2014,2016.0
1099,2006,2006.0
11,2006,2006.0
11003,2011,2013.0
11038,2011,2014.0
1106,2009,2006.0
11071,2016,
1112,2011,2006.0
11133,2012,2013.0
11137,2012,2014.0
11145,2010,2014.0
11146,2011,2013.0
11147,2011,2013.0
1115,2007,
11155,2010,2020.0
11157,2012,2014.0
11165,2009,2015.0
11166,2011,
11167,2011,2012.0
11173,2009,2014.0
11176,2012,2014.0
1118,2008,2008.0
11192,2011,2016.0
1120,2007,2006.0
11200,2011,2012.0
11204,2016,2016.0
11205,2011,2012.0
11209,2013,2015.0
11241,2011,2016.0
11247,2011,2016.0
11250,2013,
11251,2011,2014.0
11255,2010,2014.0
1126,2006,2007.0
11261,2018,
11265,2009,2013.0
11266,2016,2017.0
11270,2009,2014.0
11281,2010,2016.0
11287,2010,2012.0
11294,2012,2016.0
113,2006,2012.0
1131,2009,2006.0
11334,2012,2013.0
11338,2007,2017.0
11339,2010,2013.0
1134,2006,
11342,2008,2014.0
11346,2017,2021.0
1135,2006,2006.0
11350,2019,
1136,2006,2014.0
11366,2012,2013.0
11368,2010,2012.0
11369,2011,2016.0
1137,2006,2006.0
11376,2011,2013.0
11378,2015,2016.0
11379,2010,2015.0
11381,2011,2023.0
11385,2010,2013.0
11391,2010,2014.0
114,2008,2006.0
11400,2010,2015.0
11402,2010,2015.0
1141,2010,
1142,2007,2007.0
11420,2011,2010.0
11426,2012,2011.0
11432,2014,2016.0
11437,2013,2018.0
11442,2010,2015.0
11445,2010,2015.0
11446,2011,2016.0
11464,2010,2014.0
11467,2014,2015.0
11468,2012,2015.0
1147,2006,
11470,2010,2016.0
11471,2011,2014.0
11472,2010,2015.0
11476,2009,2015.0
11477,2010,2013.0
11481,2010,2021.0
11487,2014,
11489,2010,2014.0
1149,2011,
11493,2011,2012.0
11494,2010,2015.0
1151,2006,2006.0
11531,2011,2011.0
11562,2007,
11579,2011,2012.0
11589,2014,2015.0
1159,2008,2010.0
11592,2014,2015.0
11596,2015,2017.0
11602,2009,2014.0
11608,2012,2014.0
11609,2009,2016.0
11611,2010,2018.0
11615,2010,2015.0
11618,2012,2013.0
11624,2011,2015.0
1165,2007,2010.0
11674,2013,2016.0
11680,2010,2015.0
11682,2013,2013.0
11694,2014,2018.0
11710,2013,2013.0
11712,2013,2015.0
11713,2012,2012.0
11737,2010,2013.0
11738,2009,2017.0
11739,2010,2014.0
11743,2009,
11746,2011,2014.0
11754,2014,2015.0
1176,2012,2006.0
11761,2010,2017.0
11762,2014,2015.0
11763,2011,2014.0
11773,2010,2014.0
11776,2015,2017.0
1179,2006,2006.0
11846,2011,2011.0
11850,2011,2016.0
11854,2009,2014.0
11859,2010,2015.0
1186,2009,2006.0
11863,2010,2015.0
11875,2011,2018.0
11894,2011,2018.0
11896,2018,
11899,2010,2014.0
119,2007,
11902,2010,2015.0
11905,2010,2015.0
1191,2007,2009.0
1192,2006,
11935,2012,2017.0
11936,2012,2014.0
1195,2006,2006.0
1197,2009,2006.0
11982,2011,2015.0
1199,2006,
11997,2012,2013.0
12005,2012,2018.0
1201,2012,2006.0
12027,2013,2013.0
12037,2012,2018.0
1204,2006,
12042,2012,
12049,2013,2014.0
1205,2006,2006.0
12056,2018,2024.0
1207,2007,2006.0
1208,2006,2006.0
12090,2009,2016.0
12092,2010,2017.0
1210,2007,2006.0
12101,2009,2014.0
12110,2009,2017.0
12118,2015,2015.0
12119,2012,2018.0
1212,2006,2006.0
1213,2012,2006.0
12138,2010,2015.0
12140,2010,2016.0
12144,2010,2015.0
12147,2012,2014.0
12148,2012,2015.0
