Role,Player,playerid,mlbamid,Snapshot season,Highest level,Projection level,Highest rank,N levels,Level pattern,Current workload,Current age,Current meets application minimum,Current meets training minimum,History: top-20 age 27-30,History: made MLB,Made MLB percentile,Made MLB percentile reference N,Top-20 percentile,Top-20 percentile reference N,Combined percentile,Conservative percentile,Combined rank
Pitcher,Kendry Chourio,sa3067545,830402,2026,A+,A+,4,2,A | A+,42.666666666666664,18.0,True,True,0.15785493653865723,0.9348526317812064,99.92454728370221,3976,99.5609756097561,2050,99.74276144672916,99.5609756097561,1
Pitcher,David Shields,sa3067433,815789,2026,A+,A+,4,2,A | A+,116.66666666666667,19.000000000000004,True,True,0.16462889073268602,0.9294809438615538,99.84909456740442,3976,99.60975609756098,2050,99.72942533248269,99.60975609756098,2
Pitcher,Christian Zazueta,sa3018867,800537,2026,AA,AA,5,4,International Rookie | A | A+ | AA,50.0,21.0,True,True,0.15828535743182484,0.9852284899869507,99.82708933717579,3470,99.61464354527938,1557,99.72086644122759,99.61464354527938,3
Pitcher,Ramon Marquez,sa3067514,827408,2026,A+,A+,4,3,Complex | A | A+,40.0,20.0,True,True,0.14772942270407632,0.9320612554313079,99.87424547283702,3976,99.51219512195122,2050,99.69322029739412,99.51219512195122,4
Pitcher,Ryan Sloan,sa3067131,815549,2026,AA,AA,5,2,A | AA,97.33333333333333,20.0,True,True,0.1484762698738584,0.978581187827692,99.62536023054756,3470,99.61464354527938,1557,99.62000188791347,99.61464354527938,5
Pitcher,Miguel Sime Jr.,sa3069269,828137,2026,A+,A+,4,2,A | A+,46.0,19.0,True,True,0.18898751997185256,0.8739203115317086,99.44668008048289,3976,99.70731707317073,2050,99.57699857682681,99.44668008048289,6
Pitcher,Kade Anderson,37238,807739,2026,AA,AA,5,1,AA,93.33333333333333,21.0,True,True,0.13127385487588425,0.9893509013401238,99.88472622478386,3470,99.22928709055877,1557,99.55700665767131,99.22928709055877,7
Pitcher,Cam Caminiti,sa3025607,807284,2026,A+,A+,4,2,A | A+,83.33333333333333,19.0,True,True,0.1462752259246348,0.8860098720481746,99.52213279678068,3976,99.51219512195122,2050,99.51716395936594,99.51219512195122,8
Pitcher,Braylon Doughty,sa3067030,815785,2026,AA,AA,5,3,A | A+ | AA,44.666666666666664,20.0,True,True,0.13310288512456753,0.9762041436274815,99.53890489913545,3470,99.22928709055877,1557,99.38409599484712,99.22928709055877,9
Pitcher,Boston Bateman,sa3067145,815348,2026,A+,A+,4,2,A | A+,86.33333333333333,20.0,True,True,0.14819137022713844,0.8571987865435595,99.22032193158954,3976,99.51219512195122,2050,99.36625852677038,99.22032193158954,10
Pitcher,Dasan Hill,sa3067070,815598,2026,A+,A+,4,2,A | A+,61.33333333333333,20.0,True,True,0.13916486902696443,0.8478983815262194,99.14486921529175,3976,99.41463414634147,2050,99.27975168081662,99.14486921529175,11
Pitcher,Johnny King,sa3067123,803516,2026,A+,A+,4,3,Complex | A | A+,84.0,19.0,True,True,0.13322945271529246,0.8617390207604009,99.27062374245473,3976,99.21951219512195,2050,99.24506796878833,99.21951219512195,12
